outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,step_size
vegetarian,mpbamod,Proportion,0.100308776323081,-1.399584982,1.727611643,1.1055122213785848,1.01008135552335,1.02611729398468,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.15
vegetarian,vegan,Count,-0.0148090182816,-0.122041994,0.08138211125,0.9853000959407429,0.9985201941658657,1.00211710872981,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.15
vegetarian,vegan,Proportion,-0.122648613777967,-1.007268645,0.781784099,0.8845744352259078,0.9878100454810212,1.00214940861979,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.15
vegetarian,vegetarian,Count,0.004099662522,-0.04096587575,0.0483676072,1.004108077634174,1.0004100502998492,1.04278265808056,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.15
vegetarian,vegetarian,Proportion,0.3559456921301,-0.4890819085,1.2248163055,1.4275300200440608,1.036235639483428,1.01601935396981,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.15
vegan,mpbamod,Count,0.02295664119546,-0.061005792175,0.1147979505665,1.0232221728951865,1.0022983011739652,1.0216551946903,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/mpbamod_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.15
vegan,mpbamod,Proportion,0.294568694002414,-1.502531608,2.07409214225,1.3425471851417496,1.0298950145242827,1.010702546537,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/mpbamod_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.15
vegan,vegan,Count,0.0241727119784,-0.08819497575,0.14353530715,1.0244672403757569,1.002420195153385,1.0050888444834,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegan_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.15
vegan,vegan,Proportion,0.310278658012033,-0.9118477025,1.5338730725,1.3638050964041313,1.0315142474569976,1.00467684333929,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegan_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.15
vegan,vegetarian,Count,0.0147012359365,-0.043251167575,0.061773087175,1.0148098306115896,1.001471204755089,1.01591069401392,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,0.15
vegan,vegetarian,Proportion,-0.138145936907567,-1.0341780625,0.82350301475,0.8709715755722356,0.986280389918943,1.00386486160666,Pooled,POOLED,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,0.15
