outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Count,0.00206155959086,-0.042639287365,0.04380000765,1.002680430447199,1.0002677202806793,NA,Pooled,POOLED,-0.02049621644,0.02378810504,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.02049621644,0.02378810504
nonvegan,Exposure: Vegetarian,Form: Proportion,-0.148456564591615,-0.92892937775,0.672068917225,0.8602212989296585,0.9850562233951905,NA,Pooled,POOLED,-0.5520677252,0.25594339016,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5520677252,0.25594339016
meat,Exposure: Vegetarian,Form: Count,-0.01450370595284,-0.05283894899125,0.02227233847,0.9863331407518053,0.9986248353566409,NA,Pooled,POOLED,-0.0328642818,0.00319592148,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0328642818,0.00319592148
meat,Exposure: Vegetarian,Form: Proportion,-1.03863751196186,-1.8865428634999999,-0.180860103675,0.3500916733281542,0.9003641165782293,NA,Pooled,POOLED,-1.4645100836,-0.609913894432,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.4645100836,-0.609913894432
chicken_fish,Exposure: Vegetarian,Form: Count,-0.021830546662573,-0.0681628927575,0.021726148515,0.9785607977043281,0.9978351107104142,NA,Pooled,POOLED,-0.04334789006,-8.42086800000026e-5,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.04334789006,-8.42086800000026e-5
chicken_fish,Exposure: Vegetarian,Form: Proportion,-1.8379360925361,-2.95718473475,-0.625306264475,0.1577396326259068,0.8313694899786463,NA,Pooled,POOLED,-2.4101448508,-1.27319164948,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.4101448508,-1.27319164948
vegetarian,Exposure: Vegetarian,Form: Count,0.004099662522,-0.04096587575,0.0483676072,1.0052189751512206,1.0005206758546388,NA,Pooled,POOLED,-0.01741835756,0.02582749684,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.01741835756,0.02582749684
vegetarian,Exposure: Vegetarian,Form: Proportion,0.3559456921301,-0.4890819085,1.2248163055,1.4392154950083071,1.0370807727450193,NA,Pooled,POOLED,-0.0805339015999999,0.78535247712,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0805339015999999,0.78535247712
vegan,Exposure: Vegetarian,Form: Count,0.0147012359365,-0.043251167575,0.061773087175,1.0157495851823108,1.001563906378071,NA,Pooled,POOLED,-0.0120205708,0.04204584052,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegetarian_dishes_count/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0120205708,0.04204584052
vegan,Exposure: Vegetarian,Form: Proportion,-0.138145936907567,-1.0341780625,0.82350301475,0.8642053282279613,0.9855114943372477,NA,Pooled,POOLED,-0.6189297488,0.3415036316,../../model_fits/finalized_redone_trunc/t2_a1_proportion/vegan/vegetarian_dishes_prop/plots/all_restaurants_weekly.png,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.6189297488,0.3415036316
