outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,q16,q84,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Nonvegan,Level change,0.9737401128820736,0.7284198417614555,1.316539123664511,0.9737401128820736,NA,NA,Restaurant,L69HYJ4Y3TR91,0.8403985323025952,1.1287723305653854,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8403985323025952,1.1287723305653854
Nonvegan,Level change,0.9838330066707166,0.7466086023386623,1.2769319913891974,0.9838330066707166,NA,NA,Restaurant,ED5J990H5VAZT,0.8521975117128532,1.1222347030557756,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/ED5J990H5VAZT.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8521975117128532,1.1222347030557756
Nonvegan,Level change,1.2316931653584007,0.9043471089139822,1.6476116381441441,1.2316931653584007,NA,NA,Restaurant,W8T41JZK0ZMEP,1.0472700683874483,1.4212590322392926,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0472700683874483,1.4212590322392926
Nonvegan,Level change,0.4819553206379226,0.31567913352519744,0.7370619647505282,0.4819553206379226,NA,NA,Restaurant,W8T41JZK0ZMEP,0.3882290709979541,0.5985294736571736,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.3882290709979541,0.5985294736571736
Nonvegan,Level change,0.9891335759960129,0.6987502141933403,1.438294244937831,0.9891335759960129,NA,NA,Restaurant,W8T41JZK0ZMEP,0.8358324476832614,1.1911543400496563,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8358324476832614,1.1911543400496563
Nonvegan,Level change,0.9694136405920617,0.6621409746982171,1.4386312469814893,0.9694136405920617,NA,NA,Restaurant,W8T41JZK0ZMEP,0.793058779708923,1.1751488081366805,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.793058779708923,1.1751488081366805
Nonvegan,Level change,0.9010563138307185,0.6451372790637043,1.273473588823241,0.9010563138307185,NA,NA,Restaurant,W8T41JZK0ZMEP,0.7569921531790381,1.0663324599008348,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7569921531790381,1.0663324599008348
Nonvegan,Level change,0.6415281527980523,0.2680950969623881,1.5233055080182405,0.6415281527980523,NA,NA,Restaurant,EMBVNVD207CC6,0.41180825172631663,1.0035296144703245,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/EMBVNVD207CC6.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.41180825172631663,1.0035296144703245
Nonvegan,Level change,0.9307625216774092,0.28999196268934757,2.689894472862207,0.9307625216774092,NA,NA,Restaurant,C0BE4NDSW26QN,0.5388035950956872,1.6152238420519214,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/C0BE4NDSW26QN.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5388035950956872,1.6152238420519214
Nonvegan,Level change,1.0175967501940433,0.399024293193085,2.4881777220053785,1.0175967501940433,NA,NA,Restaurant,C0BE4NDSW26QN,0.6316269013015285,1.6386518120704319,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/C0BE4NDSW26QN.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6316269013015285,1.6386518120704319
Nonvegan,Level change,0.9233611939232397,0.7209687607000812,1.188800169473726,0.9233611939232397,NA,NA,Restaurant,V3Q26BHF3SE2H,0.8140002076152822,1.0486641252386883,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8140002076152822,1.0486641252386883
Nonvegan,Level change,0.9878153711525242,0.7817987107137955,1.2275580579046077,0.9878153711525242,NA,NA,Restaurant,V3Q26BHF3SE2H,0.8789955752806845,1.1035202283173802,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8789955752806845,1.1035202283173802
Nonvegan,Level change,1.0182034491724965,0.8408176899827792,1.2368429142711166,1.0182034491724965,NA,NA,Restaurant,V3Q26BHF3SE2H,0.9250847119282255,1.1217052167370478,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9250847119282255,1.1217052167370478
Nonvegan,Level change,0.8887557644864656,0.6887380588074189,1.1555375404564825,0.8887557644864656,NA,NA,Restaurant,V3Q26BHF3SE2H,0.7776045739467821,1.017677586813063,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7776045739467821,1.017677586813063
Nonvegan,Level change,1.0150310873949053,0.7576357143787272,1.3669054434488717,1.0150310873949053,NA,NA,Restaurant,LBZEEFSBJNB3Z,0.8754387080895887,1.1787199637515713,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/LBZEEFSBJNB3Z.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8754387080895887,1.1787199637515713
Nonvegan,Level change,0.9990463500134538,0.6913779822817363,1.4408043315849701,0.9990463500134538,NA,NA,Restaurant,SAFK7ND1HR6XS,0.8298586068632925,1.2092369852497218,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/SAFK7ND1HR6XS.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8298586068632925,1.2092369852497218
Nonvegan,Level change,1.007834474641715,0.8648512912585147,1.1688029763186822,1.007834474641715,NA,NA,Restaurant,S8MT0YGD2KTN9,0.93336534479544,1.086716460144972,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/S8MT0YGD2KTN9.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.93336534479544,1.086716460144972
Nonvegan,Level change,1.05000452113183,0.8049304021562088,1.3453866293340955,1.05000452113183,NA,NA,Restaurant,1SQPTEGYPH0GA,0.9173203364605308,1.1914583325954229,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/1SQPTEGYPH0GA.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9173203364605308,1.1914583325954229
Nonvegan,Level change,0.9158513812639497,0.6302943970128084,1.3620862995955987,0.9158513812639497,NA,NA,Restaurant,9XKJD8DQTH559,0.7512185564077103,1.1278114567119235,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/9XKJD8DQTH559.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7512185564077103,1.1278114567119235
Nonvegan,Level change,0.8821954225507023,0.5833097891525523,1.3568703915170073,0.8821954225507023,NA,NA,Restaurant,9XKJD8DQTH559,0.7094926056167894,1.0977543584497278,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/9XKJD8DQTH559.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7094926056167894,1.0977543584497278
Nonvegan,Level change,0.9306278752111996,0.46190495531083253,1.7779273802434976,0.9306278752111996,NA,NA,Restaurant,LQ5EH4BKGV61T,0.6595696007237528,1.2980430321625958,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/LQ5EH4BKGV61T.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6595696007237528,1.2980430321625958
Nonvegan,Level change,1.0032262281074655,0.8888570277322558,1.1244991554814383,1.0032262281074655,NA,NA,Restaurant,78AY09MVJVTYE,0.9436363362903748,1.0640514407496342,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/78AY09MVJVTYE.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9436363362903748,1.0640514407496342
Nonvegan,Slope change,0.8818737489510172,0.30237824822099746,2.391155008829339,0.8818737489510172,NA,NA,Restaurant,L69HYJ4Y3TR91,0.5217836563734877,1.4658781302341488,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.5217836563734877,1.4658781302341488
Nonvegan,Slope change,0.9460803092827013,0.6687026254365069,1.3525885544707146,0.9460803092827013,NA,NA,Restaurant,ED5J990H5VAZT,0.7865712790716638,1.1362374634711818,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/ED5J990H5VAZT.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7865712790716638,1.1362374634711818
Nonvegan,Slope change,0.9159780641767914,0.07411882941836978,12.476623759505888,0.9159780641767914,NA,NA,Restaurant,W8T41JZK0ZMEP,0.28084617024420994,3.1080687382037278,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.28084617024420994,3.1080687382037278
Nonvegan,Slope change,4.574196477642664,0.3623685943502329,72.7989691219787,4.574196477642664,NA,NA,Restaurant,W8T41JZK0ZMEP,1.319132044134281,17.879631201172355,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,1.319132044134281,17.879631201172355
Nonvegan,Slope change,0.3350611427967034,0.03260342042014306,3.0406706046475662,0.3350611427967034,NA,NA,Restaurant,W8T41JZK0ZMEP,0.10709999326645547,1.0281997525747348,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.10709999326645547,1.0281997525747348
Nonvegan,Slope change,0.7378977456583001,0.042670357368388694,9.322708842925447,0.7378977456583001,NA,NA,Restaurant,W8T41JZK0ZMEP,0.186287415943229,2.664758849470615,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.186287415943229,2.664758849470615
Nonvegan,Slope change,0.8841813467510319,0.06009900928616836,12.405905131048947,0.8841813467510319,NA,NA,Restaurant,W8T41JZK0ZMEP,0.23893965260468386,3.3103461097447044,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.23893965260468386,3.3103461097447044
Nonvegan,Slope change,1.1957139324452506,0.7084018232988845,2.01437081949623,1.1957139324452506,NA,NA,Restaurant,EMBVNVD207CC6,0.9161342524842534,1.5501971915590362,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/EMBVNVD207CC6.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9161342524842534,1.5501971915590362
Nonvegan,Slope change,1.028179111671886,0.25760957657893313,4.282633797170694,1.028179111671886,NA,NA,Restaurant,C0BE4NDSW26QN,0.510445161246417,2.101472567485884,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/C0BE4NDSW26QN.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.510445161246417,2.101472567485884
Nonvegan,Slope change,1.0175452916275267,0.23606455894833756,4.147633862380673,1.0175452916275267,NA,NA,Restaurant,C0BE4NDSW26QN,0.4929743795244994,2.0697458641535604,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/C0BE4NDSW26QN.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.4929743795244994,2.0697458641535604
Nonvegan,Slope change,1.0734015234126622,0.07139823495216997,14.760686409873623,1.0734015234126622,NA,NA,Restaurant,V3Q26BHF3SE2H,0.3249505211688041,3.742681317620283,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.3249505211688041,3.742681317620283
Nonvegan,Slope change,1.0728983341517746,0.0787202030969283,13.434118806191005,1.0728983341517746,NA,NA,Restaurant,V3Q26BHF3SE2H,0.3410351097005704,3.4471565217075604,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.3410351097005704,3.4471565217075604
Nonvegan,Slope change,0.6407223975573964,0.2300889188673126,1.806188648819034,0.6407223975573964,NA,NA,Restaurant,V3Q26BHF3SE2H,0.37777693008850133,1.0869406517038438,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.37777693008850133,1.0869406517038438
Nonvegan,Slope change,1.2542357588469437,0.20554981935004663,7.344182345938935,1.2542357588469437,NA,NA,Restaurant,V3Q26BHF3SE2H,0.4959187722962512,3.1693935181824746,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/V3Q26BHF3SE2H.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.4959187722962512,3.1693935181824746
Nonvegan,Slope change,0.8595652850791661,0.5429957526967846,1.3480263435607334,0.8595652850791661,NA,NA,Restaurant,LBZEEFSBJNB3Z,0.6883742682574139,1.0794311273198938,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/LBZEEFSBJNB3Z.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.6883742682574139,1.0794311273198938
Nonvegan,Slope change,0.9847572271374172,0.298137807155525,3.1099030995351757,0.9847572271374172,NA,NA,Restaurant,SAFK7ND1HR6XS,0.537190278064265,1.7795534968447213,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/SAFK7ND1HR6XS.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.537190278064265,1.7795534968447213
Nonvegan,Slope change,0.9827079929347435,0.8524492277410859,1.1438815450388045,0.9827079929347435,NA,NA,Restaurant,S8MT0YGD2KTN9,0.9151661008479541,1.0586644173022257,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/S8MT0YGD2KTN9.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9151661008479541,1.0586644173022257
Nonvegan,Slope change,0.9886095134516067,0.7763924052436519,1.2541176824983982,0.9886095134516067,NA,NA,Restaurant,1SQPTEGYPH0GA,0.87606158956028235,1.1177471974332231,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/1SQPTEGYPH0GA.png,Animal,Exposure: Introductions,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.87606158956028235,1.1177471974332231
Nonvegan,Slope change,0.5716613833764487,0.09794265858878132,4.040621775671086,0.5716613833764487,NA,NA,Restaurant,9XKJD8DQTH559,0.21872676131854657,1.5655916379965948,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/9XKJD8DQTH559.png,Animal,Exposure: Introductions,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.21872676131854657,1.5655916379965948
