"analysis","outcome","type","n_sub","n_tot","gap","gap_lo","gap_hi","gap_rr","excludes_0","sd_eta_total","gap_in_sd"
"a2_proportion_t","untextured_p","level",1,6,-1.4226115,-2.760531375,-0.291817175,0.24108360426149,TRUE,1.05752160687641,-1.34523161583615
"t2_a2_proportion_t","egg_p","level",5,18,0.9968552537,-0.1379831309,2.276788718,2.70974694878603,FALSE,2.66973720803579,0.373390778200757
"t2_a2_proportion_t","textured_p","level",3,18,-0.972965468333333,-2.40314061558333,0.502349812983334,0.377960544540358,FALSE,2.66973720803579,-0.364442412311126
"t2_a4_its_t","dairy_t2","level",3,13,-0.5848032295,-1.02964515434167,-0.197563059625,0.557215494597051,TRUE,0.5735349476438,-1.01964707103289
"t2_a2_proportion_t","untextured_p","level",12,18,-0.48446877125,-1.59431315561458,0.587626467464583,0.616024359707988,FALSE,2.66973720803579,-0.181466838680515
"t2_a2_proportion_t","breakfast_p","level",11,18,0.435392678863636,-0.659198685318636,1.61765289516818,1.54556985241938,FALSE,2.66973720803579,0.1630844704689
"t2_a4_its_t","textured_t2","level",1,13,0.39824975,-0.039067410725,0.8329619865,1.48921591514098,FALSE,0.5735349476438,0.694377477146062
"t2_a4_its_t","breakfast_t2","slope",4,13,-0.227967039125,-0.63235030235,0.1117714180875,0.796150501220134,FALSE,0.465206437709625,-0.490034145372884
"a2_proportion_t","chicken_p","level",2,6,0.1956087,-0.892936,1.296317375,1.21605097147879,FALSE,1.05752160687641,0.184968986664743
"t2_a1_proportion","chicken_fish","level",17,18,0.183255126279118,-0.813157919330882,1.25162176644559,1.20112080647615,FALSE,2.66973720803579,0.0686416347375044
"t2_a4_its_t","untextured_t2","level",5,13,0.1793603074,-0.172983278635,0.56145026257,1.19645175693644,FALSE,0.5735349476438,0.312727773846824
"a1_proportion","chicken_fish","level",5,6,-0.16579684,-1.33784194,0.886248276,0.847218337584008,FALSE,1.49083381913308,-0.111210812279809
"a1_proportion","vegan","level",5,6,-0.16579684,-1.33784194,0.886248276,0.847218337584008,FALSE,1.49083381913308,-0.111210812279809
"a1_proportion","chicken_fish","level",5,6,0.16524547,-0.718933907,1.1086465015,1.17968265987562,FALSE,1.05752160687641,0.156257299071254
"a2_proportion_t","egg_p","level",2,6,-0.16176125,-1.37051531,0.78502817125,0.850644271617985,FALSE,1.05752160687641,-0.152962595703167
"a2_proportion_t","breakfast_p","level",3,6,0.158767833333333,-0.890255755,1.256959225,1.17206580048029,FALSE,1.05752160687641,0.150131999479693
"a2_proportion_t","untextured_p","level",1,6,-0.1425713,-0.303345085,-0.0311840624999999,0.867125726023838,TRUE,0.0985402936238386,-1.44683250634753
"t2_a2_proportion_t","dairy_p","level",10,18,0.1282002855,-1.0118660799,1.23635292405,1.13678066058101,FALSE,2.66973720803579,0.0480198145023873
"a1_proportion","chicken_fish","level",5,6,0.117999931,-0.2293434177,0.4081089955,1.1252440337255,FALSE,0.335608867067281,0.351599563000652
"a1_proportion","vegan","level",5,6,0.117999931,-0.2293434177,0.4081089955,1.1252440337255,FALSE,0.335608867067281,0.351599563000652
"t2_a2_proportion_t","chicken_p","level",6,18,0.1174709355,-1.038140260375,1.34693883529167,1.12464894210953,FALSE,2.66973720803579,0.044000935802377
"a2_proportion_t","dairy_p","level",3,6,0.106248833333333,-0.965911493333333,1.1157206225,1.1120985692739,FALSE,1.05752160687641,0.100469657208385
"t2_a4_its_t","chicken_t2","slope",1,13,0.1055395155,-0.572294853,0.81795895475,1.11131001762622,FALSE,0.465206437709625,0.226865982378937
"a1_proportion","chicken_fish","level",5,6,-0.0879597999999999,-1.219502633,0.50412237,0.915797691050533,FALSE,0.714510181715434,-0.123105033701299
"t2_a4_its_t","breakfast_t2","level",4,13,0.078895980625,-0.28743149109375,0.467031801770625,1.08209175770765,FALSE,0.5735349476438,0.137560894848903
"t2_a1_proportion","chicken_fish","level",17,18,-0.067307435,-0.725528256983824,0.525556908264706,0.93490773379111,FALSE,1.2815752456157,-0.0525193001583483
"t2_a1_proportion","vegan","level",17,18,-0.067307435,-0.725528256983824,0.525556908264706,0.93490773379111,FALSE,1.2815752456157,-0.0525193001583483
"a4_its_t","untextured","slope",1,6,0.066417,-0.434228375,1.218717375,1.0686722605964,FALSE,0.195545684045873,0.339649531637933
"t2_a4_its_t","textured_t2","slope",1,13,-0.063162225,-0.902065834225,0.755563237,0.938791165938511,FALSE,0.465206437709625,-0.135772465469244
"t2_a6_customer_t_day","untextured_t2","gender_female",6,15,0.0545919358333333,-0.0846628204166667,0.209996550833333,1.0561095662637,FALSE,0.199941177711337,0.273039983350253
"t2_a2_proportion_t","textured_p","level",3,18,-0.0501634616666667,-0.0944261189983333,0.03462884149,0.951073947661201,FALSE,0.0779698608009985,-0.643369901540522
"t2_a2_proportion_t","egg_p","level",5,18,0.04919640452,-0.0015067767635,0.1032904383875,1.05042663902122,FALSE,0.0779698608009985,0.630966940489523
"t2_a6_customer_t_day","dairy_t2","slope",3,15,-0.0441855833333333,-0.165351450833333,0.0303187092500001,0.956776379246062,FALSE,0.100853318939465,-0.438117295473981
"t2_a6_customer_t_day","chicken_t2","gender_female",1,15,-0.04062425,-0.34048692,0.2475633375,0.960189853510072,FALSE,0.199941177711337,-0.203181007859476
"t2_a6_customer_t_day","textured_t2","gender_female",1,15,-0.03992523,-0.275577955,0.17950848,0.960861280064428,FALSE,0.199941177711337,-0.19968487960815
"t2_a6_customer_t_day","chicken_t2","slope",1,15,0.0377472,-0.073034055,0.173830469925,1.03846867481156,FALSE,0.100853318939465,0.374278213121145
"t2_a4_its_t","untextured_t2","slope",5,13,0.03619904853,-0.30454263916,0.429694190555,1.03686221185096,FALSE,0.465206437709625,0.0778128710088808
"t2_a6_customer_t_day","breakfast_t2","gender_female",6,15,-0.0357421848333333,-0.1872108445,0.108686764375,0.96488902444309,FALSE,0.199941177711337,-0.178763500557828
"t2_a4_its_t","dairy_t2","slope",3,13,0.03322623385,-0.39873644525,0.457658049083333,1.03378438981043,FALSE,0.465206437709625,0.071422558151999
"t2_a6_customer_t_day","dairy_t2","level",3,15,-0.0327083166666667,-0.15353833,0.0189222133333333,0.967820815623911,FALSE,0.059029979928202,-0.554096693010056
"a6_customer_t_day","breakfast","gender_male",3,4,-0.0305706183333333,-0.449423975,0.224315039166667,0.969891937496613,FALSE,0.156419663286051,-0.19543974006278
"a6_customer_t_day","untextured","gender_male",1,4,0.029344,-0.439781105,0.48271561975,1.02977877745161,FALSE,0.156419663286051,0.187597897754948
"t2_a2_proportion_t","untextured_p","level",12,18,-0.0288946447083333,-0.07419109273875,0.017251169974375,0.971518813722972,FALSE,0.0779698608009985,-0.37058735787769
"a1_proportion","chicken_fish","level",5,6,0.02838565,-0.1050495389,0.1391978999,1.0287923617015,FALSE,0.0985402936238386,0.288061349891625
"a2_proportion_t","breakfast_p","level",3,6,0.0278032923333333,-0.0992028925,0.149130855833333,1.02819341100095,FALSE,0.0985402936238386,0.282151506869543
"a2_proportion_t","chicken_p","level",2,6,0.02610268175,-0.117405456875,0.136614602125,1.02644634036895,FALSE,0.0985402936238386,0.264893484584516
"t2_a1_proportion","chicken_fish","level",17,18,-0.0258611720882353,-0.571725760655882,0.486622957126618,0.974470363904306,FALSE,1.08414199463756,-0.0238540451492067
"t2_a1_proportion","chicken_fish","level",17,18,0.0222812674617647,-0.0448811601196324,0.113172158488088,1.02253134882435,FALSE,0.167525200534019,0.133002481959364
"t2_a1_proportion","vegan","level",17,18,0.0222812674617647,-0.0448811601196324,0.113172158488088,1.02253134882435,FALSE,0.167525200534019,0.133002481959364
"a2_proportion_t","dairy_p","level",3,6,0.022249385,-0.121275932333333,0.13278298495,1.02249874852741,FALSE,0.0985402936238386,0.225789716894222
"t2_a2_proportion_t","breakfast_p","level",11,18,0.0214935109545455,-0.0347253079159091,0.0559786229145455,1.02172616028837,FALSE,0.0779698608009985,0.275664349451682
"t2_a6_customer_t_day","dairy_t2","gender_female",3,15,-0.0208438783333333,-0.207695737166667,0.16596312125,0.97937185380059,FALSE,0.199941177711337,-0.104250052800162
"t2_a6_customer_t_day","breakfast_t2","slope",6,15,0.01887756,-0.0424541206666667,0.110557574416667,1.0190568676556,FALSE,0.100853318939465,0.187178371505362
"a4_its_t","textured","slope",1,6,0.017598,-0.5991544725,0.6620360925,1.01775375713187,FALSE,0.195545684045873,0.0899943155783061
"a3_its","chicken_fish","slope",5,6,-0.0165362,-0.564259873,0.247214655,0.983599772434428,FALSE,0.195545684045873,-0.0845643823881113
"a6_customer_t_day","untextured","slope",1,4,0.016403,-0.240027745,0.35454176,1.01653826779162,FALSE,0.0608302084406512,0.269652207685652
"t2_a6_customer_t_day","textured_t2","gender_male",1,15,-0.01632998,-0.1842240925,0.1325046935,0.983802631295558,FALSE,0.106752398908087,-0.152970613934962
"a2_proportion_t","egg_p","level",2,6,0.01601035,-0.127475635,0.127038065625,1.01613920239241,FALSE,0.0985402936238386,0.162475160274201
"t2_a6_customer_t_day","dairy_t2","gender_male",3,15,-0.0150427116666667,-0.141025415833333,0.0828651783333333,0.985069864728819,FALSE,0.106752398908087,-0.140912165164722
"t2_a4_its_t","chicken_t2","level",1,13,0.014832954,-0.36651756875,0.42199070275,1.01494350820098,FALSE,0.5735349476438,0.0258623368304527
"a4_its_t","breakfast","slope",3,6,-0.0131541666666666,-0.639910633333333,0.2600299,0.986931971279062,FALSE,0.195545684045873,-0.0672690206938078
"t2_a2_proportion_t","dairy_p","level",10,18,-0.012810768885,-0.05613390022575,0.0368688673345,0.98727093972583,FALSE,0.0779698608009985,-0.164304113838253
"a4_its_t","textured","level",1,6,0.01221495,-0.0879089655,0.1345899325,1.01228985718689,FALSE,0.052764519962022,0.231499310688165
"t2_a1_proportion","chicken_fish","level",17,18,0.01093883945,-0.0368696106160294,0.0517639548997059,1.01099888730581,FALSE,0.0779698608009985,0.140295741683047
"t2_a6_customer_t_day","untextured_t2","gender_male",6,15,-0.010226184,-0.110296593744167,0.0746515543333334,0.989825925640742,FALSE,0.106752398908087,-0.0957934819694747
"a6_customer_t_day","untextured","gender_female",1,4,-0.00920695,-0.355722175,0.386551595,0.990835304187321,FALSE,0.120116873918317,-0.0766499301860036
"t2_a2_proportion_t","chicken_p","level",6,18,-0.00919788356666667,-0.0478924751170833,0.0527200403956667,0.990844287570275,FALSE,0.0779698608009985,-0.117967166699737
"t2_a6_customer_t_day","untextured_t2","level",6,15,0.00701523416666667,-0.0418914175,0.0801640016666667,1.00703989856365,FALSE,0.059029979928202,0.118841886363493
"t2_a6_customer_t_day","untextured_t2","slope",6,15,-0.0052722025,-0.0923758646666667,0.0649988079166667,0.994741671167298,FALSE,0.100853318939465,-0.052275944465095
"a4_its_t","breakfast","level",3,6,0.00481774833333333,-0.08375842,0.118829284166667,1.00482937234252,FALSE,0.052764519962022,0.0913065889124164
"t2_a6_customer_t_day","breakfast_t2","level",6,15,-0.00391042658333333,-0.0656464018333333,0.0515648303120833,0.996097209178427,FALSE,0.059029979928202,-0.0662447554291832
"t2_a6_customer_t_day","chicken_t2","level",1,15,0.00357625,-0.0705417425,0.0991861185,1.00358265241196,FALSE,0.059029979928202,0.0605836221586012
"t2_a6_customer_t_day","textured_t2","level",1,15,-0.00344385,-0.1322371175,0.1211026085,0.996562073249866,FALSE,0.059029979928202,-0.058340694070856
"a4_its_t","untextured","level",1,6,0.00327779999999999,-0.121581425,0.1513144825,1.00328317786067,FALSE,0.052764519962022,0.0621212891230553
"a1_proportion","chicken_fish","level",5,6,0.002962316,-0.0346976578,0.062280435265,1.0029667079938,FALSE,0.041781995868828,0.0708993416518447
"t2_a6_customer_t_day","breakfast_t2","gender_male",6,15,0.00287023416666667,-0.0779099233333333,0.0920239290833334,1.00287435723253,FALSE,0.106752398908087,0.0268868352938646
"a6_customer_t_day","breakfast","slope",3,4,-0.00286328333333333,-0.274286263333333,0.2137859975,0.997140811952803,FALSE,0.0608302084406512,-0.0470700891338698
"t2_a6_customer_t_day","chicken_t2","gender_male",1,15,0.0024167,-0.152779745,0.1752174805,1.0024196225733,FALSE,0.106752398908087,0.0226383671441497
"a3_its","chicken_fish","level",5,6,0.00167417217,-0.0810716589,0.10292221445,1.00167557437863,FALSE,0.052764519962022,0.0317291272848689
"a6_customer_t_day","untextured","level",1,4,0.00107405,-0.22758735025,0.3206399675,1.00107462699826,FALSE,0.0480518108470799,0.0223519151737706
"a6_customer_t_day","breakfast","gender_female",3,4,-0.000402133333333333,-0.220123023333333,0.2537101995,0.999597947511438,FALSE,0.120116873918317,-0.0033478504744204
"a6_customer_t_day","breakfast","level",3,4,0.00026967566666667,-0.17529478175,0.23248989575,1.00026971203242,FALSE,0.0480518108470799,0.00561218530400209
"t2_a1_proportion","chicken_fish","level",17,18,-0.000143400179999999,-0.0267130489415882,0.0276155798230882,0.999856610101314,FALSE,0.0482597153233579,-0.0029714261478578
"t2_a6_customer_t_day","textured_t2","slope",1,15,-0.0001116,-0.235814175,0.2474282125,0.999888406227048,FALSE,0.100853318939465,-0.00110655753497795
"a1_proportion","chicken_fish","slope",5,6,0,0,0,1,FALSE,0,NA
"a1_proportion","chicken_fish","slope",5,6,0,0,0,1,FALSE,0,NA
