"fit_dir","model_col","type_fine","restaurant","variable","mean","q2.5","q97.5","rhat","ess_bulk"
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/total","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0128533584345,-0.036487155,0.068369515,1.00372234765838,422.3759367498
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/total","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.0254137677651967,-0.04649888,0.10777095,1.00382722145512,228.701882468853
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/total","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",0.0002064742302,-0.069822905,0.0790832649999999,1.00903905604245,291.101439238197
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/total","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",-0.04084096008622,-0.16843855,0.07672195,1.00794706528651,254.14592904498
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/vegan","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.00592063777646667,-0.03306139,0.018813475,1.00187155161884,196.816848203545
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/vegan","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.00506868838188,-0.02996179,0.02492478,1.02677503231156,165.43099339286
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/vegan","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",-0.00928830170286,-0.026788395,0.00721274249999999,1.01802562113738,233.27154257232
"model_fits/finalized_redone_trunc_cp/t2_customer_gaussian_iid_day/vegan","mu_gamma[4]","pooled_mu_gamma",NA,"mu_gamma[4]",0.00727299282533667,-0.012631165,0.02708763,1.00663295660002,159.273829640505
"model_fits/finalized_redone_trunc_cp/t2_customer_targeted_gaussian_iid/dairy_t2","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0903713012983,-0.2771725,0.5183155,1.01614139248245,127.763859801098
"model_fits/finalized_redone_trunc_cp/t2_customer_targeted_gaussian_iid/dairy_t2","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0986276585157167,-0.41727175,0.2464146,1.02201123931919,167.876733242177
"model_fits/finalized_redone_trunc_cp/t2_customer_targeted_gaussian_iid/dairy_t2","mu_gamma[3]","pooled_mu_gamma",NA,"mu_gamma[3]",0.0496216982316,-0.086194925,0.2494757,1.00749255860029,125.386945630275
"model_fits/finalized_redone_trunc_cp/t2_its_targeted/breakfast_t2","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.17833379310918,-0.3257643865,0.0143193207000001,1.0014864120806,2781.87391545128
"model_fits/finalized_redone_trunc_cp/t2_its_targeted/breakfast_t2","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.006084510866137,-0.4208948175,0.420547815,1.00229380825252,2606.65160547935
"model_fits/finalized_redone_trunc_cp/t2_its_targeted/textured_t2","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.11927864606335,-0.4734224,0.621024,1.0006655871138,1440.40696800181
"model_fits/finalized_redone_trunc_cp/t2_its_targeted/textured_t2","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.33610766545665,-1.2342645,0.6150337,1.00206168702962,2019.60094423267
"model_fits/finalized_redone_trunc_cp/t2_its_targeted/untextured_t2","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.464017615116934,-0.547043999,1.448786195,1.01262387316355,246.012674664336
"model_fits/finalized_redone_trunc_cp/t2_its_targeted/untextured_t2","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0319993545982733,-0.4703401895,0.361925158,1.01482366400901,373.064785122919
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/mpbamod_dishes_count","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0417911792675107,-0.006941184515,0.0926628627,1.00063852885335,1590.81144873896
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/mpbamod_dishes_count","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.024949252530941,-1.6267142,1.67865505,1.00165442486294,2593.75389423666
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/mpbamod_dishes_prop","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",-0.296585157438933,-1.32836339,0.748722074999999,1.00312560585915,1707.4490683482
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/mpbamod_dishes_prop","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.004728869074585,-1.717450595,1.68504051,1.00084794807744,2375.35924518661
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegan_dishes_count","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.0594293639925613,0.002555710085,0.1193327175,1.00316881478204,1213.35714344912
"model_fits/finalized_redone_trunc_cp/t2_proportion/chicken_fish/vegan_dishes_count","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",-0.0524761433124667,-1.689861725,1.54604348,1.00163837309978,2126.21740167548
