"fit_dir","variable","model_col","type_fine","restaurant","transform","mean","median","sd","q2.5","q97.5","mean_t","q2.5_t","q97.5_t","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[43,2]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp",-0.0524656468166667,-0.05241635,0.0105843707364408,-0.073381995,-0.032316625,0.948886917782147,0.929245794971852,0.968199977224589,1.00093093893411,3646.20344691817,4883.74597873672
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[44,3]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp",0.1721951619013,0.1718795,0.0923029863244624,-0.00667233675,0.359903975,1.18790964529768,0.993349873862502,1.43319178571132,1.00115324654931,1590.69446606305,2906.94696851894
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","beta[45,5]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp",0.0144822267332267,0.0143313,0.0101893321780391,-0.00531835775,0.035050645,1.01458760225503,0.994695759676316,1.03567215908794,1.00202450324549,2276.28727819418,4956.18148976397
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp",0.108706688404667,0.1019945,0.137895743122556,-0.16398505,0.40814685,1.11483530825838,0.848754710668282,1.50402801146727,1.00287070629228,280.308288161108,631.141217833375
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_count","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp",-0.0866249551656667,-0.0573947,1.00522141765966,-2.07507725,1.920693,0.917020955119953,0.125546728633797,6.82568703176762,1.00114979934542,929.106489975337,1614.50420537105
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","beta[41,1]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp_p10",-1.154242714544,-1.12932,1.24666723659958,-3.71510075,1.27903,0.890988042910955,0.689692057146648,1.13644276240254,1.00027447723068,1654.64698931678,2861.31289831375
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","beta[42,4]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp_p10",0.7668260714415,0.6664175,1.72115189985733,-2.2697915,4.489874,1.07969933314854,0.796937398261671,1.56672491634114,1.00101655804435,1116.63709053708,2270.37238748228
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","beta[43,2]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp_p10",-2.88811451083333,-2.8936,0.60584614632128,-4.10402475,-1.72636,0.749153444157357,0.663383201245752,0.841443844666873,1.00138226097201,3465.15862548707,3450.89591848682
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","beta[44,3]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp_p10",1.04148547590517,0.8326355,1.98595404327932,-2.38545925,5.461226,1.10976529563264,0.787772508973906,1.72654551485552,1.00197967565379,1119.55808312771,2122.19533447
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","beta[45,5]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp_p10",0.611297097536012,0.6094355,0.685359237815479,-0.7031644,1.97381775,1.06303679148528,0.932098819882942,1.21820903369275,1.0006232987943,2816.23433502215,3826.85686527616
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp_p10",-0.205232374846167,-0.2174855,0.758139540685737,-1.65760275,1.323639,0.979685930773264,0.847249316688894,1.1415236441484,1.00320238999202,670.4526215419,1039.76395053702
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegan_dishes_prop","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp_p10",-0.023327228012,-0.01110055,1.00072947245515,-1.9803315,1.88904625,0.997669995882244,0.820342658327956,1.20792574107129,1.00152986626679,1505.62400008246,2350.27996970008
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_count","beta[41,1]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp",0.04110375689515,0.0411599,0.0591745770171298,-0.0830307325,0.15431775,1.04196021049338,0.920322862963118,1.16686159815136,1.00162758212583,1548.86092886983,3012.43805971548
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_count","beta[42,4]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp",0.115939757597667,0.115144,0.0405331312458346,0.03965592,0.199099075,1.12292822220182,1.04045271362548,1.22030286141691,1.00028655243895,1490.18321274636,2553.20348291501
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_count","beta[43,2]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp",-0.0283792089383333,-0.02833715,0.00794016914819001,-0.0441451025,-0.012765535,0.972019698346629,0.956815111135151,0.987315598836026,1.00034610536528,5169.17680460139,5276.09429239737
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_count","beta[44,3]","exposure_L69HYJ4Y3TR91_1","level","L69HYJ4Y3TR91","exp",0.183314037529,0.180137,0.0815855884363193,0.0357425475,0.353299825,1.20119156808843,1.03638899120436,1.42375795767527,1.01090814550011,561.568816700417,875.845209361931
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_count","beta[45,5]","exposure_W8T41JZK0ZMEP_1","level","W8T41JZK0ZMEP","exp",0.00990262211428167,0.00982467,0.00725534868521053,-0.00381443625,0.0243773475,1.00995181532315,0.996192829470807,1.02467690421546,1.00030401954159,2273.67929975868,4162.4007877406
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_count","mu_gamma[1]","mu_gamma[1]","pooled_mu_gamma",NA,"exp",0.0692846234446,0.0613568,0.0784919878439525,-0.07562966,0.24916155,1.07174120841578,0.927159507238382,1.28294927678491,1.03072467010167,183.894821905864,252.603711135859
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_count","mu_gamma[2]","mu_gamma[2]","pooled_mu_gamma",NA,"exp",0.0183543901211333,0.0261867,1.01308649209147,-1.96428675,1.9763765,1.01852386723463,0.140255888460863,7.21654639628705,1.00260955551455,988.483848222431,1973.7368992533
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_prop","beta[41,1]","exposure_2HRX9P6HKXA8V_1","level","2HRX9P6HKXA8V","exp_p10",-0.111348177741392,-0.1648735,1.39460868448133,-2.7302975,2.73748725,0.988926944858188,0.761070145455306,1.31488436315657,1.00039417270281,1599.37306046584,3053.38762239657
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_prop","beta[42,4]","exposure_ED5J990H5VAZT_1","level","ED5J990H5VAZT","exp_p10",-5.45863289583333,-5.3436,2.13618958709415,-9.92960925,-1.6913535,0.57934142797517,0.370478107522469,0.844394606841154,1.00323777357085,526.435313794025,824.553597722851
"model_fits/finalized_redone_trunc/proportion/chicken_fish/vegetarian_dishes_prop","beta[43,2]","exposure_JHDN7CF1C03X5_1","level","JHDN7CF1C03X5","exp_p10",-2.4902446635,-2.498025,0.575307885820259,-3.59772575,-1.3694435,0.779560900141546,0.697835013153509,0.872018752625431,1.00222384862904,3351.3322740931,3925.07371546962
