"fit_dir","total_dir","analysis","outcome","gamma_index","level","restaurant","type_fine","mean","q2.5","q97.5","mean_exp","mean_exp_p10","rhat","ess_bulk","ess_tail"
"model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","nonvegan",NA,"restaurant","ED5J990H5VAZT","level",-0.0022769483405,-0.02539033275,0.0201620275,0.997791452454399,0.999772990706177,1.00051753582691,1108.11874205087,2161.61371864765
"model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","nonvegan",NA,"restaurant","JHDN7CF1C03X5","level",0.0014520607404,-0.038844697275,0.0406122625,1.00166283452309,1.00014731144029,1.00216613461077,1605.46907440238,2081.72364702122
"model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","nonvegan",NA,"restaurant","L69HYJ4Y3TR91","level",-0.0206589455582,-0.1994282275,0.157130395,0.983523223721423,0.997976624934632,1.00715646816109,342.680263184116,745.0453623501
"model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","nonvegan",NA,"restaurant","SRQS8F7JWA9MZ","level",0.007021910775,-0.083668475,0.098046725,1.00816448552861,1.00071353664854,1.00257042287047,1112.80494768685,2607.64471181384
"model_fits/finalized_redone_trunc/a1_proportion/nonvegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","nonvegan",NA,"restaurant","W8T41JZK0ZMEP","level",0.00389966602715,-0.02437108155,0.03185128925,1.00401345972107,1.0003911009707,1.00047282565876,1242.96049111813,2162.00712355585
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",1,"pooled",NA,"level",0.00872529863905,-0.170586042,0.20123935475,1.01291481576595,1.00091387314448,1.00976359991991,177.506737884002,469.643912296804
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",2,"pooled",NA,"slope",-0.00049614756149999,-2.851504975,2.79354275,2.779371820816,1.01066168425208,1.00561217491989,505.514881428441,1048.12760296635
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",NA,"restaurant","2HRX9P6HKXA8V","level",0.0276503375603875,-0.21790079,0.2626467975,1.03545357076745,1.00284119784441,1.00549676097757,434.15146515506,1497.33765644006
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",NA,"restaurant","ED5J990H5VAZT","level",0.017459020399975,-0.009641405,0.04448103,1.01770957541256,1.00174838433958,1.00076307738673,986.637558188489,1939.55575807887
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",NA,"restaurant","JHDN7CF1C03X5","level",-0.0075965931930675,-0.056469783,0.0419414275,0.992746188791731,0.999243789783223,1.00102474458355,1638.61355085859,2384.7156664443
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",NA,"restaurant","L69HYJ4Y3TR91","level",0.0375200560708,-0.163151065,0.29328196,1.04568835247328,1.00382971076297,1.0045537040151,345.520016861755,1078.63206862275
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",NA,"restaurant","SRQS8F7JWA9MZ","level",-0.041383182218325,-0.1717504775,0.0929965325,0.96168116272268,0.995893202803366,1.00114866435568,394.27646598415,405.252541716425
"model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegan",NA,"restaurant","W8T41JZK0ZMEP","level",-0.01095554478691,-0.0376643475,0.01677795575,0.989200836646416,0.998906020530788,1.0003391045865,1616.86595570858,2695.80969767431
"model_fits/finalized_redone_trunc/a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count","a1_proportion","vegetarian",1,"pooled",NA,"level",0.0239863713614475,-0.2797333,0.27437985,1.03397608407202,1.00249734635354,1.06608340023127,35.0622014269724,68.3901647595782
