Outcome,Exposure_Group,Exposure_Type,Mean_t,Q2.5_t,Q97.5_t,Rhat,ci
Nonvegan,Mpbamod,count,1.0043825899526557,0.9338926501112139,1.082655010949764,1.00056189053564,"1.004 [0.934, 1.083]"
Nonvegan,Mpbamod,prop,0.9962941582582834,0.8501473656006149,1.158708669870916,1.00360910329107,"0.996 [0.850, 1.159]"
Nonvegan,Vegan,count,1.0064526587223792,0.8852847943861101,1.136181576165437,1.00398620412241,"1.006 [0.885, 1.136]"
Nonvegan,Vegan,prop,0.9885829677999834,0.8961824754554127,1.081675419183202,1.00273386236915,"0.989 [0.896, 1.082]"
Nonvegan,Vegetarian,count,1.0020636860658672,0.9582569831347841,1.0447733873082363,1.00339872863888,"1.002 [0.958, 1.045]"
Nonvegan,Vegetarian,prop,0.9852639970021801,0.9112910599220699,1.0695167294446801,1.03252746942009,"0.985 [0.911, 1.070]"
Meat,Mpbamod,count,1.0076359497094844,0.9404965948657711,1.0760839159771824,1.00023192038229,"1.008 [0.940, 1.076]"
Meat,Mpbamod,prop,1.021679051240455,0.8820432970538383,1.165893612524043,1.62180190276185,"1.022 [0.882, 1.166]"
Meat,Vegan,count,1.0036377307500577,0.8706041293700127,1.1568591812069164,1.03774088429,"1.004 [0.871, 1.157]"
Meat,Vegan,prop,0.9660780762781185,0.8613778871872025,1.087373282388626,1.00333658072244,"0.966 [0.861, 1.087]"
Meat,Vegetarian,count,0.9856009661349147,0.948532762339916,1.0225222186911218,1.00164047837956,"0.986 [0.949, 1.023]"
Meat,Vegetarian,prop,0.9013480966553797,0.8280727332627489,0.9820765599597665,0.999939242075121,"0.901 [0.828, 0.982]"
Chicken Fish,Mpbamod,count,1.0169320199440366,0.9390576285367153,1.1009622968284147,1.00063852885335,"1.017 [0.939, 1.101]"
Chicken Fish,Mpbamod,prop,0.9982999004003184,0.8508640295811025,1.172267653324013,1.00312560585915,"0.998 [0.851, 1.172]"
Chicken Fish,Vegan,count,0.9514028305525398,0.8496182570971765,1.059560972985018,1.00316881478204,"0.951 [0.850, 1.060]"
Chicken Fish,Vegan,prop,0.9110211306455396,0.7917001676858375,1.0471783648400075,1.00278823757493,"0.911 [0.792, 1.047]"
Chicken Fish,Vegetarian,count,0.9784060151694454,0.9341083017066336,1.0219638798199304,1.00137997375096,"0.978 [0.934, 1.022]"
Chicken Fish,Vegetarian,prop,0.8321075253984342,0.7439968533881436,0.9393842923691972,1.00540853581113,"0.832 [0.744, 0.939]"
Vegetarian,Mpbamod,count,1.0064230935560545,0.9317848334705549,1.087640666857124,1.00986550584983,"1.006 [0.932, 1.088]"
Vegetarian,Mpbamod,prop,1.01008135552335,0.8693943160791211,1.1885821953208613,1.02611729398468,"1.010 [0.869, 1.189]"
Vegetarian,Vegan,count,0.9853000959407429,0.8851111983625071,1.0847853260595544,1.00211710872981,"0.985 [0.885, 1.085]"
Vegetarian,Vegan,prop,0.9878100454810212,0.9041799628078966,1.0813155588626446,1.00214940861979,"0.988 [0.904, 1.081]"
Vegetarian,Vegetarian,count,1.004108077634174,0.9598618839558364,1.04955640890995,1.04278265808056,"1.004 [0.960, 1.050]"
Vegetarian,Vegetarian,prop,1.036235639483428,0.9522685526517206,1.1302983569241551,1.01601935396981,"1.036 [0.952, 1.130]"
Vegan,Mpbamod,count,1.0232221728951865,0.9408177903789429,1.121646786577542,1.0216551946903,"1.023 [0.941, 1.122]"
Vegan,Mpbamod,prop,1.0298950145242827,0.8604901064844075,1.2304860011438306,1.010702546537,"1.030 [0.860, 1.230]"
Vegan,Vegan,count,1.0244672403757569,0.9155823429650082,1.1543475668103078,1.0050888444834,"1.024 [0.916, 1.154]"
Vegan,Vegan,prop,1.0315142474569976,0.9128490279728416,1.1657764051703707,1.00467684333929,"1.032 [0.913, 1.166]"
Vegan,Vegetarian,count,1.0148098306115896,0.9576708239985854,1.0637209454160335,1.01591069401392,"1.015 [0.958, 1.064]"
Vegan,Vegetarian,prop,0.986280389918943,0.9017501379213102,1.0858361132073078,1.00386486160666,"0.986 [0.902, 1.086]"
