"fit_dir","total_dir","analysis","outcome","gamma_index","level","restaurant","type_fine","model_col","total_source","mean","median","q2.5","q16","q84","q97.5"
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count","a1_proportion","chicken_fish",NA,"restaurant","L69HYJ4Y3TR91","level","exposure_L69HYJ4Y3TR91_1","matched_restaurant",0.06288504770195,0.06076095,-0.12406067125,-0.030960096,0.157978568,0.255543955
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count","a1_proportion","chicken_fish",NA,"restaurant","W8T41JZK0ZMEP","level","exposure_W8T41JZK0ZMEP_1","matched_restaurant",-0.013886005277355,-0.01403035,-0.038227353,-0.0261641788,-0.001720276,0.0103213225
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count","a1_proportion","chicken_fish",1,"pooled",NA,"level",NA,"mu_gamma_total_subset",-0.077391199197,-0.0820705,-0.52145225,-0.274856276,0.13366764,0.355529525
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count","a1_proportion","chicken_fish",2,"pooled",NA,"slope",NA,"mu_gamma_total_subset",-0.164491422384,-0.153763,-2.8716604,-1.54533488,1.190149,2.49111655
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop","a1_proportion","chicken_fish",NA,"restaurant","2HRX9P6HKXA8V","level","exposure_2HRX9P6HKXA8V_1","matched_restaurant",-1.17380015788425,-1.1327297,-4.2324185,-2.626651124,0.246998664,1.780858325
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop","a1_proportion","chicken_fish",NA,"restaurant","ED5J990H5VAZT","level","exposure_ED5J990H5VAZT_1","matched_restaurant",-0.76901085501025,-0.895357,-3.97862175,-2.47419468,1.008096,3.0307315
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop","a1_proportion","chicken_fish",NA,"restaurant","JHDN7CF1C03X5","level","exposure_JHDN7CF1C03X5_1","matched_restaurant",-2.1250059153638,-2.113024,-3.64314035,-2.88627658,-1.34284012,-0.66042275
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop","a1_proportion","chicken_fish",NA,"restaurant","L69HYJ4Y3TR91","level","exposure_L69HYJ4Y3TR91_1","matched_restaurant",-2.23841018131475,-2.37702,-6.248932,-4.291231564,-0.1888772,2.45844225
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop","a1_proportion","chicken_fish",NA,"restaurant","W8T41JZK0ZMEP","level","exposure_W8T41JZK0ZMEP_1","matched_restaurant",-0.593395269681375,-0.5959355,-2.24355015,-1.43357852,0.2511412,1.0396149075
"model_fits/finalized_redone_trunc/a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop","a1_proportion","chicken_fish",1,"pooled",NA,"level",NA,"mu_gamma_total_subset",-1.08943689536925,-1.0812475,-2.93512975,-2.05603744,-0.132549734,0.814137300000001
