"era","analysis","chains","warmup","sampling","thin","draws","adapt_delta","max_treedepth","seed","metric","algorithm","engine","stepsize_jitter","adapt_engaged","init","gamma","kappa","t0","init_buffer","term_buffer","window","stan"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpKak5Cx/init-136bbd7bfc6496_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpNw6hpf/init-136bc8311b4906_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpBkbbVS/init-136c5016bd185f_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp8mpnwE/init-136c5b424d1405_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpcsMsxE/init-136c6554e77c8c_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpAQiff8/init-136caa3dea3766_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpeVhyce/init-136cd12f5a72d8_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpa2Exe7/init-136d477a66e7bf_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpZ3MaHi/init-136d75a78b054_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpbaohHM/init-136e0cd2db595_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpohPNpa/init-136e554d3f9497_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpfhGVvi/init-136ecf3a2d0a78_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpd469sI/init-3d02e538a84b8_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpr4pmBv/init-3d4ce440152a1_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpJQzFhD/init-3d27c112e0dbb_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpB4hvOQ/init-3d4c61dfd78d6_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpDqyBpo/init-20d724cff68f5_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpKbCDhI/init-713aa1c35ba_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpad2gyH/init-6fa158ebe646_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpGQSU1H/init-210d866c9bdf9_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpl4eRev/init-3d4bf6025ace0_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpgQexmr/init-210d910ffb56c_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpCaCtdA/init-3d4d35d4510c_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a2_proportion_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpLLXhSP/init-2136f2c50a6ba_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc","t2_a3_its",3,750,1000,1,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpEQiluW/init-1031ed75d6c705_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","t2_a3_its",3,1500,2000,2,3000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpLqiau1/init-371b4a774c56_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a3_its",3,1500,2000,2,3000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpKukdIp/init-3b7ec49ee0394_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc","t2_a3_its",1,750,1000,1,1000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpUNSZTc/init-1032aa21ed9f6c_3.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","t2_a3_its",1,750,1000,1,1000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmppeuxi8/init-1032dc7622184c_3.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","t2_a4_its_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpPLa0iR/init-ba5a33fe7e15_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc","t2_a4_its_t",3,750,1000,1,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmpqe6w5j/init-10343d76ba9bf4_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","t2_a4_its_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpLKWF1G/init-2787ac3e4383e3_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","t2_a4_its_t",3,1500,2000,1,6000,0.85,12,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpCgWu3X/init-b9595e7bff5e_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp5oXMrK/init-2cbfe42eda80e_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp1iafyk/init-277df3198a759_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpSjYmY9/init-3978725203e64_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpVa4oBr/init-9bc9787dd072_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc_cp","t2_a5_customer_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpsuzXwv/init-625518dbcb0f_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_redone_trunc_cp","t2_a6_customer_t_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpaSfI4O/init-3ac3e178fc633_1.json",0.05,0.75,10,75,50,25,"2.38.0"
"finalized_uncontaminated2","t2_a6_customer_t_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/Rtmp9TO4lo/init-10e1d633cb732_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_uncontaminated2","t2_a6_customer_t_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpwX6MnO/init-114ba755f3538_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_uncontaminated2","t2_a6_customer_t_day",3,1500,2000,2,3000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpEZLxF7/init-115e35ec6ccbf_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpoEjYdt/init-c5e406e50876c_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpoaUf6d/init-c5e4a1f90d080_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpdaT2fh/init-c5e54355e639_1.json",0.05,0.75,10,75,50,25,"2.36.0"
"finalized_redone_trunc","a1_proportion",2,1500,2000,1,4000,0.85,10,123,"diag_e","hmc","nuts",0,1,"/tmp/RtmpcOtQcB/init-c5e9c4d7914fe_1.json",0.05,0.75,10,75,50,25,"2.36.0"
