Outcome,Effect,Mean_t,Q2.5_t,Q97.5_t,Rhat,ci
nonvegan,Level,-0.0246668804752667,-0.35734522275,0.2999346725,1.02719426345497,"-0.025 [-0.357, 0.300]"
nonvegan,Slope,0.00262415504775,-0.40734145,0.36643775375,1.04133282131263,"0.003 [-0.407, 0.366]"
meat,Level,0.0100245427367967,-0.2610397325,0.22186940175,1.01190509572113,"0.010 [-0.261, 0.222]"
meat,Slope,0.129379685370633,-0.247034669,0.6011882,1.04448175457076,"0.129 [-0.247, 0.601]"
chicken_fish,Level,0.0594097367424,-0.262377225,0.303703725,2.59984174527487,"0.059 [-0.262, 0.304]"
chicken_fish,Slope,-0.187749527326333,-0.4188112425,0.0805696850000001,2.52037569946999,"-0.188 [-0.419, 0.081]"
vegan,Level,0.00596859461376667,-0.249207422,0.2190025075,1.12838474865292,"0.006 [-0.249, 0.219]"
vegan,Slope,-0.0491056079316667,-0.349359015,0.27643169,1.03417141594241,"-0.049 [-0.349, 0.276]"
vegetarian,Level,-0.0329014642691,-0.3127071625,0.1687175525,1.02683598693921,"-0.033 [-0.313, 0.169]"
vegetarian,Slope,-0.0888298011733667,-0.4959276975,0.391881745000001,1.01641939810617,"-0.089 [-0.496, 0.392]"
