outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Level change,-0.23555271646781,-0.70743997,0.28236292,0.790134008836846,1.0004118007458,2703.00395091767,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.488053453712708,0.016948020777087958
Breakfast-style meat,Slope change,-0.8202089989468,-1.721027325,0.2683642725,0.44033961437255065,1.00065442799972,3934.89746144297,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.327706855451902,-0.31271114244169795
Whole-muscle meat,Level change,0.13525815022379,0.0102455,0.2427601475,1.1448322849184585,1.0098175799851,321.727858791637,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.07594318912685123,0.1945731113207288
Whole-muscle meat,Slope change,-0.965550284267083,-1.782957825,-0.06766545,0.3807736083512083,1.0116819923268,207.336734111387,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.4031248697262666,-0.5279756988078994
Ground meat,Level change,0.01267033186614,-0.728953635,0.847585512499999,1.0127509406076738,1.01042910104574,181.478657553481,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.38950802208794144,0.4148486858202214
Ground meat,Slope change,-0.965725775190833,-1.944109725,0.0871446249999996,0.38070679190195084,1.0112403634854,176.724441195302,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.4839029052928736,-0.44754864508879233
Breakfast-style meat,Level change,-0.178767264394667,-0.38757445,0.0309659199999999,0.8363005136556093,1.00019014689066,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2855377669456874,-0.0719967618436466
Breakfast-style meat,Slope change,-0.580544939288333,-0.974408175,-0.126671975,0.5595933390662696,1.00018768467054,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7968041739822105,-0.3642857045944554
Breakfast-style meat,Level change,-0.258772382602867,-0.64616135,0.0684647575,0.7719987233867248,0.999835823809117,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.4410749610467446,-0.07646980415898944
Breakfast-style meat,Slope change,0.0507343547365333,-0.512908275,0.619081125,1.0520433858175264,1.00064740381577,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.23803845138591573,0.33950716085898236
Breakfast-style meat,Level change,-0.150449807982817,-0.435370175,0.18877888225,0.8603209101656604,1.00087833707847,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.30967150626087825,0.008771890295244222
Breakfast-style meat,Slope change,-0.268677606987767,-1.52640925,1.06308125,0.7643896498099088,0.999884074414089,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.9292619182122568,0.3919067042367228
Whole-muscle meat,Level change,0.199765013316667,0.129727125,0.272556925,1.2211157784965363,1.0098175799851,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.16332883984727922,0.23620118678605476
Whole-muscle meat,Slope change,-0.365768822572083,-1.11211225,0.367301925,0.693663141936457,1.0116819923268,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7431703978271851,0.011632752683019054
Ground meat,Level change,0.0747518749087833,-0.0554923875,0.236448475,1.0776167339591687,1.00216224740543,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,2.7716508735471657e-4,0.1492265847302119
Ground meat,Level change,0.0482473353492233,-0.0770390525,0.19597195,1.0494301844089353,1.01026319763749,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.02139832855383792,0.11789299925228452
Ground meat,Slope change,-0.667273554843167,-1.8558825,0.082466209999999,0.5131056267834804,1.00166907238823,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.1617502665778607,-0.17279684310847326
Ground meat,Slope change,-0.134837487572558,-0.85784195,1.0622415,0.8738579129199074,1.00249200851401,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.624654694205211,0.35497971906009507
