"table_id","tier","analysis","outcome_key","outcome_label","outcome_order","column","column_order","exposure","fit_dir","total_dir","gamma_index","n_rest","reported","suppress_reason","transform"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","vegetarian","Vegetarian",4,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/vegetarian/vegetarian_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","vegan","Vegan",5,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","vegan","Vegan",5,"Count",1,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_count",1,5,TRUE,,"exp"
"t1_a1","T1","a1_proportion","vegan","Vegan",5,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_count",1,6,TRUE,,"exp"
"t1_a1","T1","a1_proportion","vegan","Vegan",5,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/a1_proportion/vegan/mpbamod_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","vegan","Vegan",5,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc/a1_proportion/vegan/vegan_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegan_dishes_prop",1,5,TRUE,,"exp_p10"
"t1_a1","T1","a1_proportion","vegan","Vegan",5,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc/a1_proportion/vegan/vegetarian_dishes_prop","model_fits/finalized_redone_trunc/a1_proportion/total/vegetarian_dishes_prop",1,6,TRUE,,"exp_p10"
"t1_a2","T1","a2_proportion_t","breakfast_p","Breakfast-style meat",1,"Count",1,,"model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,3,TRUE,,"exp"
"t1_a2","T1","a2_proportion_t","breakfast_p","Breakfast-style meat",1,"Presence",2,,"model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_presence","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,2,FALSE,"pooled outside both restaurant estimates","exp"
"t1_a2","T1","a2_proportion_t","untextured_p","Ground meat",2,"Count",1,,"model_fits/finalized_uncontaminated2/a2_proportion_t/untextured_p/untextured_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,1,FALSE,"fewer than two contributing restaurants","exp"
"t1_a2","T1","a2_proportion_t","untextured_p","Ground meat",2,"Presence",2,,"model_fits/finalized_uncontaminated2/a2_proportion_t/untextured_p/untextured_dishes_presence","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,1,FALSE,"fewer than two contributing restaurants","exp"
"t1_a2","T1","a2_proportion_t","chicken_p","Chicken",3,"Count",1,,"model_fits/finalized_uncontaminated2/a2_proportion_t/chicken_p/chicken_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,2,TRUE,,"exp"
"t1_a2","T1","a2_proportion_t","chicken_p","Chicken",3,"Presence",2,,"model_fits/finalized_uncontaminated2/a2_proportion_t/chicken_p/chicken_dishes_presence","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,1,FALSE,"fewer than two contributing restaurants","exp"
"t1_a2","T1","a2_proportion_t","dairy_p","Dairy",4,"Count",1,,"model_fits/finalized_uncontaminated2/a2_proportion_t/dairy_p/dairy_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,3,TRUE,,"exp"
"t1_a2","T1","a2_proportion_t","dairy_p","Dairy",4,"Presence",2,,"model_fits/finalized_uncontaminated2/a2_proportion_t/dairy_p/dairy_dishes_presence","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_prop",1,1,FALSE,"fewer than two contributing restaurants","exp"
"t1_a2","T1","a2_proportion_t","egg_p","Egg",5,"Count",1,,"model_fits/finalized_uncontaminated2/a2_proportion_t/egg_p/egg_dishes_count","model_fits/finalized_redone_trunc/a1_proportion/total/mpbamod_dishes_count",1,2,TRUE,,"exp"
