outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Count,-5.282079469549749,NA,-3.3310430719058246,1.0054540293590644,1.0005440689518506,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-5.424210387767738,NA,-1.8011960728173735,1.0038123761887912,1.0003805851541598,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-8.214905528044627,NA,-3.4490493033187817,1.000178641954574,1.000017862759537,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-8.045042496890668,NA,-2.960408477181284,1.000361799433633,1.0000361740542654,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Count,-5.050704362464683,NA,-3.837623327431854,1.0062744966990982,1.000625685059287,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-2.101863170057405,NA,0.29640583435939516,1.1430256665672869,1.0134576336363232,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.5685612337212076,0.9813368296354138,0.9981178210245909,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.44755773105836494,0.9835803204658753,0.9983457720957691,NA,Restaurant,78AY09MVJVTYE,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.12768216135180796,0.8038363703349213,0.9784007236338839,NA,Restaurant,9XKJD8DQTH559,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.18225190978532466,0.8798649184973805,0.9872828664109208,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-2.792131901642028,NA,-0.10173793596339781,1.0640678423564796,1.0062292365467096,NA,Restaurant,CB2KHY1C2G9PT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.12331913964030622,0.7330058655594592,0.969417253603433,NA,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.1953413905788782,0.6636743477143907,0.959832615093697,NA,Restaurant,EMBVNVD207CC6,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.13659558819461948,0.755767607156631,0.9723862909487772,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.5148433260304698,0.5515190768740872,0.9422281040933386,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-3.16445517002421,NA,0.27758057676691034,1.0630683160391674,1.0061346769751374,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.8039492080940428,0.5731299351842364,0.9458566232152932,NA,Restaurant,LFZFT3VASXPED,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-3.604031104456821,NA,0.8060878012939169,1.0201342435911127,1.0019954111885092,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-2.149932618872914,NA,0.11675910735400609,1.1332117751715869,1.012584109844831,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,0.9195672109494453,0.803818410821448,0.9783985376445091,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-0.7907928004827585,0.9862395673271792,0.9986153609983905,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,-3.3850116657532476,NA,-0.16275552336624996,1.0420074208053396,1.0041233843522863,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
nonvegan,Exposure: Vegetarian,Form: Proportion,NA,NA,-1.0169691803959873,0.3429093439854067,0.8984996906990864,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-6.7510072893717945,0.9864788393279084,0.9986395858035019,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-2.4963111557524758,0.9980032127375029,0.9998001416243466,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,-7.107249684129096,NA,-3.646631577830424,1.0000489444489404,1.0000048943370972,NA,Restaurant,78AY09MVJVTYE,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-4.659369912064519,0.9965098687165016,0.9996504375112086,NA,Restaurant,9XKJD8DQTH559,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-4.219848715513523,0.9860437955228007,0.9985955363834422,NA,Restaurant,C0BE4NDSW26QN,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-4.526183505715263,0.9952664656534317,0.9995256352465531,NA,Restaurant,CB2KHY1C2G9PT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,NA,0.9567383106686086,0.995587227767176,NA,Restaurant,ED5J990H5VAZT,NA,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-3.034806440685665,0.9495307341315938,0.9948346484954552,NA,Restaurant,EMBVNVD207CC6,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,NA,0.9797201109310923,0.9979532625095912,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-3.679480731804435,0.9749463886461737,0.9974659366230724,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,-3.4957942751988886,NA,-2.4814174257165247,1.0300450792026536,1.0029646426367287,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-2.1853895394270317,0.9958710272450569,0.9995863335335756,NA,Restaurant,LFZFT3VASXPED,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-2.3140008603725053,0.9736924002986521,0.9973375669783157,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,-4.327994415708474,NA,-3.0922759855964794,1.0130743151227868,1.0012998024118684,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-2.2901042504987474,0.9723724615748124,0.9972022852187811,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-4.6514680965282436,0.9803644276433079,0.998018873876098,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,-3.5721806291126765,0.977208116753214,0.9976970924197732,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Count,NA,NA,NA,0.973989969984316,0.9973680423748585,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Proportion,NA,NA,-3.2381139465276605,0.2941121005293923,0.8848125812500537,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Proportion,NA,NA,0.2991063052533705,0.4427520155439109,0.9217561728586406,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
meat,Exposure: Vegetarian,Form: Proportion,-2.729892660430555,NA,-0.19785983077964042,1.0667668674926425,1.0064841773427768,NA,Restaurant,78AY09MVJVTYE,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
