outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegan,Form: Count,0.006431929444935,-0.121845884175,0.1276731457,1.0082187197595296,1.00081884807318,NA,Pooled,POOLED,-0.0535304836,0.06607390312,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0535304836,0.06607390312
nonvegan,Exposure: Vegan,Form: Proportion,-0.114827068638187,-1.096112311,0.7851115315,0.902879277480778,0.9898353701098683,NA,Pooled,POOLED,-0.5760517384,0.3535983616,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.5760517384,0.3535983616
meat,Exposure: Vegan,Form: Count,0.0036311302100345,-0.138567906744,0.145708730525,1.0036040535384194,1.0003598221704724,NA,Pooled,POOLED,-0.06678822248,0.07349658432,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06678822248,0.07349658432
meat,Exposure: Vegan,Form: Proportion,-0.345106237312567,-1.49221977475,0.8376495525,0.7035246562974496,0.9654458771449339,NA,Pooled,POOLED,-0.89579446188,0.2071562888,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.89579446188,0.2071562888
chicken_fish,Exposure: Vegan,Form: Count,-0.049817719843816,-0.162968139675,0.0578546459,0.9511926464016384,0.9950086320341196,NA,Pooled,POOLED,-0.109606172992,0.00992662688,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.109606172992,0.00992662688
chicken_fish,Exposure: Vegan,Form: Proportion,-0.931891869905863,-2.33572535,0.460992753925,0.39645718741175645,0.9116321432277057,NA,Pooled,POOLED,-1.6587930404,-0.2085601916,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.6587930404,-0.2085601916
vegetarian,Exposure: Vegan,Form: Count,-0.0148090182816,-0.122041994,0.08138211125,0.9855734346955798,0.9985478913315536,NA,Pooled,POOLED,-0.0697699672,0.0403898688,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.0697699672,0.0403898688
vegetarian,Exposure: Vegan,Form: Proportion,-0.122648613777967,-1.007268645,0.781784099,0.8693776788131657,0.9860997496724858,NA,Pooled,POOLED,-0.572897622,0.3140748944,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.572897622,0.3140748944
vegan,Exposure: Vegan,Form: Count,0.0241727119784,-0.08819497575,0.14353530715,1.0191259172119569,1.0018963273588533,NA,Pooled,POOLED,-0.03823591,0.090163207,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.03823591,0.090163207
vegan,Exposure: Vegan,Form: Proportion,0.310278658012033,-0.9118477025,1.5338730725,1.3751830093900024,1.0323716023059066,NA,Pooled,POOLED,-0.2931911,0.91187077,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.2931911,0.91187077
