outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,step_size
Breakfast,count,-0.0634954295676,0.9384784085429873,0.9936705727933285,-0.355221225,0.401211324999998,1.01384959533499,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Breakfast,presence,-0.1684801145372,0.8449480654352011,0.9832931225704613,-0.955535275,0.954947949999999,1.00445683423579,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Chicken,count,0.097207514705925,1.1020890495784044,1.0097681514384418,-0.362539675,0.630659525,1.0291849385116,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Chicken,presence,0.186938336830333,1.2055529445421507,1.0188696572887859,-0.928414675,1.46613175,1.05951113620135,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Dairy,count,0.0248206831915667,1.0251312807726494,1.0024851512008406,-0.13980475,0.0749688175,1.04301689730938,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Dairy,presence,0.0774702551004,1.0805500911265686,1.0077771113539173,-1.0093425,1.2372625,1.05244722412622,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Egg,count,0.05004588498975,1.0513193350462127,1.0050171323689028,-0.4246961,0.59330315,1.00971805395007,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Egg,presence,0.09133936645245,1.0956407658932343,1.0091757783406707,-1.0690555,1.27424525,1.00209049997432,Pooled,POOLED,finalized_redone_trunc,NA,Animal,0.5
Total (A1),count,0.0307850621972,1.0312638224834076,1.0030832496863407,-0.108261675,0.1464438,1.02461036892935,Pooled,POOLED,finalized_redone_trunc,NA,Total,0.5
Total (A1),presence,0.221759154955,1.2482707018442143,1.0224236288105444,-0.8852469,1.26796575,1.0119905071951,Pooled,POOLED,finalized_redone_trunc,NA,Total,0.5
Breakfast,count,-0.08338160893905101,NA,0.9913710122821782,-0.2613647641344075,0.09531017980432493,1.00051940109184,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Animal,0.5
Breakfast,count,-0.09431067947124129,NA,0.9906194923496099,-0.2231435513142097,0.02955880224154443,1.00135147617202,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,0.5
Breakfast,count,-0.07257069283483537,NA,0.9930322927951986,-0.31471074483970024,0.19885085874516517,1.00141330875495,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Animal,0.5
Breakfast,presence,0.1570037488096647,NA,1.0160882154692792,-1.4271163556401458,2.8673305587494666,1.00949610724137,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Animal,0.5
Breakfast,presence,-0.616186139423817,NA,0.9406214828931224,-0.916290731874155,-0.3011050927839216,1.00090432202296,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,0.5
Breakfast,presence,-0.09431067947124129,NA,0.9904046497394569,-0.4780358009429998,0.26236426446749106,1.00020235085789,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Animal,0.5
Chicken,count,0.06765864847381486,NA,1.0064111797603597,0.01980262729617973,0.10436001532424286,1.00804122735506,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,0.5
Chicken,count,0.12221763272424911,NA,1.0122601849411321,0.04879016416943205,0.19885085874516517,1.01169826637439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,0.5
Chicken,presence,0.6097655716208943,NA,1.06276365621567,-1.2378743560016174,3.7013019741124933,1.27877389871633,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,0.5
Chicken,presence,0.23111172096338664,NA,1.0233042261744978,0.058268908123975824,0.41871033485818504,1.19599406244112,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,0.5
Dairy,count,0.02955880224154443,NA,1.0031772493200928,0,0.058268908123975824,1.00435876447176,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,0.5
Dairy,count,0.03922071315328133,NA,1.003649263542811,0.009950330853168092,0.06765864847381486,1.00217427761834,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,0.5
Dairy,count,0.03922071315328133,NA,1.0036719096160904,0.01980262729617973,0.058268908123975824,1.00078091652972,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,0.5
Dairy,presence,0,NA,0.9997194206136204,-0.13926206733350766,0.131028262406404,1.0015769211772,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,0.5
Dairy,presence,0.6471032420585384,NA,1.0668842689937343,-1.171182981502945,5.571545482029667,1.02563823479992,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,0.5
Dairy,presence,0.1823215567939546,NA,1.0183579435461096,-1.7719568419318752,2.390595970316759,1.04281900025207,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,0.5
Egg,count,0.02955880224154443,NA,1.0028093263224127,-0.020202707317519466,0.06765864847381486,1.00016169848942,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,0.5
Egg,count,0.058268908123975824,NA,1.0055024246504205,0.01980262729617973,0.08617769624105241,1.00169102375439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,0.5
Egg,presence,0.09531017980432493,NA,1.0097989647742103,-0.13926206733350766,0.3364722366212129,1.00071507392661,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,0.5
Egg,presence,0.06765864847381486,NA,1.0064688667914525,-2.120263536200091,1.9110228900548727,1.00288863213436,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,0.5
Untextured,count,0.09531017980432493,NA,1.0092712742452086,0.009950330853168092,0.1906203596086497,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Animal,0.5
Untextured,presence,0.09531017980432493,NA,1.0092712742452086,0.009950330853168092,0.1906203596086497,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Animal,0.5
