outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,NA,0.0756453795025733,-0.245354155,0.377701432,1.00698418472517,190.200407287281,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.08329737228314099,0.2345881312882876
nonvegan,NA,-0.007576420278854,-0.10476494,0.0859996125,1.00166792584476,1137.88624591463,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.05624084693701727,0.04108800637930927
nonvegan,NA,-0.0158917629754023,-0.2130866575,0.17575749775,1.00097727506274,319.002581200723,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.11508670053917781,0.0833031745883732
nonvegan,NA,0.0148065386400167,-0.049596122,0.08046390325,0.999625370669214,2395.2577294487,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.01837203922988126,0.04798511650991466
nonvegan,NA,0.0026059734427,-0.059668852625,0.06769955625,1.00043586591132,1614.61866971318,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.02988596759684082,0.03509791448224082
nonvegan,NA,0.00815840458158333,-0.33288098,0.33815584925,1.00564330956394,387.525641630131,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.16302446002300852,0.17934126918617516
nonvegan,NA,-0.0135592973195333,-0.715602275,0.555801550000001,1.00565498705627,336.423556696388,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3378970077787173,0.31077841313965066
nonvegan,NA,0.0278745391433333,-0.238331425,0.30201025,1.00270241297036,706.34038695672,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.10996772488727893,0.16571680317394552
nonvegan,NA,-0.0194639646773,-0.248255775,0.2004423375,1.00057260571404,699.344868434629,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1339277688864837,0.09499983953188368
nonvegan,NA,0.0302828811685,-0.1774907425,0.2437358725,1.00777550459451,775.605173437497,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/nonvegan/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07717288796415307,0.13773865030115306
