outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,exposure_strip,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Nonvegan,Level change,0.019035328238503332,-0.173380420175,0.2125620960750001,NA,1.0006064480025374,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07941939529465995,0.11749005177166662
Nonvegan,Level change,-0.11739295560931946,-0.37289425615,0.14456563870000005,NA,1.0015383861035085,NA,Restaurant,V3Q26BHF3SE2H,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2493980308261562,0.01461211960751728
Nonvegan,Level change,0.014582225369333334,-0.27755259675000005,0.3125493845,NA,0.9998039039597786,NA,Restaurant,LBZEEFSBJNB3Z,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.13595399433729935,0.16511844507596604
Nonvegan,Level change,5.604566721325334e-4,-0.369068597125,0.36520152125,NA,1.0004847475453067,NA,Restaurant,SAFK7ND1HR6XS,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.18675334903577565,0.1878742623800407
Nonvegan,Level change,0.006719736806812,-0.14519770445,0.15598012792500004,NA,1.0007717782075556,NA,Restaurant,S8MT0YGD2KTN9,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.07011134288068802,0.08355081649431201
Nonvegan,Level change,0.04475985074666667,-0.21699946224999997,0.29668142850000007,NA,0.999871494967809,NA,Restaurant,1SQPTEGYPH0GA,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0862811928120068,0.17580089430534013
Nonvegan,Level change,-0.08318450949002333,-0.4615682719,0.3090175681250002,NA,1.0012282810684143,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2797625299045642,0.11339351092451753
Nonvegan,Level change,-0.12390882015505333,-0.539036863,0.30518086525000016,NA,1.000026110677554,NA,Restaurant,9XKJD8DQTH559,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.3392704855249513,0.09145284521484465
Nonvegan,Level change,-0.0761489696775273,-0.7723961334999999,0.57544829275,NA,1.0002085142658523,NA,Restaurant,LQ5EH4BKGV61T,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.419986833516813,0.26768889416175845
Nonvegan,Level change,0.002792846442639333,-0.11781888009999998,0.1173377414,NA,1.001515962893406,NA,Restaurant,78AY09MVJVTYE,NA,Animal,Exposure: Introductions,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.05719608761348312,0.06278178049876178
