outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,n_rest_in_group,rest_rank,step_size
vegetarian,mpbamod,Count,0.0334153247142725,1.033979887476997,1.0033471216147567,-0.02743224,0.093428195,1.00986550584983,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,mpbamod,Proportion,-0.16873037840945,0.844736631918684,0.9832685146039457,-1.208193,0.968256275000001,1.02611729398468,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegan,Count,0.0941738831475,1.098750783552142,1.0094618714447339,0.0425030775,0.151088825,1.00211710872981,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegan,Proportion,0.858792870625,2.360309774075181,1.0896747825217317,0.2906034,1.4443625,1.00214940861979,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegetarian,Count,0.052185935187425,1.0535716203392038,1.0052322340957858,0.011947155,0.08822107,1.04278265808056,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,vegetarian,Proportion,0.809491516764,2.246765253704077,1.0843157595263342,0.13338,1.45263575,1.01601935396981,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,mpbamod,Count,0.0504940597854,1.0517906154744763,1.0050621757130522,-0.0227481925,0.13052015,1.0216551946903,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,mpbamod,Proportion,0.01866406673325,1.0188393290982527,1.0018681494943624,-1.3139525,1.45938,1.010702546537,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,vegan,Count,0.13091625571025,1.1398723195170524,1.0131776960919556,0.0528452075,0.21905135,1.0050888444834,Pooled,POOLED,Plant-based,17,NA,0.12
vegan,vegan,Proportion,1.2959158723925,3.654341352295015,1.1383633662464858,0.271413325,2.23939925,1.00467684333929,Pooled,POOLED,Plant-based,17,NA,0.12
vegan,vegetarian,Count,0.053477145876725,1.0549328819259574,1.0053620391364777,0.0067505055,0.10112505,1.01591069401392,Pooled,POOLED,Plant-based,18,NA,0.12
vegan,vegetarian,Proportion,0.308482515399375,1.3613577065436948,1.0313289894254458,-0.44347015,1.084494,1.00386486160666,Pooled,POOLED,Plant-based,18,NA,0.12
vegetarian,mpbamod,Count,0.04879016416943205,NA,1.0046327693794193,-0.020202707317519466,0.10436001532424286,1.008786766822,Restaurant,1SQPTEGYPH0GA,Plant-based,18,1,0.12
vegetarian,mpbamod,Count,-0.18632957819149348,NA,0.9820484901140184,-0.37106368139083207,-0.020202707317519466,1.00225912838172,Restaurant,2HRX9P6HKXA8V,Plant-based,18,2,0.12
vegetarian,mpbamod,Count,-0.09431067947124129,NA,0.9910893971917152,-0.1743533871447778,0,1.00204164032356,Restaurant,78AY09MVJVTYE,Plant-based,18,3,0.12
vegetarian,mpbamod,Count,0.04879016416943205,NA,1.0052133103561698,0.02955880224154443,0.06765864847381486,1.00394807978971,Restaurant,9XKJD8DQTH559,Plant-based,18,4,0.12
vegetarian,mpbamod,Count,0.03922071315328133,NA,1.0043037348101311,-0.07257069283483537,0.1570037488096647,1.00339202127266,Restaurant,C0BE4NDSW26QN,Plant-based,18,5,0.12
vegetarian,mpbamod,Count,-0.09431067947124129,NA,0.9908721734353116,-0.16251892949777494,-0.020202707317519466,1.00092231566852,Restaurant,CB2KHY1C2G9PT,Plant-based,18,6,0.12
vegetarian,mpbamod,Count,0.01980262729617973,NA,1.0018310339262446,0,0.02955880224154443,1.00924146294868,Restaurant,ED5J990H5VAZT,Plant-based,18,7,0.12
vegetarian,mpbamod,Count,0.0769610411361284,NA,1.0075914817740035,-0.05129329438755058,0.20701416938432612,1.00562554018403,Restaurant,EMBVNVD207CC6,Plant-based,18,8,0.12
