outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,1.0819605549599758,0.9172385947521104,1.2222397056713057,1.0071029968570855,Pooled,POOLED,Total
total,mpbamod,Proportion,1.1431199138019983,1.0262621567375334,1.269726883523845,1.0000764315985065,Pooled,POOLED,Total
total,vegan,Count,1.2659622589275976,0.8566957636393737,1.7917335233364622,0.9998772528906501,Pooled,POOLED,Total
total,vegan,Proportion,1.108341692299173,0.9905877011116662,1.2369989876268102,1.0019302699971786,Pooled,POOLED,Total
total,vegetarian,Count,1.0728161705775956,1.0131701499006165,1.1418505662487348,0.9999629072785768,Pooled,POOLED,Total
total,vegetarian,Proportion,1.0365551768127663,0.9246222761272818,1.160914492345983,1.0011392189232233,Pooled,POOLED,Total
nonvegan,mpbamod,Count,1.0794540731032085,0.9621604637417729,1.2124741208829104,1.0034492485401865,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,1.1245951456303829,1.014219635732119,1.2435594292036172,1.0005762557361688,Pooled,POOLED,Animal
nonvegan,vegan,Count,1.263846272489692,0.7998145025605053,1.9011474025890036,1.057400547634763,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,1.113500787751846,1.0085753287752766,1.228705222119548,1.0030063065314223,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,1.069296012586515,0.9987448733311834,1.1418524217574126,1.0064501318340469,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,1.006439227017625,0.9008142296867073,1.122177310091949,1.0080993426663778,Pooled,POOLED,Animal
meat,mpbamod,Count,1.0724178177419306,0.9457268676814592,1.2072937385283913,1.001637221710245,Pooled,POOLED,Animal
meat,mpbamod,Proportion,1.094353197192155,0.9905550555936813,1.2039911844807714,1.0032078047511155,Pooled,POOLED,Animal
meat,vegan,Count,1.2966693806089467,0.9161406505133733,1.8398094840813646,1.002565569882574,Pooled,POOLED,Animal
meat,vegan,Proportion,1.143280557022841,1.011100093915809,1.2858203894452773,1.004609459267871,Pooled,POOLED,Animal
meat,vegetarian,Count,1.0550676515745414,0.9903986768777919,1.1216817538257395,1.0012862149035127,Pooled,POOLED,Animal
meat,vegetarian,Proportion,0.9129527130119423,0.804464069861103,1.0365176124678188,0.9996464356362577,Pooled,POOLED,Animal
chicken_fish,mpbamod,Count,1.078993598654394,0.8260846945027264,1.4402945625567667,1.0009239261527278,Pooled,POOLED,Animal
chicken_fish,mpbamod,Proportion,1.043352790442691,0.9348954819055395,1.161403833839047,1.0007468683129244,Pooled,POOLED,Animal
chicken_fish,vegan,Count,1.2442063943922397,0.7903194880671601,1.8350823814096908,1.0121225954590398,Pooled,POOLED,Animal
chicken_fish,vegan,Proportion,1.164848378122418,1.0017697451537908,1.3627995137466764,1.0021535497949126,Pooled,POOLED,Animal
chicken_fish,vegetarian,Count,1.0847759197922602,0.9380417559767821,1.271285031835048,1.0104009993614984,Pooled,POOLED,Animal
chicken_fish,vegetarian,Proportion,0.8415541786760938,0.7251748904582752,0.9809637668620054,1.0027283431739134,Pooled,POOLED,Animal
vegetarian,mpbamod,Count,1.128715991296224,0.9498269156875512,1.3442141604772642,1.0014469727467885,Pooled,POOLED,Plant-based
