"fit_dir","model_col","type_fine","restaurant","variable","mean","q2.5","q97.5","rhat","ess_bulk"
"model_fits/finalized_simple/its/chicken_fish","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.216311449824667,-0.19242885,0.63430735,1.00068215137744,136.900756041981
"model_fits/finalized_simple/its/chicken_fish","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.60611518417,0.01267164,1.2023135,1.00041839761979,165.677066244463
