outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Form: Count,1.5122911739183693,0.8646760409731087,2.3816358081355293,1.5122911739183693,1.042229932375281,1.03017608585881,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.1678442484570741,1.9583301435383678
Chicken,Form: Count,1.0543008654113624,0.9092862377806943,1.224759065037149,1.0543008654113624,1.005301791058936,1.01474424609042,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9771631990859211,1.1375278109602753
Dairy,Form: Count,1.065793246302642,0.9629204322912432,1.2089805084987422,1.065793246302642,1.0063922793797022,1.02207786911368,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0056839301383973,1.1294952716486233
Egg,Form: Count,1.0286698195339752,0.9543460266018564,1.1064513593745304,1.0286698195339752,1.0028306517776764,1.03273005007463,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Egg Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.990584887083775,1.0682190001254999
Ground meat,Form: Count,1.2023881129335208,1.0046822793971983,1.8167409642989678,1.2023881129335208,1.018601865935078,1.02174494963019,Pooled,POOLED,finalized_redone_trunc,NA,Exposure: Ground Meat Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.033751218861099,1.3985349160861216
Breakfast-style meat,Form: Count,0.7930249527608402,0.6614613499667078,0.9570793027259948,0.7930249527608402,0.9770767637397458,1.00200121534261,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7217011557487771,0.87139749007170475
Breakfast-style meat,Form: Count,0.8074015790848299,0.7488594224971534,0.8679207676477555,0.8074015790848299,0.9788338043555568,1.00258867041997,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7775757561708926,0.8383714444993645
Breakfast-style meat,Form: Count,1.3016884886384126,0.9209693037904623,1.8578618342397595,1.3016884886384126,1.02671688995908,1.00476394816189,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0883286440543525,1.5568761611764899
Breakfast-style meat,Form: Count,1.0434844676846204,0.8007120977904636,1.399245482123821,1.0434844676846204,1.0042656282627465,1.00321651835784,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9049920916028988,1.2031705518779672
Breakfast-style meat,Form: Count,0.978173988742354,0.8837118332271182,1.0703241510480581,0.978173988742354,0.9977956609146341,1.00922568171937,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9315162444176118,1.0271687240949166
Breakfast-style meat,Form: Count,0.9055625974168233,0.6587638530827833,1.235188141780721,0.9055625974168233,0.990129152409959,1.00366605655876,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7713913491085762,1.0630707990022839
Breakfast-style meat,Form: Count,1.8613541429231089,1.5466568027231036,2.304774578684395,1.8613541429231089,1.0641011217760008,1.01075255647695,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.6812664089131188,2.0607318548740836
Breakfast-style meat,Form: Count,2.335517363821908,1.5615766750598783,3.651064430957568,2.335517363821908,1.0885247548115529,1.01051798804652,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,1.8805597442491353,2.900541380508785
Breakfast-style meat,Form: Count,2.1682760687284057,0.16491272352869568,35.997877684051176,2.1682760687284057,1.0804668771099621,1.01993526702703,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,FALSE,Animal_inner,Animal_innerdark,Animal_restwash,0.5488139018887904,8.566512426234034
Breakfast-style meat,Form: Count,1.8966359482426358,1.5290298892652887,2.376403178438434,1.8966359482426358,1.0661011155239573,1.00112556708626,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Exposure: Breakfast-Style Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.6948484807791022,2.1224480895853524
Chicken,Form: Count,1.1022947756411754,1.0266664476608534,1.190838790751884,1.1022947756411754,1.0097869991148816,1.00100780003826,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0613610755538518,1.1448071729705893
Chicken,Form: Count,1.0708817248497482,1.028192239032496,1.1159647751775434,1.0708817248497482,1.00687173788759,1.00956633619886,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0487354652111847,1.093495649435525
Chicken,Form: Count,1.0852506378549351,0.8183872038797573,1.5121921076340141,1.0852506378549351,1.0082146529105083,1.00653392794671,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9279136552362376,1.2692656696217013
Chicken,Form: Count,1.0913357844694793,0.8371530456238645,1.4882147913215458,1.0913357844694793,1.0087785510814613,1.00668170885033,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9423633931033727,1.2638582983804056
Chicken,Form: Count,0.9975329692244604,0.8975653705542417,1.0962938018680122,0.9975329692244604,0.9997530226129152,1.01488973839625,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9479138593575289,1.049749420653267
Chicken,Form: Count,1.1283780147179134,1.052711961608416,1.2214779378135647,1.1283780147179134,1.012151356698123,1.00062586347506,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Exposure: Chicken Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0863784163547259,1.1720013256255641
Dairy,Form: Count,1.3913260595726635,1.1369751968788686,1.6604397883152398,1.3913260595726635,1.033577132018834,1.01608545141918,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.2631989055861959,1.53244924095915
Dairy,Form: Count,1.0390169181824378,0.9047273060226365,1.1798073943172203,1.0390169181824378,1.003834833742978,1.00084055863915,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9709816747267358,1.1118192900737813
Dairy,Form: Count,1.047438471862617,1.0055310900574295,1.0930510014503942,1.047438471862617,1.0046455204289575,1.00176526838466,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0253741566123458,1.0699775738083828
Dairy,Form: Count,1.1390257769394991,0.994678393931986,1.3246519888299646,1.1390257769394991,1.0131024258340167,1.03184241093957,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.058751365190037,1.2253865857351323
Dairy,Form: Count,1.0468399084619586,1.0110089751535822,1.0844284402351505,1.0468399084619586,1.0045880947424235,1.0000880460273,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Exposure: Dairy Analog,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0282849101518594,1.0657297244465067
