outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,0.0307850621972,1.0332584814347086,1.0031027374384347,-0.10826167499999999,0.1464438,1.0246103689293478,Pooled,POOLED,Total
total,mpbamod,Proportion,0.221759154955,1.4402332098743686,1.0239266049540283,-0.8852469000000001,1.2679657500000001,1.0119905071951012,Pooled,POOLED,Total
total,vegan,Count,0.1876410516495,1.222299157595281,1.0190757180312178,-0.152954375,0.486431475,1.0321728288573113,Pooled,POOLED,Total
total,vegan,Proportion,0.87409443489875,2.8293302165475294,1.0931788663623339,-0.30140645,1.9975810000000003,1.0128693353443976,Pooled,POOLED,Total
total,vegetarian,Count,0.044727462589425,1.0460320896559694,1.0044855288578511,0.003306444750000001,0.10023435000000001,1.0254579664563603,Pooled,POOLED,Total
total,vegetarian,Proportion,0.9358230513175,2.830756641892169,1.0992993846906096,-0.12788694999999994,1.7947710000000001,1.0078998435577542,Pooled,POOLED,Total
nonvegan,mpbamod,Count,0.021734075584225,1.0257079594352,1.0022146235298204,-0.23229042499999997,0.14399885000000007,1.0217224815306314,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,0.1658963072635,1.3152484573383634,1.017893403538443,-0.897550575,1.0367734999999998,1.0112045660038544,Pooled,POOLED,Animal
nonvegan,vegan,Count,0.158486085551775,1.1897806129342952,1.0161332295227048,-0.21899524999999997,0.4783585,1.060854587784399,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,0.68973722198825,2.3098855495761197,1.072972663087735,-0.44256995,1.7806285000000004,1.0162998606662785,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,0.04279268093005,1.0440705450801664,1.0042918004368193,-0.0124678925,0.09561968500000002,1.0189352443260047,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,0.72477785501675,2.221805286196237,1.0759505970224288,-0.04361571249999996,1.5159475,1.0364743064444362,Pooled,POOLED,Animal
meat,mpbamod,Count,0.019912121231925,1.0212820951050876,1.0020046348408858,-0.0826231375,0.13161342500000006,1.0219328815311688,Pooled,POOLED,Animal
