outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group
Breakfast,Count,-0.0634954295676,0.9544983871978563,0.9938244474687227,-0.35522122500000003,0.4012113249999978,1.0138495953349884,Pooled,POOLED,finalized_redone_trunc,Animal
Breakfast,Presence,-0.1684801145372,0.9646596081778613,0.9844124303009457,-0.955535275,0.9549479499999988,1.004456834235794,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Count,0.097207514705925,1.1283518042765228,1.0099997824342166,-0.36253967499999995,0.6306595250000003,1.029184938511602,Pooled,POOLED,finalized_redone_trunc,Animal
Chicken,Presence,0.18693833683033334,1.4272239836825822,1.0204727833594698,-0.9284146750000001,1.4661317499999995,1.0595111362013454,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Count,0.02482068319156667,1.0262566367271304,1.002496622009085,-0.13980475,0.07496881749999998,1.043016897309382,Pooled,POOLED,finalized_redone_trunc,Animal
Dairy,Presence,0.0774702551004,1.2450640002000215,1.0091076100930212,-1.0093425,1.2372624999999995,1.0524472241262193,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Count,0.05004588498975,1.077284769525032,1.0052558061287828,-0.42469609999999997,0.5933031500000002,1.0097180539500654,Pooled,POOLED,finalized_redone_trunc,Animal
Egg,Presence,0.09133936645245,1.2728469669095528,1.0106790393653964,-1.0690555,1.274245250000001,1.0020904999743245,Pooled,POOLED,finalized_redone_trunc,Animal
Total (A1),Count,0.0307850621972,1.0332584814347086,1.0031027374384347,-0.10826167499999999,0.1464438,1.0246103689293478,Pooled,POOLED,finalized_redone_trunc,Total
Total (A1),Presence,0.221759154955,1.4402332098743686,1.0239266049540283,-0.8852469000000001,1.2679657500000001,1.0119905071951012,Pooled,POOLED,finalized_redone_trunc,Total
Breakfast,Count,-0.08338160893905101,NA,0.9914099375802411,-0.2613647641344075,0.09531017980432493,1.0005194010918412,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Count,-0.09431067947124129,NA,0.9906400125831298,-0.2231435513142097,0.02955880224154443,1.0013514761720212,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Count,-0.06187540371808753,NA,0.9931083206487682,-0.31471074483970024,0.19885085874516517,1.001413308754952,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Breakfast,Presence,5.16043365918465,NA,1.023002376400692,-1.4271163556401458,2.8673305587494666,1.00949610724137,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,Animal
Breakfast,Presence,-0.5978370007556204,NA,0.9407358536805698,-0.916290731874155,-0.3011050927839216,1.0009043220229614,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,Animal
Breakfast,Presence,-0.08338160893905101,NA,0.9905802884568966,-0.4780358009429998,0.26236426446749106,1.000202350857892,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,Animal
Chicken,Count,0.06765864847381486,NA,1.0064136146004503,0.01980262729617973,0.10436001532424286,1.0080412273550594,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
Chicken,Count,0.12221763272424911,NA,1.0122679332752775,0.04879016416943205,0.19885085874516517,1.0116982663743859,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,Animal
Chicken,Presence,5.517332407278467,NA,1.071673526169567,-1.2378743560016174,3.7013019741124933,1.2787738987163326,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,Animal
