outcome,effect_type,mean,q5,q95,rhat,estimate_type,restaurant_id,color_group,ess_bulk
total,Level Change,0.9187272021535335,0.7095715087034055,1.2199298413482862,1.0105556326874618,Pooled,POOLED,Total,NA
total,Slope Change,1.1562429355724637,0.7039406361711898,1.9587753372060688,1.0105996776668091,Pooled,POOLED,Total,NA
nonvegan,Level Change,0.9216654173731932,0.689303232197681,1.246352330929735,1.0340943929081359,Pooled,POOLED,Animal,NA
nonvegan,Slope Change,1.1224694849967434,0.7373912568343085,1.7548962704248086,1.0034112399455741,Pooled,POOLED,Animal,NA
meat,Level Change,0.8737550109209813,0.7170362727877475,1.0446988791823748,1.0224424046869391,Pooled,POOLED,Animal,NA
meat,Slope Change,1.0086314964434495,0.5896573638582586,1.7782718110253175,1.0076592451551614,Pooled,POOLED,Animal,NA
chicken_fish,Level Change,0.886960929985619,0.5869654027430277,1.2363247904981391,1.0141907813973599,Pooled,POOLED,Animal,NA
chicken_fish,Slope Change,1.0449739363193449,0.4161597200416863,2.7013697251894233,1.0056233690549492,Pooled,POOLED,Animal,NA
vegetarian,Level Change,1.0017491502470843,0.7414623456612781,1.3984814928491205,1.0105415252153307,Pooled,POOLED,Plant-based,NA
vegetarian,Slope Change,1.1097701656261925,0.7875173317130697,1.6570198204161277,1.0062888848981826,Pooled,POOLED,Plant-based,NA
vegan,Level Change,1.0761887290140961,0.896427553119878,1.3356931892818318,1.0021956568984987,Pooled,POOLED,Plant-based,NA
vegan,Slope Change,1.2302060154741175,0.6884655488820051,2.3884999908093407,1.0138797027167834,Pooled,POOLED,Plant-based,NA
total,Level Change,0.93,0.72,1.23,1.004138625613923,Restaurant,VLZX7K2M9QD4T,Total,NA
total,Slope Change,0.93,0.32,2.43,1.010775132036989,Restaurant,VLZX7K2M9QD4T,Total,NA
total,Level Change,0.96,0.84,1.09,1.0184834833278333,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Level Change,0.96,0.85,1.1,1.0075414669743927,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Slope Change,0.53,0.2,1.01,1.007509785236276,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Slope Change,0.99,0.52,2.53,1.0089029186212728,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Level Change,0.58,0.45,0.75,1.0128749589066726,Restaurant,2HRX9P6HKXA8V,Total,NA
total,Slope Change,0.79,0.46,1.33,1.0343290381810744,Restaurant,2HRX9P6HKXA8V,Total,NA
total,Level Change,0.9,0.78,1.06,1.022249555225121,Restaurant,JHDN7CF1C03X5,Total,NA
total,Slope Change,1.08,0.8,1.49,1.019415131822584,Restaurant,JHDN7CF1C03X5,Total,NA
total,Level Change,1.26,1.01,1.61,1.0063371202275224,Restaurant,L69HYJ4Y3TR91,Total,NA
total,Slope Change,2.29,0.89,7.62,1.0086656968143046,Restaurant,L69HYJ4Y3TR91,Total,NA
total,Level Change,0.94,0.76,1.19,1.0016472808185335,Restaurant,ED5J990H5VAZT,Total,NA
total,Slope Change,1.32,0.9,2.12,1.0246821892024014,Restaurant,ED5J990H5VAZT,Total,NA
nonvegan,Level Change,0.93,0.7,1.21,1.00274779802502,Restaurant,VLZX7K2M9QD4T,Animal,NA
nonvegan,Slope Change,1.03,0.42,2.22,1.0052252221859372,Restaurant,VLZX7K2M9QD4T,Animal,NA
nonvegan,Level Change,0.97,0.85,1.11,1.0015305792482094,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Level Change,0.97,0.85,1.11,1.0026452896926115,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Slope Change,0.55,0.21,1.07,1.006648246421834,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Slope Change,1,0.51,2.62,1.0062765565284861,Restaurant,SRQS8F7JWA9MZ,Animal,NA
nonvegan,Level Change,0.57,0.44,0.74,1.009114515763538,Restaurant,2HRX9P6HKXA8V,Animal,NA
nonvegan,Slope Change,0.85,0.52,1.37,1.0057200384750475,Restaurant,2HRX9P6HKXA8V,Animal,NA
nonvegan,Level Change,0.94,0.8,1.09,1.0054111029707786,Restaurant,JHDN7CF1C03X5,Animal,NA
nonvegan,Slope Change,1.16,0.83,1.64,1.0108812650290724,Restaurant,JHDN7CF1C03X5,Animal,NA
nonvegan,Level Change,1.26,0.99,1.61,1.0015617042694294,Restaurant,L69HYJ4Y3TR91,Animal,NA
nonvegan,Slope Change,1.61,0.82,4.51,1.0138923562303586,Restaurant,L69HYJ4Y3TR91,Animal,NA
nonvegan,Level Change,0.95,0.75,1.19,1.000490634606101,Restaurant,ED5J990H5VAZT,Animal,NA
nonvegan,Slope Change,1.22,0.89,1.7,1.0017081658626057,Restaurant,ED5J990H5VAZT,Animal,NA
meat,Level Change,0.91,0.74,1.14,1.0109037096265812,Restaurant,VLZX7K2M9QD4T,Animal,NA
meat,Slope Change,0.9,0.3,2.34,1.0150599700245728,Restaurant,VLZX7K2M9QD4T,Animal,NA
meat,Level Change,0.91,0.81,1.04,1.017685898027836,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Level Change,0.93,0.83,1.06,1.005328864146317,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Slope Change,0.53,0.2,0.95,1.0110899763926144,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Slope Change,0.93,0.51,2.38,1.0110806286845522,Restaurant,SRQS8F7JWA9MZ,Animal,NA
meat,Level Change,0.71,0.56,0.9,1.0112357419886016,Restaurant,2HRX9P6HKXA8V,Animal,NA
meat,Slope Change,0.59,0.34,1.08,1.0076255378091512,Restaurant,2HRX9P6HKXA8V,Animal,NA
meat,Level Change,0.97,0.84,1.13,1.0194521104921865,Restaurant,JHDN7CF1C03X5,Animal,NA
meat,Slope Change,1.22,0.86,1.72,1.028455777009503,Restaurant,JHDN7CF1C03X5,Animal,NA
meat,Level Change,0.88,0.72,1.09,1.0061152228971593,Restaurant,L69HYJ4Y3TR91,Animal,NA
meat,Slope Change,1.89,0.78,6.46,1.003529329537834,Restaurant,L69HYJ4Y3TR91,Animal,NA
meat,Level Change,0.85,0.67,1.05,1.0007654449271268,Restaurant,ED5J990H5VAZT,Animal,NA
meat,Slope Change,1.2,0.81,1.81,1.0048465833308038,Restaurant,ED5J990H5VAZT,Animal,NA
chicken_fish,Level Change,0.86,0.62,1.16,1.0003892845300038,Restaurant,VLZX7K2M9QD4T,Animal,NA
chicken_fish,Slope Change,0.64,0.12,3,1.0024113884582975,Restaurant,VLZX7K2M9QD4T,Animal,NA
chicken_fish,Level Change,1.06,0.8,1.42,1.0035030053206344,Restaurant,2HRX9P6HKXA8V,Animal,NA
chicken_fish,Slope Change,0.22,0.09,0.46,1.010563689296916,Restaurant,2HRX9P6HKXA8V,Animal,NA
chicken_fish,Level Change,1.15,1.01,1.31,1.0017255038566186,Restaurant,JHDN7CF1C03X5,Animal,NA
chicken_fish,Slope Change,1.36,1.02,1.8,1.00129108772471,Restaurant,JHDN7CF1C03X5,Animal,NA
chicken_fish,Level Change,0.79,0.42,1.31,1.0025086211664147,Restaurant,L69HYJ4Y3TR91,Animal,NA
chicken_fish,Slope Change,1.61,0.29,10.14,1.0049243201662064,Restaurant,L69HYJ4Y3TR91,Animal,NA
chicken_fish,Level Change,0.65,0.37,1.03,1.0049814722458208,Restaurant,ED5J990H5VAZT,Animal,NA
chicken_fish,Slope Change,3.86,1.89,7.64,1.0077196726957152,Restaurant,ED5J990H5VAZT,Animal,NA
vegetarian,Level Change,0.98,0.76,1.26,1.0012447045028365,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
vegetarian,Slope Change,1.02,0.49,1.98,1.0059938444330123,Restaurant,VLZX7K2M9QD4T,Plant-based,NA
