outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast,count,0.9072466041646221,0.6626739279982004,1.4001405291178417,0.9072466041646221,0.9903131253899212,1.01384959533499,Pooled,POOLED,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7496350887187049,1.0979960959072708
Chicken,count,1.0686780875571114,0.6603506613357871,1.8401172676342703,1.0686780875571114,1.0066643538850755,1.0291849385116,Pooled,POOLED,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8228267722803217,1.3879869898492343
Dairy,count,1.0050624197186697,0.8915704506103028,1.1606159203212563,1.0050624197186697,1.0005050923917407,1.04301689730938,Pooled,POOLED,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9396702319274124,1.0750052871833227
Egg,count,1.0194475090908446,0.6323531558492924,1.7693383355963288,1.0194475090908446,1.0019279383671964,1.00971805395007,Pooled,POOLED,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7841013773905186,1.3254322129240717
Breakfast,count,0.9180909223598803,0.7737579348340382,1.0970174958709946,0.9180909223598803,0.9914905273456369,1.00051940109184,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.839866137455947,1.0036015313974098
Breakfast,count,0.9087548413660104,0.8021443899309576,1.0253578847466063,0.9087548413660104,0.9904776353357077,1.00135147617202,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8535854661417492,0.9674899520477797
Breakfast,count,0.9289940059573171,0.7311769740279734,1.2209407888837558,0.9289940059573171,0.9926617581137516,1.00141330875495,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8150960820538428,1.0588075223352804
Chicken,count,1.0659934227243624,1.0207793814687907,1.1121857519513951,1.0659934227243624,1.0064111797603597,1.00804122735506,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0429251435545523,1.0895719451337231
Chicken,count,1.1295918532334905,1.0527137406931344,1.2202986208718314,1.1295918532334905,1.0122601849411321,1.01169826637439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0878155651312145,1.1729725109582896
Dairy,count,1.0331764112598294,0.9992705116810744,1.0634781259887571,1.0331764112598294,1.0032691271005447,1.00435876447176,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.016892683068315,1.0497208944043788
Dairy,count,1.037025897582699,1.009538462914141,1.064736251694779,1.037025897582699,1.0036423073883043,1.00217427761834,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.023038209337092,1.051204835207528
Dairy,count,1.0372934635556625,1.016100648262152,1.0600529582614555,1.0372934635556625,1.003668199640089,1.00078091652972,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0261482337648686,1.0485597442268288
Egg,count,1.0284510911466853,0.9824527259281517,1.0737285876882185,1.0284510911466853,1.0028093263224127,1.00016169848942,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0054050873521505,1.052025357924548
Egg,count,1.056406882165928,1.023272604977607,1.0917760430422683,1.056406882165928,1.0055024246504205,1.00169102375439,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0390874174578608,1.0740150269722568
Untextured,count,1.0926710561761415,1.0091315666671339,1.2170826504868468,1.0926710561761415,1.0089019093015008,1.2735883046351,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,1.0416725131250324,1.1461664025512945
