outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
total,mpbamod,Count,1.0164362204802817,0.8481626986311317,1.1796101765014788,1.0332519829180775,Pooled,POOLED,Total
total,mpbamod,Proportion,1.0110239319384644,0.9037039374965569,1.106870678154165,1.2429323157557344,Pooled,POOLED,Total
total,vegan,Count,1.2067496961902289,0.8588227481763618,1.6465973145915782,1.006268246299302,Pooled,POOLED,Total
total,vegan,Proportion,1.0936925967456843,1.0028754344037412,1.1863538655481607,1.0147501255241629,Pooled,POOLED,Total
total,vegetarian,Count,1.0450479016920189,0.9865423671579481,1.1082772415154183,1.0031386948298038,Pooled,POOLED,Total
total,vegetarian,Proportion,1.0767576736035307,0.9962076506889288,1.1422367197518455,1.0441272909907553,Pooled,POOLED,Total
nonvegan,mpbamod,Count,1.0013729163771068,0.8322763848463289,1.1999313538107872,1.0019799406729248,Pooled,POOLED,Animal
nonvegan,mpbamod,Proportion,0.9659533173471392,0.8616770116469157,1.0710716266278555,1.001471884565284,Pooled,POOLED,Animal
nonvegan,vegan,Count,1.2187054832093285,0.9241553996887885,1.615473940123447,1.0152926721128979,Pooled,POOLED,Animal
nonvegan,vegan,Proportion,1.0773640894469176,0.9890329810883843,1.1640413235375402,0.9998133868633099,Pooled,POOLED,Animal
nonvegan,vegetarian,Count,1.0433503775412147,0.9605735139828552,1.1258884699119782,1.0035074085991917,Pooled,POOLED,Animal
nonvegan,vegetarian,Proportion,1.0612642399966203,0.9800802626577724,1.132889529902924,1.0043142744199527,Pooled,POOLED,Animal
meat,mpbamod,Count,0.9919671126261803,0.8644677753765341,1.1139872263865618,1.004725297966006,Pooled,POOLED,Animal
meat,mpbamod,Proportion,0.9851160118659678,0.8957809915128448,1.072091040626327,0.9993810744766637,Pooled,POOLED,Animal
meat,vegan,Count,1.195038988169677,0.8323937024705383,1.7400469141184378,1.000399723712938,Pooled,POOLED,Animal
meat,vegan,Proportion,1.0001624197434584,0.9076583524567374,1.0964898723607002,0.9996885184317958,Pooled,POOLED,Animal
meat,vegetarian,Count,1.018042603783247,0.9305305933887137,1.093520026395101,1.002691330927441,Pooled,POOLED,Animal
meat,vegetarian,Proportion,0.946989864233371,0.8680543292315082,1.0397786250849184,0.9994672169111614,Pooled,POOLED,Animal
