outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,color_group,ess_bulk
breakfast,Level Change,0.8659022696193077,0.6436781306148092,1.176991757170493,1.006368878133654,Pooled,POOLED,finalized_redone_zi,Animal,NA
breakfast,Slope Change,0.7559720425133938,0.4011115142245428,1.5670320636961605,1.0037281988401676,Pooled,POOLED,finalized_redone_zi,Animal,NA
textured,Level Change,1.241368256569666,1.162814750557393,1.310827411942642,1.2392676713252453,Pooled,POOLED,finalized_redone_zi,Animal,NA
textured,Slope Change,0.6809557185679366,0.36916116270254146,1.081977294009167,1.0807704909554376,Pooled,POOLED,finalized_redone_zi,Animal,NA
untextured,Level Change,1.0817651242103865,0.7530129337763055,1.7027240057797393,1.142953167030154,Pooled,POOLED,finalized_redone_zi,Animal,NA
untextured,Slope Change,1.3168515342033198,0.5508414559399142,3.0406095342279493,1.6233103472170278,Pooled,POOLED,finalized_redone_zi,Animal,NA
Total (A3),Level Change,1.0314486333929038,0.8650283915394047,1.1723660831290739,1.0003907348501606,Pooled,POOLED,finalized_redone_zi,Total,NA
Total (A3),Slope Change,1.6020775746812435,1.113657451439977,2.3735378362431514,1.0301943593994762,Pooled,POOLED,finalized_redone_zi,Total,NA
breakfast,Level Change,0.84,0.68,1.02,1.000522679437291,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi,Animal,NA
breakfast,Slope Change,0.57,0.38,0.94,1.0067011441370741,Restaurant,2HRX9P6HKXA8V,finalized_redone_zi,Animal,NA
breakfast,Level Change,0.91,0.71,1.24,1.003017789327913,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi,Animal,NA
breakfast,Slope Change,0.75,0.28,2.02,1.0057041293384146,Restaurant,L69HYJ4Y3TR91,finalized_redone_zi,Animal,NA
breakfast,Level Change,0.86,0.67,1.1,1.0005356822263112,Restaurant,ED5J990H5VAZT,finalized_redone_zi,Animal,NA
breakfast,Slope Change,0.97,0.59,1.59,1.0005247898843292,Restaurant,ED5J990H5VAZT,finalized_redone_zi,Animal,NA
textured,Level Change,1.24,1.16,1.31,1.2392676713252453,Restaurant,VLZX7K2M9QD4T,finalized_redone_zi,Animal,NA
textured,Slope Change,0.68,0.37,1.08,1.0807704909554376,Restaurant,VLZX7K2M9QD4T,finalized_redone_zi,Animal,NA
untextured,Level Change,1,0.86,1.21,1.1965274616341268,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi,Animal,NA
untextured,Level Change,1.11,0.94,1.38,1.2871887141723986,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi,Animal,NA
untextured,Slope Change,0.37,0.08,0.94,1.34481644893966,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi,Animal,NA
untextured,Slope Change,1.47,0.56,6.86,1.3641291922687477,Restaurant,SRQS8F7JWA9MZ,finalized_redone_zi,Animal,NA
