outcome,effect_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group,ess_bulk
total,Level Change,1.0314486333929038,0.8650283915394047,1.1723660831290739,1.0003907348501606,Pooled,POOLED,Total,NA
total,Slope Change,1.6020775746812435,1.113657451439977,2.3735378362431514,1.0301943593994762,Pooled,POOLED,Total,NA
nonvegan,Level Change,1.0403610680511015,0.8646797256304085,1.2049929604797067,1.0290045338891753,Pooled,POOLED,Animal,NA
nonvegan,Slope Change,1.559914109823094,1.010586348780398,2.0560834288416108,1.11442101421542,Pooled,POOLED,Animal,NA
meat,Level Change,1.0134841784748738,0.8800710597975754,1.2276336750478676,1.1491799258578228,Pooled,POOLED,Animal,NA
meat,Slope Change,1.352123610298831,0.9195059514257816,1.9015367023728902,1.0398872957395224,Pooled,POOLED,Animal,NA
chicken_fish,Level Change,0.9229827504885184,0.6575166776531308,1.2456911295141084,1.0693021858397043,Pooled,POOLED,Animal,NA
chicken_fish,Slope Change,1.8805502795243332,1.0868523539710362,3.229649928204354,1.100975675114538,Pooled,POOLED,Animal,NA
vegetarian,Level Change,1.0646822141287657,0.9020152745247295,1.180003494601638,1.0403107892578523,Pooled,POOLED,Plant-based,NA
vegetarian,Slope Change,1.6680345858883896,1.465402758260939,1.819511484592739,1.503202210877356,Pooled,POOLED,Plant-based,NA
vegan,Level Change,1.1222641720036195,0.9883704916277073,1.3010774774678777,1.1823489288723126,Pooled,POOLED,Plant-based,NA
vegan,Slope Change,1.239968152145314,1.1009304104769837,1.4322527079482534,1.0544080530172601,Pooled,POOLED,Plant-based,NA
total,Level Change,1.02,0.94,1.11,0.9997882078694398,Restaurant,VLZX7K2M9QD4T,Total,NA
total,Slope Change,1.38,0.65,2.43,0.999631591299459,Restaurant,VLZX7K2M9QD4T,Total,NA
total,Level Change,1.05,0.96,1.17,1.0516557758324194,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Level Change,1.04,0.95,1.15,1.054581762250718,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Slope Change,0.41,0.18,0.81,1.074928427771391,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Slope Change,1.27,0.63,2.96,1.0775332532514983,Restaurant,SRQS8F7JWA9MZ,Total,NA
total,Level Change,0.86,0.73,0.99,1.001282612789267,Restaurant,2HRX9P6HKXA8V,Total,NA
total,Slope Change,1.25,0.9,1.99,1.0285909353000924,Restaurant,2HRX9P6HKXA8V,Total,NA
total,Level Change,1.15,1.07,1.24,1.0206836649286333,Restaurant,JHDN7CF1C03X5,Total,NA
total,Slope Change,1.9,1.63,2.24,1.0284195461000327,Restaurant,JHDN7CF1C03X5,Total,NA
total,Level Change,1.21,1.02,1.52,1.0070581138883246,Restaurant,L69HYJ4Y3TR91,Total,NA
total,Slope Change,3.13,1.37,11.66,1.0962021128143848,Restaurant,L69HYJ4Y3TR91,Total,NA
total,Level Change,1.03,0.87,1.19,1.0099343201868405,Restaurant,ED5J990H5VAZT,Total,NA
total,Slope Change,1.63,1.26,2.12,1.0065374301768266,Restaurant,ED5J990H5VAZT,Total,NA
nonvegan,Level Change,1.02,0.94,1.1,1.0412857214805953,Restaurant,VLZX7K2M9QD4T,Animal,NA
nonvegan,Slope Change,1.37,0.75,2.5,1.1040371659295305,Restaurant,VLZX7K2M9QD4T,Animal,NA
