outcome,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,exposure_strip,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
Breakfast-style meat,Form: Count,-0.0866293751777828,-0.416177129,-0.2063306068,0.03170259384,0.22521605775,0.9190889801655845,0.9915982597148715,NA,Pooled,POOLED,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/all_restaurants_weekly.png,Exposure: Breakfast-Style Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2063306068,0.03170259384
Chicken,Form: Count,0.0525616753290307,-0.4292420275,-0.105932858092,0.2097693688,0.58074858575,1.0429157107341338,1.0042108767816087,NA,Pooled,POOLED,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/chicken_p/chicken_dishes_count/plots/all_restaurants_weekly.png,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.105932858092,0.2097693688
Dairy,Form: Count,0.00395223167757,-0.1512366395,-0.062633305464,0.07446906592,0.16802385065,1.001873308454032,1.0001871731147018,NA,Pooled,POOLED,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/dairy_p/dairy_dishes_count/plots/all_restaurants_weekly.png,Exposure: Dairy Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.062633305464,0.07446906592
Egg,Form: Count,0.0254953177157745,-0.67185031025,-0.13354151944,0.2058230904,0.64371061575,1.0319672339429022,1.003151647681174,NA,Pooled,POOLED,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/egg_p/egg_dishes_count/plots/all_restaurants_weekly.png,Exposure: Egg Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.13354151944,0.2058230904
Breakfast-style meat,Form: Count,-3.0599500491242586,NA,-0.0692861652,0.16205880948,-1.2762813548295264,1.046570209001083,1.004562210337235,NA,Restaurant,2HRX9P6HKXA8V,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/2HRX9P6HKXA8V.png,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-1.2762813548295264
Breakfast-style meat,Form: Count,NA,NA,-0.1258688724,-0.00736018436000001,-2.92518550998292,0.9358278512729562,0.9933895717477241,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/ED5J990H5VAZT.png,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.92518550998292
Breakfast-style meat,Form: Count,NA,NA,-0.28907413696,-0.0369352270800001,-2.2665603131301344,0.8531533422292332,0.9842438496459758,NA,Restaurant,L69HYJ4Y3TR91,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/L69HYJ4Y3TR91.png,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.2665603131301344
Breakfast-style meat,Form: Presence,NA,NA,-0.883382358,-0.45471486136,NA,0.5154988120445695,0.9358856039274549,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/ED5J990H5VAZT.png,Exposure: Breakfast-Style Analog,Animal,NA,NA,Animal_inner,Animal_innerdark,Animal_restwash,NA,NA
Breakfast-style meat,Form: Presence,NA,NA,-2.031371492,0.2003932876,0.32708002546205467,0.4224820175933175,0.9174466576909431,NA,Restaurant,L69HYJ4Y3TR91,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/L69HYJ4Y3TR91.png,Exposure: Breakfast-Style Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,0.2003932876
Chicken,Form: Count,-3.1479848764655465,NA,0.01835772392,0.06699680256,-2.4004912956516784,1.044080982608023,1.004323023020721,NA,Restaurant,JHDN7CF1C03X5,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/chicken_p/chicken_dishes_count/plots/JHDN7CF1C03X5.png,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.4004912956516784
Chicken,Form: Count,-2.3506824639131314,-3.9687245626135783,0.05325645908,0.136665864,-1.731992430560365,1.0989746458992549,1.0094824365984596,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/chicken_p/chicken_dishes_count/plots/W8T41JZK0ZMEP.png,Exposure: Chicken Analog,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.05325645908,-1.731992430560365
Chicken,Form: Presence,NA,NA,-0.6270831244,0.3554039476,-0.20398898322775086,0.8649133417646009,0.9855922041347921,NA,Restaurant,W8T41JZK0ZMEP,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/chicken_p/chicken_dishes_presence/plots/W8T41JZK0ZMEP.png,Exposure: Chicken Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-0.20398898322775086
Dairy,Form: Count,-3.9561326778353507,NA,-4.92572600000001e-4,0.03905075064,-2.7886350035575758,1.0185890964868793,1.001843540334856,NA,Restaurant,ED5J990H5VAZT,finalized_uncontaminated2,../../model_fits/finalized_uncontaminated2/a2_proportion_t/dairy_p/dairy_dishes_count/plots/ED5J990H5VAZT.png,Exposure: Dairy Analog,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.7886350035575758
