outcome,effect_type,mean,q5,q95,rhat,ess_bulk,estimate_type,restaurant_id,source
breakfast,Level Change,-0.3199266476702222,-0.8241982999999999,0.24758930000000018,1.001734788852577,1303.414010260814,Pooled,POOLED,finalized_redone
breakfast,Slope Change,-0.2596157438689111,-1.1572705,0.6840547500000002,1.002087086165992,1477.994996540621,Pooled,POOLED,finalized_redone
textured,Level Change,0.24061995837115555,-0.6003461,1.1665135000000002,1.060159567748309,105.6523460629367,Pooled,POOLED,finalized_redone
textured,Slope Change,-0.3489518067942222,-1.847554,1.1014000000000002,1.0072316372172752,206.85946852799918,Pooled,POOLED,finalized_redone
untextured,Level Change,-0.32407686181766665,-1.0637554999999999,0.67376995,1.426028129134894,4.317635980228718,Pooled,POOLED,finalized_redone2
untextured,Slope Change,-0.22810612609066666,-1.7413595,0.6294208499999999,1.2645074237959004,6.3377096080884865,Pooled,POOLED,finalized_redone2
breakfast,Level Change,-0.616186139423817,-0.8915981192837836,-0.3285040669720361,1.0003927092150653,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone
breakfast,Slope Change,-1.0788096613719298,-1.7147984280919266,-0.4307829160924542,1.0003388554823,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone
breakfast,Level Change,-0.06187540371808753,-0.40047756659712525,0.2700271372130602,1.000631548318321,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone
breakfast,Slope Change,0.08617769624105241,-1.1394342831883648,1.5085119938441398,0.9999612967694126,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone
breakfast,Level Change,-0.3856624808119846,-0.7339691750802004,-0.040821994520255166,1.0001874586856807,NA,Restaurant,ED5J990H5VAZT,finalized_redone
breakfast,Slope Change,0.131028262406404,-0.4307829160924542,0.6780335427498971,0.9995483064168178,NA,Restaurant,ED5J990H5VAZT,finalized_redone
textured,Level Change,0.28517894223366247,0.01980262729617973,0.5596157879354227,1.0023384998534837,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone
textured,Slope Change,-0.6733445532637656,-2.5257286443082556,0.9360933591703348,1.015947001453199,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone
untextured,Level Change,-0.09431067947124129,-0.2231435513142097,0.06765864847381486,1.0709827468803141,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
untextured,Level Change,0.02955880224154443,-0.09431067947124129,0.13976194237515863,1.0564629600699371,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
untextured,Slope Change,-0.5978370007556204,-1.4271163556401458,0.06765864847381486,1.0828856518470253,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
untextured,Slope Change,-0.11653381625595151,-0.6733445532637656,0.7514160886839212,1.1101693504502819,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
