outcome,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,source,pred_path,color_group
Breakfast,Presence,4.7966080777205,-0.65562875,10.2958936475,121.09896183370206,1.6155263352711555,1.00556530503484,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Animal
Breakfast,Presence,2.82576379,2.1079185,3.623076,16.873828126640607,1.3265430912622538,1.01107155322485,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal
Chicken,Count,0.0973941664686667,0.026317095,0.174657925,1.1022947756411754,1.0097869991148816,1.00100780003826,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal
Chicken,Count,0.0684823510533333,0.0278021525,0.1097193,1.0708817248497482,1.00687173788759,1.00956633619886,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal
Chicken,Count,0.0818109629467,-0.2004197,0.413560325,1.0852506378549351,1.0082146529105083,1.00653392794671,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Animal
Chicken,Count,0.0874024362796667,-0.177748375,0.397577275,1.0913357844694793,1.0087785510814613,1.00668170885033,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Animal
Chicken,Count,-0.00247007891022333,-0.108069325,0.09193522,0.9975329692244604,0.9997530226129152,1.01488973839625,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal
Chicken,Count,0.120781216366667,0.051369655,0.20006155,1.1283780147179134,1.012151356698123,1.00062586347506,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
Chicken,Presence,3.81537739333333,2.1476285,5.6026325,45.39388450010965,1.4645349317404253,1.00269507172095,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal
Chicken,Presence,3.02109113126667,-0.158332325,6.989563,20.513662575814173,1.3527088169458068,1.00091031322187,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal
Chicken,Presence,2.0533389204156,-1.03083675,5.5207375,7.793880857922483,1.2279349942454385,1.00103355268897,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Animal
Chicken,Presence,2.25229448817933,-1.2454175,5.878565,9.509530328123775,1.2526100931266535,1.00079612300322,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Animal
Chicken,Presence,2.18494711766667,1.12254875,3.3853175,8.890178407562365,1.2442024369769686,1.00213318173367,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal
Chicken,Presence,0.335912284093333,0.137466275,0.544786825,1.3992162859027906,1.0341617843575204,1.00081823236432,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
Dairy,Count,0.330257292066667,0.1283714,0.5070825,1.3913260595726635,1.033577132018834,1.01608545141918,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal
Dairy,Count,0.0382749951245,-0.1001217,0.1653512,1.0390169181824378,1.003834833742978,1.00084055863915,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,NA,Animal
Dairy,Count,0.04634763301036,0.00551584975,0.08897287,1.047438471862617,1.0046455204289575,1.00176526838466,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal
Dairy,Count,0.130173315411333,-0.00533581624999999,0.281149775,1.1390257769394991,1.0131024258340167,1.03184241093957,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Animal
Dairy,Count,0.0457760151943333,0.0109488175,0.081053065,1.0468399084619586,1.0045880947424235,1.0000880460273,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal
Dairy,Count,0.0056777844824,-0.06909609,0.07608776,1.0056939336500788,1.0005679396649334,1.01097476057465,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Animal
Dairy,Count,0.105688143233867,-0.1682085,0.427527425,1.1114752013909075,1.0106248615182623,1.00582261438459,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,NA,Animal
Dairy,Count,0.118797932480267,-0.120658675,0.4014222,1.126142338506678,1.01195063825523,1.00566611603791,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Animal
Dairy,Count,-0.0160083635480667,-0.122508425,0.0882781725000001,0.9841190892935593,0.9984004443002465,1.00104520752112,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal
Dairy,Count,0.0328899709592667,0.00854437675,0.0587398675,1.0334368249229768,1.0032944117815428,1.00390860948262,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
Dairy,Presence,0.82792989266666694,0.490950325,1.1543605,2.288576234763605,1.086316906011076,1.00048490257787,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal
Dairy,Presence,0.966900937340667,-0.865102525,2.73980975,2.6297819587660123,1.1015189530939546,1.00517675955765,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,NA,Animal
Dairy,Presence,0.0596451719535867,-0.07440969,0.196479075,1.0614598439942062,1.0059823403459216,1.00060720826738,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal
Dairy,Presence,2.046210866,1.15389425,3.00982825,7.738523181712236,1.2270600273772776,1.0020758557435,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Animal
Dairy,Presence,1.38828596086767,-0.46541825,3.55229375,4.007974337199265,1.1489271525153415,1.02161704956889,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal
Dairy,Presence,1.260982949531,-0.452860625,3.258159,3.528888502434234,1.1343936679753972,1.02035398233169,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Animal
Dairy,Presence,1.25314220577767,-0.456722075,3.23120825,3.5013275822064798,1.133504567574768,1.00492199159183,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,NA,Animal
Dairy,Presence,1.10255836272233,-0.773802675,3.1436185,3.011861610166803,1.1165636914137353,1.00733732615629,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Animal
Dairy,Presence,-0.1859216978269,-0.4302814,0.0691813125,0.830338609754053,0.9815795984439906,1.00059554887124,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal
Dairy,Presence,1.35711381496333,-0.368830425,3.5087,3.8849643791566506,1.1453512763144815,1.01041356809208,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
Egg,Count,0.0664173521771,0.0120110075,0.145957925,1.0686726369583643,1.0066638404530024,1.00552521702983,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,NA,Animal
Egg,Count,0.0324905142573333,-0.0030015065,0.06532618,1.0330240940967719,1.003254335314309,1.01277388121505,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal
Egg,Count,0.0414139682016,-0.03826375,0.1065433,1.0422834884711918,1.0041499842545365,1.00158137165739,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Animal
Egg,Count,0.0693583434526667,0.0250413275,0.128322875,1.0718202200986402,1.006959942949831,1.01002967809778,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal
Egg,Count,0.05552815912,0.029202225,0.0849720125,1.057098783624821,1.0055682613696368,1.00009575366493,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
Egg,Presence,0.08800920733,-0.00204828325,0.17598385,1.0919981763694797,1.0088397627006138,1.00237037283173,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,NA,Animal
Egg,Presence,0.093623008173,-0.061305125,0.26082045,1.0981456759268968,1.0094062642481094,1.00140083921507,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,NA,Animal
Egg,Presence,0.185708158020667,-0.2935625,1.37299975,1.2040708106875895,1.0187443258117295,1.0143646906247,Restaurant,LBZEEFSBJNB3Z,finalized_redone_trunc,NA,Animal
Egg,Presence,0.138953931565367,-0.09059771,0.43068465,1.1490711628744936,1.013992382847981,1.00921594339451,Restaurant,V3Q26BHF3SE2H,finalized_redone_trunc,NA,Animal
Egg,Presence,0.0904726658392333,-0.640494425,0.6655307,1.0946915847569223,1.0090883168042806,1.03839545314556,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
Untextured,Count,0.177308861,0.08679087,0.26933955,1.1939998161593441,1.0178890114459225,1.00017568735827,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,NA,Animal
Untextured,Count,0.0766840126333333,0.030044955,0.1244534,1.079700850655342,1.0076978787525315,0.999920558778355,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal
Untextured,Count,0.161781437769655,-0.0394207175,0.3725874,1.1756032707671342,1.0163097185324796,1.00055291215551,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,NA,Animal
Untextured,Count,-0.0803103315556333,-0.189609075,0.036769735,0.9228299187009045,0.9920011294340103,1.00282151810237,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,NA,Animal
Untextured,Count,0.658160002207333,0.013928445,3.305227,1.9312355939781998,1.0680301817676174,1.02723563602912,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Animal
Untextured,Count,0.117221391138333,0.0250066875,0.2151183,1.1243683273215466,1.0117911126287769,1.00135910228468,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal
Untextured,Count,0.354920458727667,-0.116569775,1.40351325,1.426067218569132,1.0361294065901576,1.01468052397313,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,NA,Animal
Untextured,Count,0.194400568351367,-0.1016554,0.62748865,1.2145827089196166,1.0196302451648773,1.01464297322953,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,NA,Animal
Untextured,Count,0.1131665955795,-0.00892481274999999,0.23527225,1.1198184742173263,1.011380935182686,1.00045313832555,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,NA,Animal
Untextured,Count,0.262303947888333,-0.250145275,1.1453215,1.2999215908118054,1.02657743932162,1.01086721974932,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Animal
Untextured,Count,0.169041481565667,0.065855855,0.269170175,1.1841692591000537,1.017047831743457,1.00126469788833,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Animal
Untextured,Count,0.366104437666667,0.237438725,0.5101131,1.442105844959637,1.037288859780444,1.00450635504269,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
Untextured,Presence,3.24424751666667,2.53655825,4.0696285,25.642407314511235,1.3832347136097027,1.00018595032768,Restaurant,1SQPTEGYPH0GA,finalized_redone_trunc,NA,Animal
Untextured,Presence,0.9795948668649,-0.466201775,2.7468285,2.6633770010516695,1.1029181013365548,1.00157341336767,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,NA,Animal
Untextured,Presence,1.55295561701667,-0.778057075,3.929931,4.725416083254364,1.1680031270854838,1.00409260443102,Restaurant,C0BE4NDSW26QN,finalized_redone_trunc,NA,Animal
Untextured,Presence,0.92490348711,-1.71319175,3.42481,2.5216248793090346,1.096902554985654,1.00303353611257,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,NA,Animal
Untextured,Presence,4.30408020333333,2.3632265,6.501191,74.00111815800557,1.5378848838546353,1.0028754680885,Restaurant,EMBVNVD207CC6,finalized_redone_trunc,NA,Animal
Untextured,Presence,2.14646681083333,0.669975575,3.97161325,8.554579989660482,1.239423907683315,1.0004907514927,Restaurant,JHDN7CF1C03X5,finalized_redone_trunc,NA,Animal
Untextured,Presence,2.59785339569503,-1.03338777499992e-4,5.27277275,13.43486771463774,1.2966517169735916,1.0078084881666,Restaurant,LFZFT3VASXPED,finalized_redone_trunc,NA,Animal
Untextured,Presence,0.699143017598667,-0.207379425,1.7512105,2.0120276960973054,1.072416273128793,1.00539214347436,Restaurant,LQ5EH4BKGV61T,finalized_redone_trunc,NA,Animal
Untextured,Presence,3.59069058333333,2.5009805,4.922665,36.259107217511314,1.4319956893927548,1.00103396956505,Restaurant,S8MT0YGD2KTN9,finalized_redone_trunc,NA,Animal
Untextured,Presence,2.08052217650133,-0.247067075,4.68785125,8.008649751341459,1.2312774622859877,1.00574609134971,Restaurant,SAFK7ND1HR6XS,finalized_redone_trunc,NA,Animal
Untextured,Presence,0.149716052749667,0.0513450475,0.253325275,1.1615043899223325,1.0150842411685903,1.00186036082605,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc,NA,Animal
Untextured,Presence,1.264950827,0.88938345,1.69873775,3.5429185158933696,1.1348438707945854,1.00212598892709,Restaurant,W8T41JZK0ZMEP,finalized_redone_trunc,NA,Animal
