outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,q1_lo,q1_hi
nonvegan,level change,0.9884998198122878,0.8559159796691386,1.135251920281627,0.9884998198122878,1.0054869099888,298.361503510312,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,0.9197832465858787,1.0623501758658007
nonvegan,slope change,0.9778352596993278,0.5570225514675656,1.8353189984223148,0.9778352596993278,1.0125179070703,191.283274414355,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,0.7213797771125882,1.3254624338630727
meat,level change,0.949760129307543,0.8216081136422376,1.0705888674214858,0.949760129307543,1.00843448540077,270.746286548926,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,0.8877443413782227,1.0161081982475468
meat,slope change,0.9326654262812805,0.5309731627382589,1.7771886755761843,0.9326654262812805,1.01267495310015,156.898175744979,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,0.6853048329692469,1.2693107585591445
chicken_fish,level change,0.8824762671415265,0.6327134926797146,1.074135210518318,0.8824762671415265,1.00715027696486,257.958189996171,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,0.7710230411934975,1.010040323649164
chicken_fish,slope change,0.948212414120114,0.3778888119171477,2.0657945554045347,0.948212414120114,1.01029087752891,172.95457642446,Pooled,POOLED,NA,Animal,TRUE,TRUE,Animal_inner,0.614767598634649,1.462514915048127
vegetarian,level change,1.0230576272278185,0.8129708885638226,1.2740493115702396,1.0230576272278185,1.00810402521669,195.985750316224,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,0.9122772005695489,1.1472904375726762
vegetarian,slope change,0.8092200922927462,0.48619596071585447,1.5577109049500169,0.8092200922927462,1.00827763504912,269.348375615244,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,0.6012675997779836,1.0890943699811486
vegan,level change,1.0515030023526457,0.899586795225634,1.2874578723299512,1.0515030023526457,1.11280527792349,44.9607545391671,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,0.9596076284469489,1.1521985978227907
vegan,slope change,0.601661664393932,0.3153903274463589,1.3070002749378227,0.601661664393932,1.19193774149202,12.1453669129391,Pooled,POOLED,NA,Plant-based,TRUE,TRUE,Plant-based_inner,0.4186444848029237,0.8646877518801804
nonvegan,level change,0.9956828499068462,0.9063011636187128,1.092863533048546,0.9956828499068462,1.00213702795001,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal,TRUE,TRUE,Animal_inner,0.9492550477929018,1.044381422994454
nonvegan,level change,1.0020616542611578,0.8788374286444461,1.1435711751064375,1.0020616542611578,1.0012141763866,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.9369627760364773,1.0716835125385131
nonvegan,level change,0.999794169516013,0.8800925293929535,1.1338235771534724,0.999794169516013,1.00365733255183,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.9372274511716658,1.0665376693230533
nonvegan,level change,0.989067212941384,0.7937203728620313,1.232680760075682,0.989067212941384,1.00697521343268,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,0.8840047713705496,1.1066161443890907
nonvegan,level change,0.9934549970085157,0.8866662928254706,1.107792428914257,0.9934549970085157,1.0075502508655,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,TRUE,TRUE,Animal_inner,0.9385994426247504,1.0515165322506708
nonvegan,level change,0.9953902648789296,0.8019410179687134,1.248232873629961,0.9953902648789296,1.00167034575112,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,TRUE,TRUE,Animal_inner,0.889149356256392,1.1143254757416048
nonvegan,level change,0.991338124018028,0.8406636238584778,1.1742511350012805,0.991338124018028,1.00328462096792,NA,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,0.9103253173747001,1.0795605234464458
nonvegan,slope change,1.0033441507043876,0.4516460968062063,2.1840626808637276,1.0033441507043876,1.00273597393716,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal,TRUE,TRUE,Animal_inner,0.671183136408219,1.499887929455406
nonvegan,slope change,1.0740417158436466,0.3788555049596064,3.040345392748475,1.0740417158436466,1.00379043120527,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.6313850319468479,1.8270398394073357
nonvegan,slope change,0.9813299125760808,0.3448909668559628,2.7154306646855924,0.9813299125760808,1.0023764034557,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.5797003778183157,1.6612174740006733
nonvegan,slope change,0.994523840797557,0.5311380687820177,1.9167517855361325,0.994523840797557,1.00227086052122,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,0.7168559947360739,1.379743877679191
nonvegan,slope change,1.0365553888678254,0.7964413595531536,1.3325981394967399,1.0365553888678254,1.00253002132776,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,TRUE,TRUE,Animal_inner,0.9090036491277486,1.182005237516851
nonvegan,slope change,0.956515588438515,0.3451601385272429,2.4806911230440405,0.956515588438515,1.00553222410993,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,TRUE,TRUE,Animal_inner,0.5783408568856524,1.5819772371827674
nonvegan,slope change,0.938790416877338,0.6569275602157167,1.3601740914844127,0.938790416877338,1.00786491081674,NA,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,0.779716556071972,1.130317728868867
meat,level change,0.9893473776452713,0.9085586792488856,1.0870942435730802,0.9893473776452713,1.00849633443374,NA,Restaurant,VLZX7K2M9QD4T,NA,Animal,TRUE,TRUE,Animal_inner,0.9450890509803306,1.0356783126820355
meat,level change,0.9653930286054121,0.8430109451449302,1.0998664050784464,0.9653930286054121,1.00932418130737,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.9020656746638286,1.0331661273191122
meat,level change,0.9692420258847866,0.8558764077365779,1.0962318082064038,0.9692420258847866,1.01075257495245,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,TRUE,TRUE,Animal_inner,0.9099362680809802,1.032413079569261
meat,level change,0.997095467539602,0.8023291410460492,1.22609653289302,0.997095467539602,1.01274779120605,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,TRUE,TRUE,Animal_inner,0.8948578743209767,1.1110137150465618
meat,level change,0.9485582114759038,0.8537462374015345,1.04993084752437,0.9485582114759038,1.00602192905919,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,TRUE,TRUE,Animal_inner,0.8998035220113605,0.9999546106988959
meat,level change,0.893549665271882,0.7116813079267265,1.0506469134495715,0.893549665271882,1.02316659598929,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,TRUE,TRUE,Animal_inner,0.8090265432159724,0.9869033482308729
meat,level change,0.9451885335216761,0.7810040976385038,1.1115903164652658,0.9451885335216761,1.01134523027309,NA,Restaurant,ED5J990H5VAZT,NA,Animal,TRUE,TRUE,Animal_inner,0.8638005666456925,1.0342449384700363
