outcome,exposure_type,mean,q5,q95,rhat,estimate_type,restaurant_id
Untextured,Count,0.9657730652974075,0.4956507417423812,2.24344089255418,1.4548227944647536,Pooled,POOLED
Untextured,Presence,0.9657730652974075,0.4956507417423812,2.24344089255418,1.4548227944647536,Pooled,POOLED
Untextured,Count,0.96,0.88,1.03,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ
Untextured,Presence,0.96,0.88,1.03,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ
