outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9958082813801388,0.9711459951837674,1.025410490364819,0.9958082813801388,0.9995800353598471,NA,Restaurant,9XKJD8DQTH559,0.9825475927833148,1.0109004746602457,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/9XKJD8DQTH559.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9825475927833148,1.0109004746602457
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0166858936914094,0.8526264326731758,1.1839255563402622,1.0166858936914094,1.001656191332449,NA,Restaurant,C0BE4NDSW26QN,0.9319650300556578,1.0964454224613838,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/C0BE4NDSW26QN.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9319650300556578,1.0964454224613838
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.009474129601668,0.937334448856451,1.0893022212251982,1.009474129601668,1.000943397870094,NA,Restaurant,CB2KHY1C2G9PT,0.9738012267877186,1.0461124759805993,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/CB2KHY1C2G9PT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9738012267877186,1.0461124759805993
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0026402822721463,0.9817955948163162,1.0189257266372564,1.0026402822721463,1.000263715051702,NA,Restaurant,ED5J990H5VAZT,0.9918534535087097,1.0112298049136317,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/ED5J990H5VAZT.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9918534535087097,1.0112298049136317
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.066819325442961,0.907411881915731,1.2318588028290314,1.066819325442961,1.006489126589915,NA,Restaurant,EMBVNVD207CC6,0.9879241944925419,1.1443045929301463,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/EMBVNVD207CC6.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9879241944925419,1.1443045929301463
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9956559918670631,0.9581580551938511,1.0431709187718292,0.9956559918670631,0.9995647476747876,NA,Restaurant,JHDN7CF1C03X5,0.9751211457460357,1.0188683374020415,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/JHDN7CF1C03X5.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9751211457460357,1.0188683374020415
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0203081050412126,0.8478346252202974,1.1801743900990451,1.0203081050412126,1.0020124868838964,NA,Restaurant,L69HYJ4Y3TR91,0.9305884719880634,1.103419520461577,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/L69HYJ4Y3TR91.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9305884719880634,1.103419520461577
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.005763202468581,0.91078994830277,1.1167315105978282,1.005763202468581,1.0005748310270681,NA,Restaurant,LBZEEFSBJNB3Z,0.9582266708125403,1.0562626305638254,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/LBZEEFSBJNB3Z.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9582266708125403,1.0562626305638254
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9765130916965242,0.7414848463133602,1.346851991551138,0.9765130916965242,0.9976261099441899,NA,Restaurant,LFZFT3VASXPED,0.855883878397671,1.1346400695259589,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/LFZFT3VASXPED.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.855883878397671,1.1346400695259589
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.01221159350372,0.8369896616596962,1.2114350249698658,1.01221159350372,1.001214500258849,NA,Restaurant,LQ5EH4BKGV61T,0.9293975489256643,1.103986940933104,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/LQ5EH4BKGV61T.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9293975489256643,1.103986940933104
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9975011867445291,0.8697901998825722,1.1549318351632505,0.9975011867445291,0.9997498372459213,NA,Restaurant,S8MT0YGD2KTN9,0.9323145490200065,1.0709492724064404,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/S8MT0YGD2KTN9.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9323145490200065,1.0709492724064404
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9845318288117114,0.7824699160495188,1.2940079225021035,0.9845318288117114,0.9984423093114746,NA,Restaurant,SAFK7ND1HR6XS,0.8840994266599022,1.1130634878054657,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/SAFK7ND1HR6XS.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.8840994266599022,1.1130634878054657
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9978186126909745,0.9353207086051958,1.0668969311036083,0.9978186126909745,0.9997816468425215,NA,Restaurant,SRQS8F7JWA9MZ,0.9664099812255572,1.031568344575931,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9664099812255572,1.031568344575931
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,1.0094196244166125,0.9653254407024191,1.050374036523496,1.0094196244166125,1.000937993280799,NA,Restaurant,V3Q26BHF3SE2H,0.9879915672527256,1.0298808578492455,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/V3Q26BHF3SE2H.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9879915672527256,1.0298808578492455
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.9964942113276735,0.969282401961946,1.028794419692085,0.9964942113276735,0.9996488668266874,NA,Restaurant,W8T41JZK0ZMEP,0.981237969679413,1.013359581408188,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_count/plots/W8T41JZK0ZMEP.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.981237969679413,1.013359581408188
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,1.0250876385912522,0.799379897305226,1.3105168403197756,1.2811794513146162,1.0250876385912522,NA,Restaurant,1SQPTEGYPH0GA,0.9018151476574464,1.1596426892966831,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/1SQPTEGYPH0GA.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9018151476574464,1.1596426892966831
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.9890933089948974,0.6361519921026632,1.493379577492224,0.8961333490644486,0.9890933089948974,NA,Restaurant,2HRX9P6HKXA8V,0.7995878730032532,1.2149756652607968,../../model_fits/finalized_redone_trunc_cp/t2_a1_proportion/nonvegan/mpbamod_dishes_prop/plots/2HRX9P6HKXA8V.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.7995878730032532,1.2149756652607968
