outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,color_group
nonvegan,mpbamod,Proportion,-0.9859743565998865,NA,0.6613179499704704,NA,1.04139126714658,1.01235692069139,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,mpbamod,Proportion,NA,NA,1.176669094974983,NA,0.989261478179064,1.00260355559401,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,mpbamod,Proportion,-2.970527109413781,NA,-0.004732932676619364,NA,1.00625786750356,1.00089020089094,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,mpbamod,Proportion,NA,NA,-0.2764454306375294,NA,0.936325180529012,1.00344933914527,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegan,Count,-5.083259433566192,NA,-2.0224107582065183,NA,1.00064131806574,1.0011037818454,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegan,Count,NA,NA,-2.628162197702455,NA,0.999335807531063,1.00100634099216,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegan,Count,NA,NA,-4.107168735547557,NA,0.999352435011366,0.999923313073786,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegan,Count,NA,NA,-2.983780135772743,NA,0.998027176981625,1.0050097936646,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegan,Count,NA,NA,-1.8167385653509152,NA,0.995102716161396,1.00062344886799,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegan,Count,-4.926602059561286,NA,-3.580377218829617,NA,1.00072593454788,1.00373239301576,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegan,Proportion,-3.758709049717613,NA,0.8002790714059711,NA,1.00917339556428,1.00012645538623,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegan,Proportion,NA,NA,0.3151955271137829,NA,0.987441377405742,1.00157654697256,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegan,Proportion,NA,NA,0.01809141891585928,NA,0.971856601657673,1.00063410102128,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegan,Proportion,NA,NA,0.6799886100551638,NA,0.943915885843835,1.00433544445577,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegan,Proportion,NA,NA,-0.4510260480888925,NA,0.984690852633081,1.00057558427499,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegan,Proportion,NA,NA,0.09538681323154515,NA,0.974275407809943,1.00791667718654,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegetarian,Count,-4.954866767967476,NA,-2.287202169194724,NA,1.0007163569041,1.00410253363992,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegetarian,Count,NA,NA,-3.5218609777770467,NA,0.999812810218899,1.00126934636385,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegetarian,Count,NA,NA,-4.287727220066088,NA,0.999591566677581,1.00061011145939,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegetarian,Count,NA,NA,-3.1624550858211897,NA,0.999277757173085,1.00400247476887,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegetarian,Count,-5.607926530172152,NA,-3.2272579821984535,NA,1.00036858945266,1.00092349310069,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegetarian,Count,-5.065894787792996,NA,-3.7787395247812587,NA,1.00063134453241,1.01009382351672,Restaurant,W8T41JZK0ZMEP,Animal
nonvegan,vegetarian,Proportion,NA,NA,0.7485006755411767,NA,0.997295498645063,1.02095316519052,Restaurant,2HRX9P6HKXA8V,Animal
nonvegan,vegetarian,Proportion,NA,NA,0.17473550112992922,NA,0.983774627618708,1.00176184450764,Restaurant,ED5J990H5VAZT,Animal
nonvegan,vegetarian,Proportion,NA,NA,0.1518220435141605,NA,0.977006852150104,1.02165835255882,Restaurant,JHDN7CF1C03X5,Animal
nonvegan,vegetarian,Proportion,NA,NA,0.6319739238959319,NA,0.962792354113339,1.00478580899006,Restaurant,L69HYJ4Y3TR91,Animal
nonvegan,vegetarian,Proportion,-6.057819116262976,NA,-0.500107023750731,NA,1.00069960859029,1.00208450867949,Restaurant,SRQS8F7JWA9MZ,Animal
nonvegan,vegetarian,Proportion,NA,NA,-0.6783014261274454,NA,0.919141791192069,1.00367636320652,Restaurant,W8T41JZK0ZMEP,Animal
