outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source
Breakfast,Count,0.8326090369547797,0.42892480720368065,1.3656965957207916,1.0056323713940438,Pooled,POOLED,finalized_redone2
Breakfast,Presence,0.8441628006063864,0.39250812159969684,2.2004613105571718,1.0005398361496856,Pooled,POOLED,finalized_redone2
Chicken,Count,1.3064409724803934,0.7410527082308745,1.8015207602344898,1.3594314638501295,Pooled,POOLED,finalized_redone
Chicken,Presence,1.2498255130145155,0.4244282754215115,3.9835335418554,1.0167502513708846,Pooled,POOLED,finalized_redone
Dairy,Count,1.0668578201564554,0.8519878609206819,1.2934007954019817,1.006627815936204,Pooled,POOLED,finalized_redone
Dairy,Presence,1.1662597112457083,0.38544106578762105,3.519144780481708,1.0015952401694972,Pooled,POOLED,finalized_redone
Egg,Count,1.024503582282712,0.4441459408279575,2.0006355898523336,1.0073824542429093,Pooled,POOLED,finalized_redone
Egg,Presence,1.0607910759997647,0.3571097933810054,3.355407588735024,1.0067691932642744,Pooled,POOLED,finalized_redone
Untextured,Count,0.9657730652974075,0.45515126032613146,3.1406436092023213,1.4548227944647536,Pooled,POOLED,finalized_redone2
Untextured,Presence,0.9657730652974075,0.45515126032613146,3.1406436092023213,1.4548227944647536,Pooled,POOLED,finalized_redone2
Breakfast,Count,0.73,0.55,0.95,1.0002590873349866,Restaurant,2HRX9P6HKXA8V,finalized_redone2
Breakfast,Count,0.96,0.82,1.13,1.0001507836931434,Restaurant,ED5J990H5VAZT,finalized_redone2
Breakfast,Count,0.92,0.67,1.3,1.0003403195601037,Restaurant,L69HYJ4Y3TR91,finalized_redone2
Breakfast,Presence,1.09,0.27,9.64,1.0020409221363222,Restaurant,2HRX9P6HKXA8V,finalized_redone2
Breakfast,Presence,0.62,0.44,0.87,1.000708443242851,Restaurant,ED5J990H5VAZT,finalized_redone2
Breakfast,Presence,0.88,0.61,1.32,1.0006113867251345,Restaurant,L69HYJ4Y3TR91,finalized_redone2
Chicken,Count,1.03,0.98,1.08,1.180186360337677,Restaurant,JHDN7CF1C03X5,finalized_redone
Chicken,Count,1.21,1.03,1.36,1.3540070266718136,Restaurant,W8T41JZK0ZMEP,finalized_redone
Chicken,Presence,1.44,0.26,15.97,1.0134810409033397,Restaurant,JHDN7CF1C03X5,finalized_redone
Chicken,Presence,1.27,0.97,1.68,1.0004127240001996,Restaurant,W8T41JZK0ZMEP,finalized_redone
Dairy,Count,1.07,0.99,1.15,1.0019438037136001,Restaurant,ED5J990H5VAZT,finalized_redone
Dairy,Count,1.11,1.06,1.16,0.9997951979960014,Restaurant,JHDN7CF1C03X5,finalized_redone
Dairy,Count,1.04,0.99,1.1,1.0012485593799498,Restaurant,W8T41JZK0ZMEP,finalized_redone
Dairy,Presence,1.14,0.9,1.45,1.0010260516253129,Restaurant,ED5J990H5VAZT,finalized_redone
Dairy,Presence,1.15,0.15,11.01,1.0016841257342735,Restaurant,JHDN7CF1C03X5,finalized_redone
Dairy,Presence,1.34,0.26,8.66,1.0013468759633422,Restaurant,W8T41JZK0ZMEP,finalized_redone
Egg,Count,1.02,0.96,1.09,1.0007588381918033,Restaurant,ED5J990H5VAZT,finalized_redone
Egg,Count,1.07,1.02,1.14,1.004153467531167,Restaurant,W8T41JZK0ZMEP,finalized_redone
Egg,Presence,1.04,0.75,1.43,1.0002786727899573,Restaurant,ED5J990H5VAZT,finalized_redone
Egg,Presence,1.1,0.2,6.64,1.0030338577098077,Restaurant,W8T41JZK0ZMEP,finalized_redone
Untextured,Count,0.96,0.87,1.05,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
Untextured,Presence,0.96,0.87,1.05,1.1593174914661069,Restaurant,SRQS8F7JWA9MZ,finalized_redone2
