outcome,exposure_group,exposure_type,mean,q2.5,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,q16,q84,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Vegetarian,Form: Count,0.9949554783515252,0.977168623372543,1.013572802671964,0.9949554783515252,0.9994943990392647,NA,Restaurant,JHDN7CF1C03X5,0.986305282994176,1.0042085224321324,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.986305282994176,1.0042085224321324
nonvegan,Exposure: Vegetarian,Form: Count,0.9929296692311663,0.9459750021433623,1.0449406993258539,0.9929296692311663,0.9992907072671012,NA,Restaurant,L69HYJ4Y3TR91,0.9687887970391116,1.0183654223415404,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9687887970391116,1.0183654223415404
nonvegan,Exposure: Vegetarian,Form: Count,1.0123627372902748,0.9613879449509765,1.0676747173212382,1.0123627372902748,1.0012294494240574,NA,Restaurant,LBZEEFSBJNB3Z,0.9895844827976786,1.0392123082181728,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9895844827976786,1.0392123082181728
nonvegan,Exposure: Vegetarian,Form: Count,0.9949380306667546,0.8670720281381689,1.1449189675463947,0.9949380306667546,0.9994926462974386,NA,Restaurant,LFZFT3VASXPED,0.9242494541357043,1.0626958930587143,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9242494541357043,1.0626958930587143
nonvegan,Exposure: Vegetarian,Form: Count,0.9996840454241631,0.8806501646607225,1.145645612113666,0.9996840454241631,0.999968400049289,NA,Restaurant,LQ5EH4BKGV61T,0.9437706736920239,1.0671440536140546,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9437706736920239,1.0671440536140546
nonvegan,Exposure: Vegetarian,Form: Count,1.0054540293590644,0.973555080090135,1.0364027154173476,1.0054540293590644,1.0005440689518506,NA,Restaurant,S8MT0YGD2KTN9,0.9898443018900348,1.01979361011749,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9898443018900348,1.01979361011749
nonvegan,Exposure: Vegetarian,Form: Count,1.0038123761887912,0.8609635259535551,1.1795125936352122,1.0038123761887912,1.0003805851541598,NA,Restaurant,SAFK7ND1HR6XS,0.9365341127630085,1.0820216007179706,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9365341127630085,1.0820216007179706
nonvegan,Exposure: Vegetarian,Form: Count,1.000178641954574,0.9716763645708977,1.0322860730358914,1.000178641954574,1.000017862759537,NA,Restaurant,SRQS8F7JWA9MZ,0.9848553855984377,1.0147172853761375,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9848553855984377,1.0147172853761375
nonvegan,Exposure: Vegetarian,Form: Count,1.000361799433633,0.9503728788922766,1.0531627237093961,1.000361799433633,1.0000361740542654,NA,Restaurant,V3Q26BHF3SE2H,0.9730814816493927,1.0277932833736219,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9730814816493927,1.0277932833736219
nonvegan,Exposure: Vegetarian,Form: Count,1.0062744966990982,0.991939729470676,1.0217785091515366,1.0062744966990982,1.000625685059287,NA,Restaurant,W8T41JZK0ZMEP,0.9990471983640126,1.0140516109839766,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9990471983640126,1.0140516109839766
nonvegan,Exposure: Vegetarian,Form: Proportion,1.0134576336363232,0.8961606893002033,1.14396647787905,1.1430256665672869,1.0134576336363232,NA,Restaurant,1SQPTEGYPH0GA,0.9522872190980883,1.0758760230849882,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9522872190980883,1.0758760230849882
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9981178210245909,0.8203896740871848,1.193120895987703,0.9813368296354138,0.9981178210245909,NA,Restaurant,2HRX9P6HKXA8V,0.902496252083311,1.0986378317263572,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.902496252083311,1.0986378317263572
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9983457720957691,0.933565640163297,1.066005762469226,0.9835803204658753,0.9983457720957691,NA,Restaurant,78AY09MVJVTYE,0.9647988021718432,1.032104152528788,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9647988021718432,1.032104152528788
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9784007236338839,0.8736894485225675,1.0920026537568217,0.8038363703349213,0.9784007236338839,NA,Restaurant,9XKJD8DQTH559,0.9220270728119744,1.0364320660634518,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9220270728119744,1.0364320660634518
nonvegan,Exposure: Vegetarian,Form: Proportion,0.9872828664109208,0.8674752045659714,1.1274874287329382,0.8798649184973805,0.9872828664109208,NA,Restaurant,C0BE4NDSW26QN,0.9237266408117824,1.0555601996911474,NA,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.9237266408117824,1.0555601996911474
