outcome,effect_type,mean,q2.5,q97.5,mean_exp,rhat,ess_bulk,estimate_type,restaurant_id,n_rest_model,source,pred_path,color_group
breakfast,level change,0.812870082504974,0.4929044337889213,1.3262599589201844,0.812870082504974,1.0004118007458,2703.00395091767,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
breakfast,slope change,0.502509174229788,0.17888228324164684,1.307823457375388,0.502509174229788,1.00065442799972,3934.89746144297,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
untextured,level change,1.09358328217573,0.4824135066988467,2.3340046181401406,1.09358328217573,1.01042910104574,181.478657553481,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
untextured,slope change,0.433819536704014,0.14311457797026114,1.091054462059942,0.433819536704014,1.0112403634854,176.724441195302,Pooled,POOLED,0,finalized_redone_trunc_cp,NA,Animal
breakfast,level change,0.840879065117117,0.6787011030732908,1.031450351459551,0.840879065117117,1.00019014689066,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,Animal
breakfast,level change,0.871264298650704,0.6470251102216141,1.2077738627158134,0.871264298650704,1.00087833707847,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,Animal
breakfast,level change,0.784375588605393,0.5240535789414474,1.0708628844007442,0.784375588605393,0.999835823809117,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,Animal
breakfast,slope change,0.572841283706759,0.37741565149793693,0.88102262264894,0.572841283706759,1.00018768467054,NA,Restaurant,2HRX9P6HKXA8V,NA,finalized_redone_trunc_cp,NA,Animal
breakfast,slope change,0.942832479128007,0.21731459038550865,2.8952783357119856,0.942832479128007,0.999884074414089,NA,Restaurant,L69HYJ4Y3TR91,NA,finalized_redone_trunc_cp,NA,Animal
breakfast,slope change,1.096855278576,0.5987517095875766,1.8572207038771087,1.096855278576,1.00064740381577,NA,Restaurant,ED5J990H5VAZT,NA,finalized_redone_trunc_cp,NA,Animal
textured,level change,1.22190549983866,1.1385176679246825,1.3133182174241804,1.22190549983866,1.0098175799851,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,Animal
textured,slope change,0.743678321729826,0.3288635848224438,1.4438337828276713,0.743678321729826,1.0116819923268,NA,Restaurant,VLZX7K2M9QD4T,NA,finalized_redone_trunc_cp,NA,Animal
untextured,level change,1.08048097625729,0.9460192252143756,1.2667422850423784,1.08048097625729,1.00216224740543,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal
untextured,level change,1.0519289099979101,0.9258536959990145,1.2164927822332003,1.0519289099979101,1.01026319763749,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal
untextured,slope change,0.566954914433952,0.1563149338583912,1.08596197816385,0.566954914433952,1.00166907238823,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal
untextured,slope change,0.996429459590721,0.4240762733296553,2.8928480462901587,0.996429459590721,1.00249200851401,NA,Restaurant,SRQS8F7JWA9MZ,NA,finalized_redone_trunc_cp,NA,Animal
