outcome,exposure_group,exposure_type,mean,q2.5,q16,q84,q97.5,mean_exp,mean_exp_p10,rhat,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,-0.009050986612975,-0.2843793775,-0.0930488872,0.081893888,0.198358105,0.9971232293576944,0.9997119498444146,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0930488872,0.081893888
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,-0.0558628476915,-1.569637275,-0.72481528,0.624468336,1.445090875,0.9291886434668019,0.9926825538344449,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.72481528,0.624468336
nonvegan,Exposure: Vegan,Form: Count,-0.029154966097725,-0.510124055,-0.2588047648,0.195866968,0.46968355,0.9818653972822119,0.9981715686210324,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.2588047648,0.195866968
nonvegan,Exposure: Vegan,Form: Proportion,-0.1843572129105,-1.6805657075,-0.950974632,0.53709048,1.2284422625,0.8718446714596998,0.986379213942019,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.950974632,0.53709048
nonvegan,Exposure: Vegetarian,Form: Count,-0.001934781659375,-0.082089685,-0.033562152,0.030700448,0.06722401375,0.9990302704918507,0.999902984706288,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.033562152,0.030700448
nonvegan,Exposure: Vegetarian,Form: Proportion,-0.21104519630075,-1.38873285,-0.7879374,0.38666244,1.061492525,0.7832600641612668,0.9758669242205293,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.7879374,0.38666244
meat,Exposure: Alt-Protein-Modifiable,Form: Count,-0.010872940965275,-0.1624127125,-0.0822772924,0.063827092,0.15050694925,0.9850751660607397,0.9984973970399705,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0822772924,0.063827092
meat,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.2997432748005,-1.0378894,-0.342136616,0.9673105112,1.612147725,1.3420784575599334,1.0298590518359654,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.342136616,0.9673105112
meat,Exposure: Vegan,Form: Count,0.01472358384325,-0.48802565,-0.232423904,0.24250536,0.458427949275,1.0349039805518145,1.0034367571537919,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.232423904,0.24250536
meat,Exposure: Vegan,Form: Proportion,-0.74664848080201,-2.390363525,-1.607610956,0.10087412,0.942998525,0.47159274228225034,0.927591395251976,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-1.607610956,0.10087412
meat,Exposure: Vegetarian,Form: Count,-0.0225208392532225,-0.0988895225,-0.0511193128,0.008202652,0.03907586825,0.9792014758749269,0.9979004212055662,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.0511193128,0.008202652
meat,Exposure: Vegetarian,Form: Proportion,-1.507623106156,-2.74461125,-2.11811308,-0.89405572,-0.138943664999999,0.2149097836169057,0.8574831974024255,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.11811308,-0.89405572
chicken_fish,Exposure: Alt-Protein-Modifiable,Form: Count,-0.0237736923271525,-0.1805002775,-0.090052736,0.0450703056,0.1335218975,0.9756903082914692,0.9975420207901345,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.090052736,0.0450703056
chicken_fish,Exposure: Alt-Protein-Modifiable,Form: Proportion,0.093210684975955,-1.765760375,-0.803504152,0.98504044,1.7860064,1.1281389182839259,1.0121299077815897,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.803504152,0.98504044
chicken_fish,Exposure: Vegan,Form: Count,-0.077391199197,-0.52145225,-0.274856276,0.13366764,0.355529525,0.9212070113126827,0.9918265358916827,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.274856276,0.13366764
chicken_fish,Exposure: Vegan,Form: Proportion,-1.08943689536925,-2.93512975,-2.05603744,-0.132549734,0.814137300000001,0.33917214436567755,0.8975156243721826,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.05603744,-0.132549734
chicken_fish,Exposure: Vegetarian,Form: Count,0.031630158216975,-0.114840175,-0.040049048,0.100103256,0.227438555,1.023624336068631,1.0023376881420551,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.040049048,0.100103256
chicken_fish,Exposure: Vegetarian,Form: Proportion,-1.65994242237625,-3.48563375,-2.63448336,-0.71943812,0.401985575,0.18403275884846096,0.8442858558195092,NA,Pooled,POOLED,NA,Animal,FALSE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-2.63448336,-0.71943812
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Count,0.0239863713614475,-0.2797333,-0.111029388,0.1590883196,0.27437985,1.034076750375152,1.003356520541609,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.111029388,0.1590883196
vegetarian,Exposure: Alt-Protein-Modifiable,Form: Proportion,-0.30221026850175,-2.102511425,-1.18432236,0.600576244,1.532996275,0.722071582692781,0.9679613695418251,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-1.18432236,0.600576244
vegetarian,Exposure: Vegan,Form: Count,-0.018403190594225,-0.4153486075,-0.20818541712,0.183810704,0.3966959325,0.9727080433933841,0.9972366949753371,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.20818541712,0.183810704
vegetarian,Exposure: Vegan,Form: Proportion,0.10231308820375,-1.349636325,-0.62296948,0.85470528,1.641050525,1.079024616288992,1.0076347471850262,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.62296948,0.85470528
vegetarian,Exposure: Vegetarian,Form: Count,0.018762333488675,-0.11037911,-0.022322488,0.062751736,0.116024125,1.024429784511377,1.0024165301135328,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.022322488,0.062751736
vegetarian,Exposure: Vegetarian,Form: Proportion,0.950270069751,-0.641832675,0.31434112,1.59981252,2.2888711225,2.6708706355774345,1.1032280243973027,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,0.31434112,1.59981252
vegan,Exposure: Alt-Protein-Modifiable,Form: Count,0.00872529863905,-0.170586042,-0.07114224,0.091408248,0.20123935475,1.0058101136155368,1.0005794978440352,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.07114224,0.091408248
vegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,-0.2144653621155,-1.6813636325,-0.9969334688,0.55876624,1.27993975,0.8096258917854718,0.9791031298177116,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.9969334688,0.55876624
vegan,Exposure: Vegan,Form: Count,-0.0730102258595,-0.45693201,-0.26365044,0.11045028,0.3314630475,0.9315252802661084,0.9929319023325036,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.26365044,0.11045028
vegan,Exposure: Vegan,Form: Proportion,0.64933501957625,-1.02611255,-0.19535724,1.47804188,2.33103405,1.9117193110340787,1.0669459340048058,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.19535724,1.47804188
vegan,Exposure: Vegetarian,Form: Count,0.004138511871555,-0.07641960125,-0.035553816,0.04256476,0.0888832275,1.0050283499312582,1.0005017008097739,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.035553816,0.04256476
vegan,Exposure: Vegetarian,Form: Proportion,0.3260289004425,-0.938277501,-0.30965672,0.95810592000000006,1.736534765,1.3594225309769277,1.0311822917227522,NA,Pooled,POOLED,NA,Plant-based,FALSE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.30965672,0.95810592000000006
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,-4.856309301175986,NA,-0.108167288,0.123126288,-1.4416634344319215,1.007716066590318,1.0007689404832705,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-1.4416634344319215
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,NA,NA,-0.013373348,0.009002748,-3.9039542703993284,0.9979875277432668,0.9997985702896888,NA,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-3.9039542703993284
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,-6.534771531223071,NA,-0.0191907944,0.0220007664,-3.203685225957234,1.0016326062528442,1.000163140806014,NA,Restaurant,JHDN7CF1C03X5,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-3.203685225957234
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,NA,NA,-0.1066140576,0.069598112,-1.8506792769412146,0.9783175190824581,0.9978103008965494,NA,Restaurant,L69HYJ4Y3TR91,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-1.8506792769412146
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,-4.958719907810501,NA,-0.039952,0.05375012,-2.3223111282234727,1.007742317935775,1.000771547489756,NA,Restaurant,SRQS8F7JWA9MZ,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-2.3223111282234727
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Count,-5.546864363577445,NA,-0.010529772,0.0182409336,-3.4466774189763023,1.0039159975597287,1.0003909113859497,NA,Restaurant,W8T41JZK0ZMEP,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-3.4466774189763023
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,NA,NA,-1.878963,1.5458296,1.2045085407935239,0.8428551605805414,0.9830492926256263,NA,Restaurant,2HRX9P6HKXA8V,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,1.2045085407935239
nonvegan,Exposure: Alt-Protein-Modifiable,Form: Proportion,NA,NA,-0.292049712,0.19162804,-0.8650989895178376,0.952168275340021,0.9951106420155563,NA,Restaurant,ED5J990H5VAZT,NA,Animal,NA,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,NA,-0.8650989895178376
