outcome,exposure_type,mean,q5,q95,rhat,source,color_group
Breakfast,Count,0.8326090369547797,0.5288790300121295,1.216004762419852,1.0056323713940438,finalized_redone2,Animal
Breakfast,Presence,0.9832017005470864,0.9280513209288703,1.0586026089845784,1.0005398361496856,finalized_redone2,Animal
Chicken,Count,1.3064409724803934,0.8387783004864123,1.6740475053334156,1.3594314638501295,finalized_redone,Animal
Chicken,Presence,1.022550907721578,0.938689979092297,1.1187523598859883,1.0167502513708846,finalized_redone,Animal
Dairy,Count,1.0668578201564554,0.9205045503271855,1.2132250566818161,1.006627815936204,finalized_redone,Animal
Dairy,Presence,1.0154990636749566,0.9332078004972948,1.1102435992161706,1.0015952401694972,finalized_redone,Animal
Egg,Count,1.024503582282712,0.5659401208085297,1.5723713596779356,1.0073824542429093,finalized_redone,Animal
Egg,Presence,1.005918940904494,0.9230724163250353,1.092992918263461,1.0067691932642744,finalized_redone,Animal
Untextured,Count,0.9657730652974075,0.4956507417423812,2.24344089255418,1.4548227944647536,finalized_redone2,Animal
Untextured,Presence,0.9965234179127904,0.9322181967621477,1.084155214960419,1.4548227944647536,finalized_redone2,Animal
Total (A1),Count,0.9451816219551971,0.7657059195447261,1.1624021117642949,1.0030038907063523,finalized_redone,Total
Total (A1),Presence,0.9274977788581686,0.8321022492323739,1.0326876730484165,1.0031043375165287,finalized_redone,Total
