outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,color_group
total,mpbamod,Count,0.9451816219551971,0.7336471778950001,1.2485527430755314,1.0030038907063523,Total
total,mpbamod,Proportion,0.9274977788581686,0.8139325327615096,1.061746695083981,1.0031043375165287,Total
total,vegan,Count,1.2238701706709478,0.8608120853506668,1.744264889265497,1.0025560683454244,Total
total,vegan,Proportion,1.0765454099112668,0.9553577536488663,1.1977053585561324,1.0033492907196366,Total
total,vegetarian,Count,1.0353422109873929,0.9423304662476841,1.1248881123258718,1.0015383510649216,Total
total,vegetarian,Proportion,1.0090138382168288,0.9084120852075556,1.1138701246346565,1.0044196380904333,Total
nonvegan,mpbamod,Count,0.937472677406377,0.6652767729424394,1.2683622800165555,1.0128380748906831,Animal
nonvegan,mpbamod,Proportion,0.924907503349471,0.8098624585445636,1.059458024791081,1.003939317329159,Animal
nonvegan,vegan,Count,1.205272591480005,0.8318623471383544,1.663699188641059,1.0205838213354008,Animal
nonvegan,vegan,Proportion,1.0555866141316264,0.9430394737204613,1.1763692931871894,1.002108533130963,Animal
nonvegan,vegetarian,Count,1.041766913469015,0.9348256758661466,1.1565199177737735,1.0055064666233333,Animal
nonvegan,vegetarian,Proportion,0.9841947044487483,0.8743650615275986,1.0877943184281238,1.0039768960785953,Animal
meat,mpbamod,Count,0.981652220596333,0.8695789282604038,1.0569936163860543,1.0027696783020754,Animal
meat,mpbamod,Proportion,0.9399949107570077,0.8409741976825503,1.053841442771774,1.0010525751005244,Animal
meat,vegan,Count,1.186706971539757,0.8693972704599058,1.679368365830897,1.0034199247267381,Animal
meat,vegan,Proportion,1.0200137661704716,0.9064159158605588,1.1499861801016071,1.007930620374153,Animal
meat,vegetarian,Count,1.0317646939475995,0.9585533865785446,1.1289545189619763,1.0109756932823417,Animal
meat,vegetarian,Proportion,0.9335274654900352,0.8266066763962262,1.0625847437931428,1.0034227667368416,Animal
chicken_fish,mpbamod,Count,1.0110410324182162,0.9259895865736498,1.1163203223834508,1.0016298845381857,Animal
chicken_fish,mpbamod,Proportion,0.9067105005931366,0.7989132997937729,1.0458839860568476,1.0012217715257823,Animal
chicken_fish,vegan,Count,1.1848112340692223,0.7946592480628201,1.7008130475577325,1.0062134131599665,Animal
chicken_fish,vegan,Proportion,1.0685910506462868,0.9438873642380305,1.1898205233088741,1.0007497525027378,Animal
chicken_fish,vegetarian,Count,1.0898140573749762,0.8566395662405738,1.3122187738733375,1.0241133003916247,Animal
chicken_fish,vegetarian,Proportion,0.9636068272327757,0.8265960958984836,1.1159915307537593,1.0005851288965681,Animal
vegetarian,mpbamod,Count,0.973279429031271,0.7265492917706174,1.2623766507273377,1.0079968216138122,Plant-based
vegetarian,mpbamod,Proportion,0.9571047641856049,0.8278058564304768,1.1006203688347214,1.0001681002588378,Plant-based
vegetarian,vegan,Count,1.2155068806468692,0.9460417052633049,1.5694426008249684,1.0007540051449666,Plant-based
vegetarian,vegan,Proportion,1.0672070699858431,0.9872373793880264,1.155951165522305,1.0014080846981681,Plant-based
vegetarian,vegetarian,Count,1.0583767209274706,0.9614566050741413,1.1470787004949856,1.0006540332150726,Plant-based
vegetarian,vegetarian,Proportion,1.0515913208215557,0.9277964272016964,1.1745486838967467,1.00076389876857,Plant-based
vegan,mpbamod,Count,1.0231622012473065,0.9160818796854593,1.1319105984184232,1.0033128958808983,Plant-based
vegan,mpbamod,Proportion,0.9667823570493196,0.8533107460496736,1.0945568246526063,1.00461379492353,Plant-based
vegan,vegan,Count,1.18754051925924,0.958953656580455,1.5089002511753342,1.0022608384141802,Plant-based
vegan,vegan,Proportion,1.1877821636035046,1.0504005945197938,1.3133659245749043,1.0004344556684406,Plant-based
vegan,vegetarian,Count,1.0311215119578465,0.9913803443471615,1.0761987752063382,1.002069433961768,Plant-based
vegan,vegetarian,Proportion,1.101025506067811,0.9987574388691659,1.2004086013960926,1.000502291554742,Plant-based
