outcome,effect_type,mean,q5,q95,rhat,source,color_group
breakfast,Level Change,0.7262023037509198,0.43858646632788134,1.2809337446598756,1.001734788852577,finalized_redone,Animal
breakfast,Slope Change,0.7713479240340418,0.3143430102392285,1.9818975611780927,1.002087086165992,finalized_redone,Animal
textured,Level Change,1.2720375162257411,0.5486217252527411,3.2107787212150267,1.060159567748309,finalized_redone,Animal
textured,Slope Change,0.7054271262454167,0.15762223917455148,3.008374801837048,1.0072316372172752,finalized_redone,Animal
untextured,Level Change,0.7231946541879174,0.3451571356471004,1.9616186024122695,1.426028129134894,finalized_redone2,Animal
untextured,Slope Change,0.796039774763187,0.1752819427608131,1.8765234759256972,1.2645074237959004,finalized_redone2,Animal
Total (A3),Level Change,0.9187272021535335,0.7095715087034055,1.2199298413482862,1.0105556326874618,finalized_redone,Total
Total (A3),Slope Change,1.1562429355724637,0.7039406361711898,1.9587753372060688,1.0105996776668091,finalized_redone,Total
