outcome,effect_type,mean,q5,q95,rhat,color_group
total,Level Change,0.9187272021535335,0.7095715087034055,1.2199298413482862,1.0105556326874618,Total
total,Slope Change,1.1562429355724637,0.7039406361711898,1.9587753372060688,1.0105996776668091,Total
nonvegan,Level Change,0.9216654173731932,0.689303232197681,1.246352330929735,1.0340943929081359,Animal
nonvegan,Slope Change,1.1224694849967434,0.7373912568343085,1.7548962704248086,1.0034112399455741,Animal
meat,Level Change,0.8737550109209813,0.7170362727877475,1.0446988791823748,1.0224424046869391,Animal
meat,Slope Change,1.0086314964434495,0.5896573638582586,1.7782718110253175,1.0076592451551614,Animal
chicken_fish,Level Change,0.886960929985619,0.5869654027430277,1.2363247904981391,1.0141907813973599,Animal
chicken_fish,Slope Change,1.0449739363193449,0.4161597200416863,2.7013697251894233,1.0056233690549492,Animal
vegetarian,Level Change,1.0017491502470843,0.7414623456612781,1.3984814928491205,1.0105415252153307,Plant-based
vegetarian,Slope Change,1.1097701656261925,0.7875173317130697,1.6570198204161277,1.0062888848981826,Plant-based
vegan,Level Change,1.0761887290140961,0.896427553119878,1.3356931892818318,1.0021956568984987,Plant-based
vegan,Slope Change,1.2302060154741175,0.6884655488820051,2.3884999908093407,1.0138797027167834,Plant-based
