outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
nonvegan,Level Change,0.8,NA,0.61,1.02,1.00048474754531,NA,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/SAFK7ND1HR6XS.png,Animal,22,20,0.15
nonvegan,Level Change,1.02,NA,0.91,1.13,1.00077177820756,NA,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/S8MT0YGD2KTN9.png,Animal,22,16,0.15
nonvegan,Level Change,0.47,NA,0.39,0.56,0.999871494967809,NA,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/1SQPTEGYPH0GA.png,Animal,22,22,0.15
nonvegan,Level Change,1.39,NA,1.04,1.83,1.00122828106841,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/9XKJD8DQTH559.png,Animal,22,4,0.15
nonvegan,Level Change,1.34,NA,0.98,1.84,1.00002611067755,NA,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/9XKJD8DQTH559.png,Animal,22,5,0.15
nonvegan,Level Change,1,NA,0.62,1.56,1.00020851426585,NA,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/LQ5EH4BKGV61T.png,Animal,22,17,0.15
nonvegan,Level Change,0.89,NA,0.81,0.96,1.00151596289341,NA,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/78AY09MVJVTYE.png,Animal,22,19,0.15
nonvegan,Slope Change,2.69,NA,1.37,5.75,1.00087237465095,NA,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/L69HYJ4Y3TR91.png,Animal,22,4,0.15
nonvegan,Slope Change,1.79,NA,1.4,2.27,1.00016790920275,NA,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/ED5J990H5VAZT.png,Animal,22,6,0.15
nonvegan,Slope Change,0.78,NA,0.08,6.48,1.00160591653037,NA,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a3_its/nonvegan/plots/W8T41JZK0ZMEP.png,Animal,22,16,0.15
