outcome,effect_type,mean,mean_exp,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,source,color_group
breakfast,Level Change,0.8661013488296254,0.8661013488296254,0.5300511726113163,1.3928774286397476,1.0004118007457974,2703.0039509176686,Pooled,POOLED,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.8959621210441768,0.8959621210441768,0.3393585706749439,2.098084897341999,1.0006544279997165,3934.897461442967,Pooled,POOLED,finalized_redone_trunc_cp,Animal
Total (A3),Level Change,1.0679081528144854,1.0679081528144854,0.9725404845487229,1.1903216324805947,1.0085524776850567,169.89028272599504,Pooled,POOLED,finalized_redone_trunc_cp,Total
Total (A3),Slope Change,1.8584062605211842,1.8584062605211842,1.1028435805753642,2.602227346436477,1.013251888284324,139.98959807415932,Pooled,POOLED,finalized_redone_trunc_cp,Total
breakfast,Level Change,0.84,NA,0.68,1.03,1.0001901468906615,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.57,NA,0.38,0.88,1.0001876846705449,NA,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc_cp,Animal
breakfast,Level Change,0.92,NA,0.7,1.26,1.0008783370784742,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,0.94,NA,0.22,2.9,0.9998840744140886,NA,Restaurant,L69HYJ4Y3TR91,finalized_redone_trunc_cp,Animal
breakfast,Level Change,0.78,NA,0.54,1.02,0.9998358238091165,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc_cp,Animal
breakfast,Slope Change,1.1,NA,0.6,1.86,1.0006474038157738,NA,Restaurant,ED5J990H5VAZT,finalized_redone_trunc_cp,Animal
textured,Level Change,1.22,NA,1.14,1.31,1.0098175799851028,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_trunc_cp,Animal
textured,Slope Change,0.74,NA,0.33,1.44,1.0116819923268017,NA,Restaurant,VLZX7K2M9QD4T,finalized_redone_trunc_cp,Animal
untextured,Level Change,1.08,NA,0.95,1.27,1.002162247405426,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,Animal
untextured,Level Change,1.05,NA,0.93,1.22,1.01026319763749,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,Animal
untextured,Slope Change,0.57,NA,0.16,1.09,1.001669072388232,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,Animal
untextured,Slope Change,1,NA,0.42,2.89,1.0024920085140097,NA,Restaurant,SRQS8F7JWA9MZ,finalized_redone_trunc_cp,Animal
