outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,color_group
meat,Level Change,-0.009058838039533333,-0.09233767250000001,0.10606312499999997,1.011654177890333,64.68302595869716,Pooled,POOLED,Animal
meat,Slope Change,0.0972432768623,-0.1994718,0.5123710249999985,1.0595030165116823,54.25633232223611,Pooled,POOLED,Animal
meat,Gender x Level,-0.187275726763,-2.6908452499999997,2.3302864999999993,1.0234133057337016,182.30156924546074,Pooled,POOLED,Animal
meat,Gender x Level,0.15886990786308333,-2.932227,3.318237999999999,1.030590771546522,185.20031550489534,Pooled,POOLED,Animal
meat,Gender x Level,0.07266897177333334,-2.7527697500000006,2.8971749999999994,1.0092591132172,323.45681158094624,Pooled,POOLED,Animal
meat,Gender x Level,-0.0910030087565,-3.54350125,3.4182357499999974,1.0246126859447917,166.768120400179,Pooled,POOLED,Animal
meat,Gender x Level,-0.08136655519533334,-3.5700510000000003,2.916349999999996,1.0385816603380735,105.69822138398251,Pooled,POOLED,Animal
chicken_fish,Level Change,0.14661017493333334,0.071568,0.211042,3.1011841291108113,3.3810004956688053,Pooled,POOLED,Animal
chicken_fish,Slope Change,0.04522924735,-0.08514521750000001,0.151337,3.707204395528532,3.255135801955217,Pooled,POOLED,Animal
chicken_fish,Gender x Level,-0.08261993851666667,-0.118258,-0.019379597499999998,2.6372813834132756,3.581734630578934,Pooled,POOLED,Animal
chicken_fish,Gender x Level,0.027843368999999996,-0.138355,0.165981,2.5362247925358052,3.6324567746229257,Pooled,POOLED,Animal
chicken_fish,Gender x Level,-0.042413893833333334,-0.08311210249999999,-0.01917756,2.5597174719109623,3.6013985873410945,Pooled,POOLED,Animal
chicken_fish,Gender x Level,-0.0072575073,-0.0898892025,0.041043225,2.9013069246810748,3.4433073575441355,Pooled,POOLED,Animal
chicken_fish,Gender x Level,-0.06311301248333333,-0.199229025,0.047136717499999994,3.0659387166432754,3.3842710546700565,Pooled,POOLED,Animal
vegetarian,Level Change,0.05119196407944333,-0.07398205749999999,0.20444164999999995,1.0348079373993941,90.55539805487189,Pooled,POOLED,Plant-based
vegetarian,Slope Change,-0.09585001684603334,-0.6165356500000001,0.14135924999999994,1.0798850939200968,56.070206662035815,Pooled,POOLED,Plant-based
vegetarian,Gender x Level,-0.08875156690483334,-3.31845175,2.662105499999998,1.0361067377848847,100.44971063252792,Pooled,POOLED,Plant-based
vegetarian,Gender x Level,-0.10594085290862333,-3.0219325,2.444121749999999,1.0063412183119487,251.53253309496515,Pooled,POOLED,Plant-based
vegetarian,Gender x Level,0.002742930256350004,-2.6494625000000003,2.8596097499999993,1.0161454040397124,179.02662259804924,Pooled,POOLED,Plant-based
vegetarian,Gender x Level,-0.11302461708166667,-3.1846792500000003,2.7266217499999974,1.0183828639000652,213.2116854372005,Pooled,POOLED,Plant-based
vegetarian,Gender x Level,-0.172346903899,-4.27847975,2.729501749999999,1.0235128182490199,78.94590861096943,Pooled,POOLED,Plant-based
vegan,Level Change,-0.002395469453511667,-0.17736822500000002,0.06206854499999996,1.3013330474200286,8.102432477957342,Pooled,POOLED,Plant-based
vegan,Slope Change,-0.012222448411933333,-0.0981982675,0.11964239999999993,1.1439496751508766,16.870275097413693,Pooled,POOLED,Plant-based
vegan,Gender x Level,0.3580766987244667,-1.98824225,3.2687209999999998,1.0396118006565767,77.44004224957928,Pooled,POOLED,Plant-based
vegan,Gender x Level,0.6365335882556666,-2.042408,5.043891249999999,1.2346287293233806,9.727648919706045,Pooled,POOLED,Plant-based
vegan,Gender x Level,-0.21151810925858333,-3.2333617500000003,2.9873999999999983,1.0319670138442583,88.899953986908,Pooled,POOLED,Plant-based
vegan,Gender x Level,0.24243346266333335,-2.3359304999999995,2.8947944999999993,1.0892780953514207,35.15261736384778,Pooled,POOLED,Plant-based
vegan,Gender x Level,0.19137426099333335,-2.29699125,2.7916192499999983,1.108416131482923,23.12501662703172,Pooled,POOLED,Plant-based
meat,Level Change,-0.01710001400698667,-0.09043891500000001,0.0638489325,1.0037931629449128,244.99940903433009,Restaurant,SRQS8F7JWA9MZ,Animal
meat,Level Change,-0.050827211813733335,-0.13210615,0.04554529499999998,1.0148725818551456,166.1080230182714,Restaurant,SRQS8F7JWA9MZ,Animal
meat,Slope Change,-0.28198901308356666,-0.95579355,0.12630352499999964,1.0145496677837458,147.36758612000375,Restaurant,SRQS8F7JWA9MZ,Animal
