outcome,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,source,pred_path,color_group,n_rest_in_group,rest_rank,step_size
Breakfast,Count,1.6691326146085306,1.6691326146085306,1.052565386836218,0.5094957591023627,4.51613482137848,1.03017608585881,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/all_restaurants_weekly.png,Animal,11,NA,0.5
Breakfast,Presence,3.2878240572337023,3.2878240572337023,1.1263953706150096,0.7552876567335228,11.869546472326274,1.03929795693809,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_presence/plots/all_restaurants_weekly.png,Animal,11,NA,0.5
Chicken,Count,1.0794031239792226,1.0794031239792226,1.0076700881126759,0.9223702046804041,1.2637411647091077,1.01474424609042,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_count/plots/all_restaurants_weekly.png,Animal,6,NA,0.5
Chicken,Presence,4.224983151520977,4.224983151520977,1.1550013667420997,0.9434827427630527,15.972240552893483,1.0023350263566,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/chicken_p/chicken_dishes_presence/plots/all_restaurants_weekly.png,Animal,6,NA,0.5
Dairy,Count,1.0861722468392365,1.0861722468392365,1.0083002391113831,0.98415014715321,1.2195011418502892,1.02207786911368,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_count/plots/all_restaurants_weekly.png,Animal,10,NA,0.5
Dairy,Presence,2.4723751429668948,2.4723751429668948,1.0947411345261333,1.127173954538762,6.112893628327698,1.0107209270943,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/dairy_p/dairy_dishes_presence/plots/all_restaurants_weekly.png,Animal,10,NA,0.5
Egg,Count,1.056719425520347,1.056719425520347,1.0055321689917787,0.9941121455048986,1.1497124872152553,1.03273005007463,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_count/plots/all_restaurants_weekly.png,Animal,5,NA,0.5
Egg,Presence,1.1386814874394342,1.1386814874394342,1.0130717989607978,0.8541420834234916,1.8009929469487425,1.02033701124177,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/egg_p/egg_dishes_presence/plots/all_restaurants_weekly.png,Animal,5,NA,0.5
Untextured,Count,1.2662230240600922,1.2662230240600922,1.0238846228335596,1.0471112555360031,2.0628182905271304,1.02174494963019,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_count/plots/all_restaurants_weekly.png,Animal,12,NA,0.5
Untextured,Presence,5.070495100277244,5.070495100277244,1.1762646263568772,1.8775184847240673,12.822984824283683,1.01196527918298,Pooled,POOLED,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/untextured_p/untextured_dishes_presence/plots/all_restaurants_weekly.png,Animal,12,NA,0.5
Total (A1),Count,1.0253160516628028,1.0253160516628028,1.0025032186479277,0.9750325486117088,1.080910445500543,1.65253236270234,Pooled,POOLED,finalized_redone_trunc,NA,Total,0,NA,0.5
Total (A1),Presence,0.7561090302087722,0.7561090302087722,0.9724302102197314,0.25905407507541495,2.39059182903462,1.0046709875783,Pooled,POOLED,finalized_redone_trunc,NA,Total,0,NA,0.5
Breakfast,Count,0.79,NA,0.9772252878291672,0.66,0.96,1.00200121534261,Restaurant,2HRX9P6HKXA8V,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/2HRX9P6HKXA8V.png,Animal,11,1,0.5
Breakfast,Count,0.81,NA,0.9790019427245934,0.75,0.87,1.00258867041997,Restaurant,78AY09MVJVTYE,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/78AY09MVJVTYE.png,Animal,11,2,0.5
Breakfast,Count,1.3,NA,1.0264361836834017,0.92,1.87,1.00476394816189,Restaurant,9XKJD8DQTH559,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/9XKJD8DQTH559.png,Animal,11,3,0.5
Breakfast,Count,1.04,NA,1.0042257539360326,0.8,1.39,1.00321651835784,Restaurant,CB2KHY1C2G9PT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/CB2KHY1C2G9PT.png,Animal,11,4,0.5
Breakfast,Count,0.98,NA,0.997773510330803,0.88,1.07,1.00922568171937,Restaurant,ED5J990H5VAZT,finalized_redone_trunc,../../model_fits/finalized_redone_trunc/t2_a2_proportion_t/breakfast_p/breakfast_dishes_count/plots/ED5J990H5VAZT.png,Animal,11,5,0.5
