outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
total,mpbamod,Count,1.0253160516628028,1.0253160516628028,1.0025032186479277,0.9750325486117088,1.080910445500543,1.65253236270234,Pooled,POOLED,NA,Total,18,NA,0.15
total,mpbamod,Proportion,0.9724302102197314,0.7561090302087722,0.9724302102197314,0.8736531413864101,1.0910647957584527,1.0046709875783,Pooled,POOLED,NA,Total,18,NA,0.15
total,vegan,Count,1.115410978889702,1.115410978889702,1.0109821587925532,1.0424117259156651,1.221553903888658,1.11647896969507,Pooled,POOLED,NA,Total,18,NA,0.15
total,vegan,Proportion,1.102871581428438,2.6622538302650973,1.102871581428438,1.0314043301256828,1.1808585406571954,1.00113049222929,Pooled,POOLED,NA,Total,18,NA,0.15
total,vegetarian,Count,1.0410361582443044,1.0410361582443044,1.004029750012814,1.0130414989353957,1.074019448531453,1.00171523307131,Pooled,POOLED,NA,Total,18,NA,0.15
total,vegetarian,Proportion,1.046362099774989,1.573330663985559,1.046362099774989,0.9875407140885611,1.1112431854514273,1.00104700510184,Pooled,POOLED,NA,Total,18,NA,0.15
nonvegan,mpbamod,Count,1.029809591489117,1.029809591489117,1.0029417106158705,0.9753154473422978,1.091061202724337,1.00056189053564,Pooled,POOLED,NA,Animal,18,NA,0.15
nonvegan,mpbamod,Proportion,0.9688265377557929,0.7285515112505948,0.9688265377557929,0.86663019107285,1.0850792808708538,1.00360910329107,Pooled,POOLED,NA,Animal,18,NA,0.15
nonvegan,vegan,Count,1.1215023386312193,1.1215023386312193,1.0115329131260695,1.0328457789705434,1.2219558841530687,1.00398620412241,Pooled,POOLED,NA,Animal,18,NA,0.15
nonvegan,vegan,Proportion,1.0902800610707863,2.373453339815529,1.0902800610707863,1.0155422388356734,1.1643954287034362,1.00273386236915,Pooled,POOLED,NA,Animal,18,NA,0.15
nonvegan,vegetarian,Count,1.0421957379512097,1.0421957379512097,1.004141529930669,1.0109041450241343,1.0765152080142377,1.00339872863888,Pooled,POOLED,NA,Animal,18,NA,0.15
nonvegan,vegetarian,Proportion,1.0309429047358996,1.3562699524970085,1.0309429047358996,0.9768844174929703,1.0824028360005602,1.03252746942009,Pooled,POOLED,NA,Animal,18,NA,0.15
meat,mpbamod,Count,1.0331453134696271,1.0331453134696271,1.0032661072991744,0.9913781065514479,1.0811132897828024,1.00023192038229,Pooled,POOLED,NA,Animal,18,NA,0.15
meat,mpbamod,Proportion,0.9935115745748513,0.9369778207046757,0.9935115745748513,0.8934396042403318,1.0810032229446105,1.62180190276185,Pooled,POOLED,NA,Animal,18,NA,0.15
meat,vegan,Count,1.1182086890736698,1.1182086890736698,1.011235450873161,1.0134850928828056,1.2302225294221658,1.03774088429,Pooled,POOLED,NA,Animal,18,NA,0.15
