outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,n_rest_in_group,rest_rank,step_size
vegan,Slope Change,-0.00506868838188,-0.0347482225,0.035124565,1.02677503231156,165.43099339286,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/vegan/plots/all_restaurants_weekly.png,Plant-based,25,NA,0.12
vegan,Gender x Level,-0.00928830170286,-0.03256876,0.01091119,1.01802562113738,233.27154257232,Pooled,POOLED,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/vegan/plots/all_restaurants_weekly.png,Plant-based,25,NA,0.12
total,Level Change,-0.00471808369436667,-0.0903581875,0.08177282,1.00218035002755,1180.15775035587,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ.png,Total,50,29,0.12
total,Level Change,-0.0101466567787333,-0.10234475,0.0758119125,0.999883735581309,1194.38964917549,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ.png,Total,50,30,0.12
total,Level Change,0.003837435072,-0.126828975,0.134342,1.00371948846889,1079.22437513646,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/2HRX9P6HKXA8V.png,Total,50,3,0.12
total,Level Change,0.0281438176006667,-0.10694415,0.194025125,1.00750881354724,696.831533100407,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/L69HYJ4Y3TR91.png,Total,50,19,0.12
total,Level Change,-0.0141121482322867,-0.072721345,0.04036187,1.00304657145815,1157.64648280928,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/ED5J990H5VAZT.png,Total,50,15,0.12
total,Level Change,0.0426283332355667,-0.0902491175,0.14101295,1.00280815711483,1038.40313387794,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,50,41,0.12
total,Level Change,0.0789806815213,-0.0165085375,0.20139865,1.00426235093265,747.31082969443,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,50,42,0.12
total,Level Change,0.0575627176135333,-0.05615574,0.163138225,1.00119204723357,982.58984520042,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,50,43,0.12
total,Level Change,0.0641990186992667,-0.0433906075,0.169719175,1.00074238055262,951.877990207472,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,50,44,0.12
total,Level Change,0.0474657501854,-0.0788525475,0.1497855,1.00279799164538,1013.56531969536,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,50,45,0.12
total,Level Change,0.0826519333235,-0.0489128975,0.325956025,1.02297088112387,212.905785050675,Restaurant,EMBVNVD207CC6,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/EMBVNVD207CC6.png,Total,50,17,0.12
total,Level Change,-0.0290035512629333,-0.1716656,0.110945,1.00621787305847,858.804961751135,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN.png,Total,50,11,0.12
total,Level Change,-0.0327307992635645,-0.18272585,0.1031612,1.0030804597719,893.366701426948,Restaurant,C0BE4NDSW26QN,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/C0BE4NDSW26QN.png,Total,50,12,0.12
total,Level Change,-1.86673750866667e-4,-0.11621795,0.1044678,1.00295404698135,944.779629751431,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,50,33,0.12
total,Level Change,0.00968950685726,-0.0886352975,0.126401425,1.00460645962484,1093.24592469341,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,50,34,0.12
total,Level Change,0.0130903476182,-0.0741998175,0.1229814,1.00233929931049,1318.95080156353,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,50,35,0.12
total,Level Change,-0.00184540068725,-0.119085225,0.0938737575,1.00275594767407,1007.77123266057,Restaurant,V3Q26BHF3SE2H,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/V3Q26BHF3SE2H.png,Total,50,36,0.12
total,Level Change,-0.0259660124815,-0.168801525,0.087717275,1.00422001912451,748.971838585232,Restaurant,LBZEEFSBJNB3Z,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/LBZEEFSBJNB3Z.png,Total,50,21,0.12
total,Level Change,0.0183114383343867,-0.103851375,0.145433525,1.00795442596682,866.206222303683,Restaurant,SAFK7ND1HR6XS,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SAFK7ND1HR6XS.png,Total,50,27,0.12
total,Level Change,-0.0747032508421333,-0.295371025,0.05074075,1.01762469833089,362.830235925418,Restaurant,S8MT0YGD2KTN9,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/S8MT0YGD2KTN9.png,Total,50,25,0.12
total,Level Change,0.0798577906494,-0.049098915,0.33212535,1.00982426451902,258.360432513962,Restaurant,1SQPTEGYPH0GA,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/1SQPTEGYPH0GA.png,Total,50,1,0.12
total,Level Change,0.0172500388612367,-0.1651863,0.187114175,1.00753353265445,782.55146451414,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/9XKJD8DQTH559.png,Total,50,7,0.12
total,Level Change,0.0583626223642,-0.089592840000000007,0.271713375,1.00655188172284,903.40280006716,Restaurant,9XKJD8DQTH559,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/9XKJD8DQTH559.png,Total,50,8,0.12
total,Level Change,-0.003608100481,-0.22570515,0.179730075,1.00630633942696,953.907278282924,Restaurant,LQ5EH4BKGV61T,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/LQ5EH4BKGV61T.png,Total,50,23,0.12
total,Level Change,0.0350810034357667,-0.0947736325,0.219107925,1.00764731996513,707.158561279236,Restaurant,78AY09MVJVTYE,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/78AY09MVJVTYE.png,Total,50,5,0.12
total,Slope Change,-0.0790553802760667,-0.28589935,0.0972743125000001,1.0016127849148,865.450375287063,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ.png,Total,25,15,0.12
total,Slope Change,-0.0567215092086667,-0.237596025,0.1492216,1.00144465553201,902.612705567927,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/SRQS8F7JWA9MZ.png,Total,25,16,0.12
total,Slope Change,-0.00537027990200067,-0.0849483325,0.0734019975,1.00188079876789,707.550416933693,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/2HRX9P6HKXA8V.png,Total,25,2,0.12
total,Slope Change,0.0107292193294333,-0.23377455,0.26012095,1.00240469384948,665.078222195282,Restaurant,L69HYJ4Y3TR91,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/L69HYJ4Y3TR91.png,Total,25,10,0.12
total,Slope Change,0.0193500684904333,-0.0626820275,0.11042125,1.00164478661467,663.102880217212,Restaurant,ED5J990H5VAZT,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/ED5J990H5VAZT.png,Total,25,8,0.12
total,Slope Change,-0.0055677520308,-0.249223,0.23062255,1.00050192501897,1164.44358408657,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,21,0.12
total,Slope Change,0.0434626099357633,-0.152332725,0.3702309,1.00269280559281,776.101702712714,Restaurant,W8T41JZK0ZMEP,../../model_fits/finalized_redone_trunc_cp/t2_a5_customer_day/total/plots/W8T41JZK0ZMEP.png,Total,25,22,0.12
