"date","datatype","station","attributes","value"
"2013-01-23T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",189
"2013-01-23T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",83
"2013-01-23T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",133
"2013-01-24T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-24T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",144
"2013-01-24T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",94
"2013-01-24T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",117
"2013-01-25T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-25T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",161
"2013-01-25T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",94
"2013-01-25T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",133
"2013-01-26T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-26T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",194
"2013-01-26T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",89
"2013-01-27T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-27T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",150
"2013-01-27T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-01-28T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-28T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",139
"2013-01-28T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",39
"2013-01-28T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",89
"2013-01-29T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-29T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",156
"2013-01-29T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-01-29T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",111
"2013-01-30T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-30T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",150
"2013-01-30T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-01-30T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",94
"2013-01-31T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-01-31T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",183
"2013-01-31T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-01-31T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",106
"2013-02-01T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-01T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",194
"2013-02-01T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",67
"2013-02-01T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",111
"2013-02-02T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-02T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",211
"2013-02-02T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",78
"2013-02-03T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-03T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",139
"2013-02-03T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",56
"2013-02-04T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-04T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",150
"2013-02-04T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-02-04T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",89
"2013-02-05T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-05T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",139
"2013-02-05T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",72
"2013-02-05T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",117
"2013-02-06T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-06T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",144
"2013-02-06T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-02-06T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",100
"2013-02-07T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",30
"2013-02-07T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",150
"2013-02-07T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",56
"2013-02-07T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",83
"2013-02-08T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",8
"2013-02-08T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",133
"2013-02-08T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",39
"2013-02-09T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-09T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",128
"2013-02-09T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",39
"2013-02-10T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-10T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",161
"2013-02-10T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",33
"2013-02-11T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-11T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",161
"2013-02-11T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",61
"2013-02-11T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",122
"2013-02-12T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-12T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",189
"2013-02-12T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-02-12T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",89
"2013-02-13T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-13T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",167
"2013-02-13T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",44
"2013-02-13T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",83
"2013-02-14T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-14T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",167
"2013-02-14T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",50
"2013-02-14T00:00:00","TOBS","GHCND:USC00040693",",,7,0800",100
"2013-02-15T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-15T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",217
"2013-02-15T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",94
"2013-02-16T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-16T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",228
"2013-02-16T00:00:00","TMIN","GHCND:USC00040693",",,7,0800",83
"2013-02-17T00:00:00","PRCP","GHCND:USC00040693",",,7,2400",0
"2013-02-17T00:00:00","TMAX","GHCND:USC00040693",",,7,0800",211
