"date","datatype","station","attributes","value"
"2013-01-01T00:00:00","ADPT","GHCND:USW00013743",",,W,",-22
"2013-01-01T00:00:00","ASLP","GHCND:USW00013743",",,W,",10152
"2013-01-01T00:00:00","ASTP","GHCND:USW00013743",",,W,",10129
"2013-01-01T00:00:00","AWBT","GHCND:USW00013743",",,W,",22
"2013-01-01T00:00:00","AWND","GHCND:USW00013743",",,X,",27
"2013-01-01T00:00:00","PRCP","GHCND:USW00013743",",,X,2400",0
"2013-01-01T00:00:00","RHAV","GHCND:USW00013743",",,W,",57
"2013-01-01T00:00:00","RHMN","GHCND:USW00013743",",,W,",47
"2013-01-01T00:00:00","RHMX","GHCND:USW00013743",",,W,",73
"2013-01-01T00:00:00","SNOW","GHCND:USW00013743",",,X,",0
"2013-01-01T00:00:00","SNWD","GHCND:USW00013743",",,X,",0
"2013-01-01T00:00:00","TMAX","GHCND:USW00013743",",,X,2400",72
"2013-01-01T00:00:00","TMIN","GHCND:USW00013743",",,X,2400",33
"2013-01-01T00:00:00","WDF2","GHCND:USW00013743",",,X,",350
"2013-01-01T00:00:00","WDF5","GHCND:USW00013743",",,X,",340
"2013-01-01T00:00:00","WSF2","GHCND:USW00013743",",,X,",67
"2013-01-01T00:00:00","WSF5","GHCND:USW00013743",",,X,",76
"2013-01-02T00:00:00","ADPT","GHCND:USW00013743",",,W,",-78
"2013-01-02T00:00:00","ASLP","GHCND:USW00013743",",,W,",10203
"2013-01-02T00:00:00","ASTP","GHCND:USW00013743",",,W,",10169
"2013-01-02T00:00:00","AWBT","GHCND:USW00013743",",,W,",-11
"2013-01-02T00:00:00","AWND","GHCND:USW00013743",",,X,",41
"2013-01-02T00:00:00","PRCP","GHCND:USW00013743",",,X,2400",0
"2013-01-02T00:00:00","RHAV","GHCND:USW00013743",",,W,",48
"2013-01-02T00:00:00","RHMN","GHCND:USW00013743",",,W,",38
"2013-01-02T00:00:00","RHMX","GHCND:USW00013743",",,W,",60
"2013-01-02T00:00:00","SNOW","GHCND:USW00013743",",,X,",0
"2013-01-02T00:00:00","SNWD","GHCND:USW00013743",",,X,",0
"2013-01-02T00:00:00","TMAX","GHCND:USW00013743",",,X,2400",44
"2013-01-02T00:00:00","TMIN","GHCND:USW00013743",",,X,2400",-11
"2013-01-02T00:00:00","WDF2","GHCND:USW00013743",",,X,",330
"2013-01-02T00:00:00","WDF5","GHCND:USW00013743",",,X,",350
"2013-01-02T00:00:00","WSF2","GHCND:USW00013743",",,X,",80
"2013-01-02T00:00:00","WSF5","GHCND:USW00013743",",,X,",98
"2013-01-03T00:00:00","ADPT","GHCND:USW00013743",",,W,",-83
"2013-01-03T00:00:00","ASLP","GHCND:USW00013743",",,W,",10234
"2013-01-03T00:00:00","ASTP","GHCND:USW00013743",",,W,",10207
"2013-01-03T00:00:00","AWBT","GHCND:USW00013743",",,W,",-22
"2013-01-03T00:00:00","AWND","GHCND:USW00013743",",,X,",27
"2013-01-03T00:00:00","PRCP","GHCND:USW00013743",",,X,2400",0
"2013-01-03T00:00:00","RHAV","GHCND:USW00013743",",,W,",52
"2013-01-03T00:00:00","RHMN","GHCND:USW00013743",",,W,",45
"2013-01-03T00:00:00","RHMX","GHCND:USW00013743",",,W,",69
"2013-01-03T00:00:00","SNOW","GHCND:USW00013743",",,X,",0
"2013-01-03T00:00:00","SNWD","GHCND:USW00013743",",,X,",0
"2013-01-03T00:00:00","TMAX","GHCND:USW00013743",",,X,2400",33
"2013-01-03T00:00:00","TMIN","GHCND:USW00013743",",,X,2400",-11
"2013-01-03T00:00:00","WDF2","GHCND:USW00013743",",,X,",170
"2013-01-03T00:00:00","WDF5","GHCND:USW00013743",",,X,",180
"2013-01-03T00:00:00","WSF2","GHCND:USW00013743",",,X,",58
"2013-01-03T00:00:00","WSF5","GHCND:USW00013743",",,X,",67
"2013-01-04T00:00:00","ADPT","GHCND:USW00013743",",,W,",-72
"2013-01-04T00:00:00","ASLP","GHCND:USW00013743",",,W,",10220
"2013-01-04T00:00:00","ASTP","GHCND:USW00013743",",,W,",10196
"2013-01-04T00:00:00","AWBT","GHCND:USW00013743",",,W,",-6
"2013-01-04T00:00:00","AWND","GHCND:USW00013743",",,X,",34
"2013-01-04T00:00:00","PRCP","GHCND:USW00013743",",,X,2400",0
"2013-01-04T00:00:00","RHAV","GHCND:USW00013743",",,W,",47
"2013-01-04T00:00:00","RHMN","GHCND:USW00013743",",,W,",34
"2013-01-04T00:00:00","RHMX","GHCND:USW00013743",",,W,",75
"2013-01-04T00:00:00","SNOW","GHCND:USW00013743",",,X,",0
"2013-01-04T00:00:00","SNWD","GHCND:USW00013743",",,X,",0
