"date","datatype","station","attributes","value"
"2013-01-01T00:00:00","ADPT","GHCND:USW00023174",",,W,",6
"2013-01-01T00:00:00","ASLP","GHCND:USW00023174",",,W,",10217
"2013-01-01T00:00:00","ASTP","GHCND:USW00023174",",,W,",10098
"2013-01-01T00:00:00","AWBT","GHCND:USW00023174",",,W,",72
"2013-01-01T00:00:00","AWND","GHCND:USW00023174",",,X,",17
"2013-01-01T00:00:00","PRCP","GHCND:USW00023174",",,X,2400",0
"2013-01-01T00:00:00","RHAV","GHCND:USW00023174",",,W,",50
"2013-01-01T00:00:00","RHMN","GHCND:USW00023174",",,W,",27
"2013-01-01T00:00:00","RHMX","GHCND:USW00023174",",,W,",71
"2013-01-01T00:00:00","TMAX","GHCND:USW00023174",",,X,2400",161
"2013-01-01T00:00:00","TMIN","GHCND:USW00023174",",,X,2400",67
"2013-01-01T00:00:00","WDF2","GHCND:USW00023174",",,X,",110
"2013-01-01T00:00:00","WDF5","GHCND:USW00023174",",,X,",100
"2013-01-01T00:00:00","WSF2","GHCND:USW00023174",",,X,",58
"2013-01-01T00:00:00","WSF5","GHCND:USW00023174",",,X,",72
"2013-01-01T00:00:00","WT08","GHCND:USW00023174",",,W,",1
"2013-01-02T00:00:00","ADPT","GHCND:USW00023174",",,W,",11
"2013-01-02T00:00:00","ASLP","GHCND:USW00023174",",,W,",10186
"2013-01-02T00:00:00","ASTP","GHCND:USW00023174",",,W,",10064
"2013-01-02T00:00:00","AWBT","GHCND:USW00023174",",,W,",72
"2013-01-02T00:00:00","AWND","GHCND:USW00023174",",,X,",18
"2013-01-02T00:00:00","PRCP","GHCND:USW00023174",",,X,2400",0
"2013-01-02T00:00:00","RHAV","GHCND:USW00023174",",,W,",49
"2013-01-02T00:00:00","RHMN","GHCND:USW00023174",",,W,",27
"2013-01-02T00:00:00","RHMX","GHCND:USW00023174",",,W,",64
"2013-01-02T00:00:00","TMAX","GHCND:USW00023174",",,X,2400",167
"2013-01-02T00:00:00","TMIN","GHCND:USW00023174",",,X,2400",67
"2013-01-02T00:00:00","WDF2","GHCND:USW00023174",",,X,",250
"2013-01-02T00:00:00","WDF5","GHCND:USW00023174",",,X,",280
"2013-01-02T00:00:00","WSF2","GHCND:USW00023174",",,X,",58
"2013-01-02T00:00:00","WSF5","GHCND:USW00023174",",,X,",72
"2013-01-03T00:00:00","ADPT","GHCND:USW00023174",",,W,",-17
"2013-01-03T00:00:00","ASLP","GHCND:USW00023174",",,W,",10196
"2013-01-03T00:00:00","ASTP","GHCND:USW00023174",",,W,",10078
"2013-01-03T00:00:00","AWBT","GHCND:USW00023174",",,W,",67
"2013-01-03T00:00:00","AWND","GHCND:USW00023174",",,X,",19
"2013-01-03T00:00:00","PRCP","GHCND:USW00023174",",,X,2400",0
"2013-01-03T00:00:00","RHAV","GHCND:USW00023174",",,W,",38
"2013-01-03T00:00:00","RHMN","GHCND:USW00023174",",,W,",13
"2013-01-03T00:00:00","RHMX","GHCND:USW00023174",",,W,",61
"2013-01-03T00:00:00","TMAX","GHCND:USW00023174",",,X,2400",211
"2013-01-03T00:00:00","TMIN","GHCND:USW00023174",",,X,2400",61
"2013-01-03T00:00:00","WDF2","GHCND:USW00023174",",,X,",260
"2013-01-03T00:00:00","WDF5","GHCND:USW00023174",",,X,",320
"2013-01-03T00:00:00","WSF2","GHCND:USW00023174",",,X,",63
"2013-01-03T00:00:00","WSF5","GHCND:USW00023174",",,X,",72
"2013-01-04T00:00:00","ADPT","GHCND:USW00023174",",,W,",-28
"2013-01-04T00:00:00","ASLP","GHCND:USW00023174",",,W,",10230
"2013-01-04T00:00:00","ASTP","GHCND:USW00023174",",,W,",10112
"2013-01-04T00:00:00","AWBT","GHCND:USW00023174",",,W,",67
"2013-01-04T00:00:00","AWND","GHCND:USW00023174",",,X,",21
"2013-01-04T00:00:00","PRCP","GHCND:USW00023174",",,X,2400",0
"2013-01-04T00:00:00","RHAV","GHCND:USW00023174",",,W,",38
"2013-01-04T00:00:00","RHMN","GHCND:USW00023174",",,W,",14
"2013-01-04T00:00:00","RHMX","GHCND:USW00023174",",,W,",77
"2013-01-04T00:00:00","TMAX","GHCND:USW00023174",",,X,2400",189
"2013-01-04T00:00:00","TMIN","GHCND:USW00023174",",,X,2400",78
"2013-01-04T00:00:00","WDF2","GHCND:USW00023174",",,X,",30
"2013-01-04T00:00:00","WDF5","GHCND:USW00023174",",,X,",30
"2013-01-04T00:00:00","WSF2","GHCND:USW00023174",",,X,",54
"2013-01-04T00:00:00","WSF5","GHCND:USW00023174",",,X,",98
"2013-01-05T00:00:00","ADPT","GHCND:USW00023174",",,W,",17
