Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2022-01-01,2022,01,01,NA,5.1,NA,-2.1,NA,1.5,NA,16.5,NA,0,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-02,2022,01,02,NA,-2.1,NA,-10.5,NA,-6.3,NA,24.3,NA,0,NA,NA,NA,NA,NA,2,NA,3,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-03,2022,01,03,NA,-4,NA,-12.9,NA,-8.4,NA,26.4,NA,0,NA,NA,NA,NA,NA,0,NA,3,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-04,2022,01,04,NA,3.3,NA,-5.7,NA,-1.2,NA,19.2,NA,0,NA,NA,NA,NA,NA,0,NA,3,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-05,2022,01,05,NA,4.9,NA,-4.5,NA,0.2,NA,17.8,NA,0,NA,NA,NA,NA,NA,0.3,NA,3,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-06,2022,01,06,NA,-1.5,NA,-6.3,NA,-3.9,NA,21.9,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-07,2022,01,07,NA,-4.5,NA,-11.6,NA,-8.1,NA,26.1,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-08,2022,01,08,NA,1.9,NA,-12.6,NA,-5.4,NA,23.4,NA,0,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-09,2022,01,09,NA,4.3,NA,-6.6,NA,-1.1,NA,19.1,NA,0,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-10,2022,01,10,NA,-6.2,NA,-17.4,NA,-11.8,NA,29.8,NA,0,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-11,2022,01,11,NA,-1.7,NA,-20,NA,-10.8,NA,28.8,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-12,2022,01,12,NA,2.4,NA,-1.7,NA,0.3,NA,17.7,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-13,2022,01,13,NA,2,NA,-0.8,NA,0.6,NA,17.4,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-14,2022,01,14,NA,-0.3,NA,-18.1,NA,-9.2,NA,27.2,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-15,2022,01,15,NA,-12.6,NA,-20.4,NA,-16.5,NA,34.5,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-16,2022,01,16,NA,0.3,NA,-13.4,NA,-6.6,NA,24.6,NA,0,NA,NA,NA,NA,NA,3.1,NA,0,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-17,2022,01,17,NA,-2.3,NA,-5,NA,-3.6,NA,21.6,NA,0,NA,NA,NA,NA,NA,36.2,NA,25,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-18,2022,01,18,NA,0.2,NA,-10.1,NA,-5,NA,23,NA,0,NA,NA,NA,NA,NA,0.8,NA,32,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-19,2022,01,19,NA,4.6,NA,-7.3,NA,-1.4,NA,19.4,NA,0,NA,NA,NA,NA,NA,0,NA,30,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-20,2022,01,20,NA,-7.3,NA,-16.4,NA,-11.9,NA,29.9,NA,0,NA,NA,NA,NA,NA,0,NA,24,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-21,2022,01,21,NA,-8.9,NA,-17.7,NA,-13.3,NA,31.3,NA,0,NA,NA,NA,NA,NA,0.1,NA,23,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-22,2022,01,22,NA,-3.8,NA,-12.4,NA,-8.1,NA,26.1,NA,0,NA,NA,NA,NA,NA,0,NA,22,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-23,2022,01,23,NA,-4.1,NA,-14.5,NA,-9.3,NA,27.3,NA,0,NA,NA,NA,NA,NA,0.1,NA,20,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-24,2022,01,24,NA,-3.8,NA,-14.7,NA,-9.2,NA,27.2,NA,0,NA,NA,NA,NA,NA,4.7,NA,20,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-25,2022,01,25,NA,-5.4,NA,-12.3,NA,-8.9,NA,26.9,NA,0,NA,NA,NA,NA,NA,0,NA,24,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-26,2022,01,26,NA,-8.6,NA,-14,NA,-11.3,NA,29.3,NA,0,NA,NA,NA,NA,NA,0.1,NA,24,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-27,2022,01,27,NA,-3.1,NA,-9,NA,-6,NA,24,NA,0,NA,NA,NA,NA,NA,0,NA,20,NA,NA,M,NA,M
-79.4,43.67,TORONTO CITY,6158355,2022-01-28,2022,01,28,NA,-3.2,NA,-16.2,NA,-9.7,NA,27.7,NA,0,NA,NA,NA,NA,NA,0,NA,21,NA,NA,M,NA,M
