"date","datatype","station","attributes","value"
"2013-01-05T00:00:00","WDF2","GHCND:USW00012839",",,X,",90
"2013-01-05T00:00:00","WDF5","GHCND:USW00012839",",,X,",100
"2013-01-05T00:00:00","WSF2","GHCND:USW00012839",",,X,",63
"2013-01-05T00:00:00","WSF5","GHCND:USW00012839",",,X,",80
"2013-01-05T00:00:00","WT13","GHCND:USW00012839",",,X,",1
"2013-01-06T00:00:00","ADPT","GHCND:USW00012839",",,W,",206
"2013-01-06T00:00:00","ASLP","GHCND:USW00012839",",,W,",10203
"2013-01-06T00:00:00","ASTP","GHCND:USW00012839",",,W,",10193
"2013-01-06T00:00:00","AWBT","GHCND:USW00012839",",,W,",217
"2013-01-06T00:00:00","AWND","GHCND:USW00012839",",,X,",33
"2013-01-06T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",13
"2013-01-06T00:00:00","RHAV","GHCND:USW00012839",",,W,",81
"2013-01-06T00:00:00","RHMN","GHCND:USW00012839",",,W,",69
"2013-01-06T00:00:00","RHMX","GHCND:USW00012839",",,W,",90
"2013-01-06T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-06T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",217
"2013-01-06T00:00:00","WDF2","GHCND:USW00012839",",,X,",130
"2013-01-06T00:00:00","WDF5","GHCND:USW00012839",",,X,",170
"2013-01-06T00:00:00","WSF2","GHCND:USW00012839",",,X,",76
"2013-01-06T00:00:00","WSF5","GHCND:USW00012839",",,X,",107
"2013-01-06T00:00:00","WT01","GHCND:USW00012839",",,W,",1
"2013-01-06T00:00:00","WT13","GHCND:USW00012839",",,X,",1
"2013-01-06T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-07T00:00:00","ADPT","GHCND:USW00012839",",,W,",194
"2013-01-07T00:00:00","ASLP","GHCND:USW00012839",",,W,",10200
"2013-01-07T00:00:00","ASTP","GHCND:USW00012839",",,W,",10186
"2013-01-07T00:00:00","AWBT","GHCND:USW00012839",",,W,",211
"2013-01-07T00:00:00","AWND","GHCND:USW00012839",",,X,",21
"2013-01-07T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-07T00:00:00","RHAV","GHCND:USW00012839",",,W,",80
"2013-01-07T00:00:00","RHMN","GHCND:USW00012839",",,W,",64
"2013-01-07T00:00:00","RHMX","GHCND:USW00012839",",,W,",93
"2013-01-07T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",272
"2013-01-07T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",200
"2013-01-07T00:00:00","WDF2","GHCND:USW00012839",",,X,",80
"2013-01-07T00:00:00","WDF5","GHCND:USW00012839",",,X,",340
"2013-01-07T00:00:00","WSF2","GHCND:USW00012839",",,X,",54
"2013-01-07T00:00:00","WSF5","GHCND:USW00012839",",,X,",103
"2013-01-08T00:00:00","ADPT","GHCND:USW00012839",",,W,",211
"2013-01-08T00:00:00","ASLP","GHCND:USW00012839",",,W,",10207
"2013-01-08T00:00:00","ASTP","GHCND:USW00012839",",,W,",10193
"2013-01-08T00:00:00","AWBT","GHCND:USW00012839",",,W,",222
"2013-01-08T00:00:00","AWND","GHCND:USW00012839",",,X,",42
"2013-01-08T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",36
"2013-01-08T00:00:00","RHAV","GHCND:USW00012839",",,W,",81
"2013-01-08T00:00:00","RHMN","GHCND:USW00012839",",,W,",69
"2013-01-08T00:00:00","RHMX","GHCND:USW00012839",",,W,",90
"2013-01-08T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-08T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",217
"2013-01-08T00:00:00","WDF2","GHCND:USW00012839",",,X,",110
"2013-01-08T00:00:00","WDF5","GHCND:USW00012839",",,X,",110
"2013-01-08T00:00:00","WSF2","GHCND:USW00012839",",,X,",89
"2013-01-08T00:00:00","WSF5","GHCND:USW00012839",",,X,",103
"2013-01-08T00:00:00","WT01","GHCND:USW00012839",",,W,",1
"2013-01-08T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-09T00:00:00","ADPT","GHCND:USW00012839",",,W,",211
"2013-01-09T00:00:00","ASLP","GHCND:USW00012839",",,W,",10234
"2013-01-09T00:00:00","ASTP","GHCND:USW00012839",",,W,",10217
"2013-01-09T00:00:00","AWBT","GHCND:USW00012839",",,W,",222
"2013-01-09T00:00:00","AWND","GHCND:USW00012839",",,X,",67
"2013-01-09T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-09T00:00:00","RHAV","GHCND:USW00012839",",,W,",76
"2013-01-09T00:00:00","RHMN","GHCND:USW00012839",",,W,",65
"2013-01-09T00:00:00","RHMX","GHCND:USW00012839",",,W,",82
"2013-01-09T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",283
"2013-01-09T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",239
"2013-01-09T00:00:00","WDF2","GHCND:USW00012839",",,X,",100
"2013-01-09T00:00:00","WDF5","GHCND:USW00012839",",,X,",120
"2013-01-09T00:00:00","WSF2","GHCND:USW00012839",",,X,",107
"2013-01-09T00:00:00","WSF5","GHCND:USW00012839",",,X,",143
"2013-01-10T00:00:00","ADPT","GHCND:USW00012839",",,W,",189
"2013-01-10T00:00:00","ASLP","GHCND:USW00012839",",,W,",10244
"2013-01-10T00:00:00","ASTP","GHCND:USW00012839",",,W,",10234
"2013-01-10T00:00:00","AWBT","GHCND:USW00012839",",,W,",211
"2013-01-10T00:00:00","AWND","GHCND:USW00012839",",,X,",63
"2013-01-10T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-10T00:00:00","RHAV","GHCND:USW00012839",",,W,",69
"2013-01-10T00:00:00","RHMN","GHCND:USW00012839",",,W,",54
"2013-01-10T00:00:00","RHMX","GHCND:USW00012839",",,W,",79
"2013-01-10T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-10T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",228
"2013-01-10T00:00:00","WDF2","GHCND:USW00012839",",,X,",90
"2013-01-10T00:00:00","WDF5","GHCND:USW00012839",",,X,",110
"2013-01-10T00:00:00","WSF2","GHCND:USW00012839",",,X,",103
"2013-01-10T00:00:00","WSF5","GHCND:USW00012839",",,X,",156
"2013-01-11T00:00:00","ADPT","GHCND:USW00012839",",,W,",189
"2013-01-11T00:00:00","ASLP","GHCND:USW00012839",",,W,",10224
"2013-01-11T00:00:00","ASTP","GHCND:USW00012839",",,W,",10217
"2013-01-11T00:00:00","AWBT","GHCND:USW00012839",",,W,",211
"2013-01-11T00:00:00","AWND","GHCND:USW00012839",",,X,",57
"2013-01-11T00:00:00","PRCP","GHCND:USW00012839","T,,X,2400",0
"2013-01-11T00:00:00","RHAV","GHCND:USW00012839",",,W,",71
"2013-01-11T00:00:00","RHMN","GHCND:USW00012839",",,W,",58
"2013-01-11T00:00:00","RHMX","GHCND:USW00012839",",,W,",79
"2013-01-11T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-11T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",228
"2013-01-11T00:00:00","WDF2","GHCND:USW00012839",",,X,",90
"2013-01-11T00:00:00","WDF5","GHCND:USW00012839",",,X,",90
"2013-01-11T00:00:00","WSF2","GHCND:USW00012839",",,X,",89
"2013-01-11T00:00:00","WSF5","GHCND:USW00012839",",,X,",107
"2013-01-11T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-12T00:00:00","ADPT","GHCND:USW00012839",",,W,",189
"2013-01-12T00:00:00","ASLP","GHCND:USW00012839",",,W,",10207
"2013-01-12T00:00:00","ASTP","GHCND:USW00012839",",,W,",10196
"2013-01-12T00:00:00","AWBT","GHCND:USW00012839",",,W,",206
"2013-01-12T00:00:00","AWND","GHCND:USW00012839",",,X,",47
"2013-01-12T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-12T00:00:00","RHAV","GHCND:USW00012839",",,W,",71
"2013-01-12T00:00:00","RHMN","GHCND:USW00012839",",,W,",58
"2013-01-12T00:00:00","RHMX","GHCND:USW00012839",",,W,",84
"2013-01-12T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-12T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",222
"2013-01-12T00:00:00","WDF2","GHCND:USW00012839",",,X,",100
"2013-01-12T00:00:00","WDF5","GHCND:USW00012839",",,X,",100
"2013-01-12T00:00:00","WSF2","GHCND:USW00012839",",,X,",80
"2013-01-12T00:00:00","WSF5","GHCND:USW00012839",",,X,",103
"2013-01-13T00:00:00","ADPT","GHCND:USW00012839",",,W,",172
"2013-01-13T00:00:00","ASLP","GHCND:USW00012839",",,W,",10196
"2013-01-13T00:00:00","ASTP","GHCND:USW00012839",",,W,",10186
"2013-01-13T00:00:00","AWBT","GHCND:USW00012839",",,W,",200
"2013-01-13T00:00:00","AWND","GHCND:USW00012839",",,X,",51
"2013-01-13T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-13T00:00:00","RHAV","GHCND:USW00012839",",,W,",66
"2013-01-13T00:00:00","RHMN","GHCND:USW00012839",",,W,",52
"2013-01-13T00:00:00","RHMX","GHCND:USW00012839",",,W,",79
"2013-01-13T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",272
"2013-01-13T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",222
"2013-01-13T00:00:00","WDF2","GHCND:USW00012839",",,X,",120
"2013-01-13T00:00:00","WDF5","GHCND:USW00012839",",,X,",110
"2013-01-13T00:00:00","WSF2","GHCND:USW00012839",",,X,",94
"2013-01-13T00:00:00","WSF5","GHCND:USW00012839",",,X,",112
"2013-01-14T00:00:00","ADPT","GHCND:USW00012839",",,W,",167
"2013-01-14T00:00:00","ASLP","GHCND:USW00012839",",,W,",10210
"2013-01-14T00:00:00","ASTP","GHCND:USW00012839",",,W,",10196
"2013-01-14T00:00:00","AWBT","GHCND:USW00012839",",,W,",194
"2013-01-14T00:00:00","AWND","GHCND:USW00012839",",,X,",41
"2013-01-14T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-14T00:00:00","RHAV","GHCND:USW00012839",",,W,",66
"2013-01-14T00:00:00","RHMN","GHCND:USW00012839",",,W,",54
"2013-01-14T00:00:00","RHMX","GHCND:USW00012839",",,W,",79
"2013-01-14T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",267
"2013-01-14T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",211
"2013-01-14T00:00:00","WDF2","GHCND:USW00012839",",,X,",80
"2013-01-14T00:00:00","WDF5","GHCND:USW00012839",",,X,",100
"2013-01-14T00:00:00","WSF2","GHCND:USW00012839",",,X,",80
"2013-01-14T00:00:00","WSF5","GHCND:USW00012839",",,X,",103
"2013-01-15T00:00:00","ADPT","GHCND:USW00012839",",,W,",178
"2013-01-15T00:00:00","ASLP","GHCND:USW00012839",",,W,",10193
"2013-01-15T00:00:00","ASTP","GHCND:USW00012839",",,W,",10186
"2013-01-15T00:00:00","AWBT","GHCND:USW00012839",",,W,",200
"2013-01-15T00:00:00","AWND","GHCND:USW00012839",",,X,",34
"2013-01-15T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-15T00:00:00","PSUN","GHCND:USW00012839",",,X,",62
"2013-01-15T00:00:00","RHAV","GHCND:USW00012839",",,W,",71
"2013-01-15T00:00:00","RHMN","GHCND:USW00012839",",,W,",58
"2013-01-15T00:00:00","RHMX","GHCND:USW00012839",",,W,",87
"2013-01-15T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",272
"2013-01-15T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",189
"2013-01-15T00:00:00","TSUN","GHCND:USW00012839",",,X,",399
"2013-01-15T00:00:00","WDF2","GHCND:USW00012839",",,X,",110
"2013-01-15T00:00:00","WDF5","GHCND:USW00012839",",,X,",130
"2013-01-15T00:00:00","WSF2","GHCND:USW00012839",",,X,",76
"2013-01-15T00:00:00","WSF5","GHCND:USW00012839",",,X,",107
"2013-01-16T00:00:00","ADPT","GHCND:USW00012839",",,W,",189
"2013-01-16T00:00:00","ASLP","GHCND:USW00012839",",,W,",10183
"2013-01-16T00:00:00","ASTP","GHCND:USW00012839",",,W,",10169
"2013-01-16T00:00:00","AWBT","GHCND:USW00012839",",,W,",200
"2013-01-16T00:00:00","AWND","GHCND:USW00012839",",,X,",23
"2013-01-16T00:00:00","PRCP","GHCND:USW00012839","T,,X,2400",0
"2013-01-16T00:00:00","PSUN","GHCND:USW00012839",",,X,",40
"2013-01-16T00:00:00","RHAV","GHCND:USW00012839",",,W,",79
"2013-01-16T00:00:00","RHMN","GHCND:USW00012839",",,W,",62
"2013-01-16T00:00:00","RHMX","GHCND:USW00012839",",,W,",93
"2013-01-16T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",272
"2013-01-16T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",183
"2013-01-16T00:00:00","TSUN","GHCND:USW00012839",",,X,",258
"2013-01-16T00:00:00","WDF2","GHCND:USW00012839",",,X,",120
"2013-01-16T00:00:00","WDF5","GHCND:USW00012839",",,X,",90
"2013-01-16T00:00:00","WSF2","GHCND:USW00012839",",,X,",72
"2013-01-16T00:00:00","WSF5","GHCND:USW00012839",",,X,",98
"2013-01-16T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-17T00:00:00","ADPT","GHCND:USW00012839",",,W,",183
"2013-01-17T00:00:00","ASLP","GHCND:USW00012839",",,W,",10179
"2013-01-17T00:00:00","ASTP","GHCND:USW00012839",",,W,",10163
"2013-01-17T00:00:00","AWBT","GHCND:USW00012839",",,W,",200
"2013-01-17T00:00:00","AWND","GHCND:USW00012839",",,X,",29
"2013-01-17T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",33
"2013-01-17T00:00:00","RHAV","GHCND:USW00012839",",,W,",82
"2013-01-17T00:00:00","RHMN","GHCND:USW00012839",",,W,",62
"2013-01-17T00:00:00","RHMX","GHCND:USW00012839",",,W,",94
"2013-01-17T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",261
"2013-01-17T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",167
"2013-01-17T00:00:00","WDF2","GHCND:USW00012839",",,X,",310
"2013-01-17T00:00:00","WDF5","GHCND:USW00012839",",,X,",200
"2013-01-17T00:00:00","WSF2","GHCND:USW00012839",",,X,",72
"2013-01-17T00:00:00","WSF5","GHCND:USW00012839",",,X,",125
"2013-01-17T00:00:00","WT01","GHCND:USW00012839",",,W,",1
"2013-01-17T00:00:00","WT13","GHCND:USW00012839",",,X,",1
"2013-01-17T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-18T00:00:00","ADPT","GHCND:USW00012839",",,W,",106
"2013-01-18T00:00:00","ASLP","GHCND:USW00012839",",,W,",10224
"2013-01-18T00:00:00","ASTP","GHCND:USW00012839",",,W,",10207
"2013-01-18T00:00:00","AWBT","GHCND:USW00012839",",,W,",133
"2013-01-18T00:00:00","AWND","GHCND:USW00012839",",,X,",25
"2013-01-18T00:00:00","PRCP","GHCND:USW00012839","T,,X,2400",0
"2013-01-18T00:00:00","PSUN","GHCND:USW00012839",",,X,",48
"2013-01-18T00:00:00","RHAV","GHCND:USW00012839",",,W,",71
"2013-01-18T00:00:00","RHMN","GHCND:USW00012839",",,W,",60
"2013-01-18T00:00:00","RHMX","GHCND:USW00012839",",,W,",87
"2013-01-18T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",189
"2013-01-18T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",133
"2013-01-18T00:00:00","TSUN","GHCND:USW00012839",",,X,",312
"2013-01-18T00:00:00","WDF2","GHCND:USW00012839",",,X,",330
"2013-01-18T00:00:00","WDF5","GHCND:USW00012839",",,X,",320
"2013-01-18T00:00:00","WSF2","GHCND:USW00012839",",,X,",67
"2013-01-18T00:00:00","WSF5","GHCND:USW00012839",",,X,",98
"2013-01-18T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-19T00:00:00","ADPT","GHCND:USW00012839",",,W,",172
"2013-01-19T00:00:00","ASLP","GHCND:USW00012839",",,W,",10210
"2013-01-19T00:00:00","ASTP","GHCND:USW00012839",",,W,",10200
"2013-01-19T00:00:00","AWBT","GHCND:USW00012839",",,W,",183
"2013-01-19T00:00:00","AWND","GHCND:USW00012839",",,X,",15
"2013-01-19T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",53
"2013-01-19T00:00:00","PSUN","GHCND:USW00012839",",,X,",52
"2013-01-19T00:00:00","RHAV","GHCND:USW00012839",",,W,",84
"2013-01-19T00:00:00","RHMN","GHCND:USW00012839",",,W,",69
"2013-01-19T00:00:00","RHMX","GHCND:USW00012839",",,W,",100
"2013-01-19T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",244
"2013-01-19T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",161
"2013-01-19T00:00:00","TSUN","GHCND:USW00012839",",,X,",338
"2013-01-19T00:00:00","WDF2","GHCND:USW00012839",",,X,",280
"2013-01-19T00:00:00","WDF5","GHCND:USW00012839",",,X,",80
"2013-01-19T00:00:00","WSF2","GHCND:USW00012839",",,X,",45
"2013-01-19T00:00:00","WSF5","GHCND:USW00012839",",,X,",94
"2013-01-19T00:00:00","WT01","GHCND:USW00012839",",,W,",1
"2013-01-19T00:00:00","WT13","GHCND:USW00012839",",,X,",1
"2013-01-19T00:00:00","WT16","GHCND:USW00012839",",,X,",1
"2013-01-20T00:00:00","ADPT","GHCND:USW00012839",",,W,",178
"2013-01-20T00:00:00","ASLP","GHCND:USW00012839",",,W,",10186
"2013-01-20T00:00:00","ASTP","GHCND:USW00012839",",,W,",10173
"2013-01-20T00:00:00","AWBT","GHCND:USW00012839",",,W,",194
"2013-01-20T00:00:00","AWND","GHCND:USW00012839",",,X,",10
"2013-01-20T00:00:00","PRCP","GHCND:USW00012839",",,X,2400",0
"2013-01-20T00:00:00","PSUN","GHCND:USW00012839",",,X,",82
"2013-01-20T00:00:00","RHAV","GHCND:USW00012839",",,W,",77
"2013-01-20T00:00:00","RHMN","GHCND:USW00012839",",,W,",53
"2013-01-20T00:00:00","RHMX","GHCND:USW00012839",",,W,",100
"2013-01-20T00:00:00","TMAX","GHCND:USW00012839",",,X,2400",278
"2013-01-20T00:00:00","TMIN","GHCND:USW00012839",",,X,2400",183
"2013-01-20T00:00:00","TSUN","GHCND:USW00012839",",,X,",532
"2013-01-20T00:00:00","WDF2","GHCND:USW00012839",",,X,",150
"2013-01-20T00:00:00","WDF5","GHCND:USW00012839",",,X,",360
"2013-01-20T00:00:00","WSF2","GHCND:USW00012839",",,X,",45
"2013-01-20T00:00:00","WSF5","GHCND:USW00012839",",,X,",98
"2013-01-20T00:00:00","WT01","GHCND:USW00012839",",,X,",1
"2013-01-20T00:00:00","WT02","GHCND:USW00012839",",,X,",1
"2013-01-20T00:00:00","WT13","GHCND:USW00012839",",,X,",1
"2013-01-21T00:00:00","ADPT","GHCND:USW00012839",",,W,",189
"2013-01-21T00:00:00","ASLP","GHCND:USW00012839",",,W,",10169
"2013-01-21T00:00:00","ASTP","GHCND:USW00012839",",,W,",10159
"2013-01-21T00:00:00","AWBT","GHCND:USW00012839",",,W,",206
"2013-01-21T00:00:00","AWND","GHCND:USW00012839",",,X,",24
"2013-01-21T00:00:00","PRCP","GHCND:USW00012839","T,,X,2400",0
"2013-01-21T00:00:00","RHAV","GHCND:USW00012839",",,W,",79
"2013-01-21T00:00:00","RHMN","GHCND:USW00012839",",,W,",62
