"fit_dir","model_col","type_fine","restaurant","variable","mean","q2.5","q97.5","rhat","ess_bulk"
"model_fits/finalized_redone3/proportion/chicken_fish/vegan_dishes_prop","mu_gamma[1]","pooled_mu_gamma",NA,"mu_gamma[1]",0.872649829057,-0.0756823149999999,1.7483815,1.00227108796534,2092.61388887931
"model_fits/finalized_redone3/proportion/chicken_fish/vegan_dishes_prop","mu_gamma[2]","pooled_mu_gamma",NA,"mu_gamma[2]",0.00217807532266667,-1.7320005,1.786077,1.00031930421292,4309.38108792804
