estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name
-10.035072486778517,10.704047059738858,-0.9375026502380996,0.3485000611486501,exposure_L69HYJ4Y3TR91_1,-31.015004723866678,10.944859750309643,L69HYJ4Y3TR91,3242,472,A5,total
-1.149377493224104e-4,3.329934027044173e-4,-0.3451652446833467,0.7299701456687995,vegan_price_real,-7.676048186230683e-4,5.377293199782475e-4,L69HYJ4Y3TR91,3242,472,A5,total
0.002286764104668923,0.0010302873659638271,2.2195400819359463,0.026450003497089623,vegetarian_price_real,2.674008673798217e-4,0.004306127341958024,L69HYJ4Y3TR91,3242,472,A5,total
-1.1737144270192179e-4,3.4409768537961056e-4,-0.34109919272614964,0.7330289089365981,meat_price_real,-7.918029060459585e-4,5.570600206421149e-4,L69HYJ4Y3TR91,3242,472,A5,total
0.11157072034233151,0.0627496632130455,1.7780289905864586,0.07539909362935082,weekend,-0.011418619555237666,0.23456006023990067,L69HYJ4Y3TR91,3242,472,A5,total
0.028391715956338714,0.14971844520317978,0.1896340555621514,0.8495958989250566,holiday_window,-0.26505643664189366,0.3218398685545711,L69HYJ4Y3TR91,3242,472,A5,total
-0.280313910968502,0.15179069495082495,-1.8467134040022297,0.06478868799739917,month_cat2,-0.5778236730721189,0.017195851135114903,L69HYJ4Y3TR91,3242,472,A5,total
-0.21218482605445388,0.09706182092138901,-2.186079181703213,0.02880981279697167,month_cat3,-0.40242599506037635,-0.021943657048531406,L69HYJ4Y3TR91,3242,472,A5,total
-0.0526202092640915,0.13182128513052394,-0.3991783968119349,0.6897617600024539,month_cat4,-0.31098992811991844,0.20574950959173544,L69HYJ4Y3TR91,3242,472,A5,total
-0.4777448796174326,0.3125983709975697,-1.5283025247151618,0.126437443368915,month_cat5,-1.0904376867726693,0.13494792753780405,L69HYJ4Y3TR91,3242,472,A5,total
-0.45960553309998886,0.3693050948809967,-1.2445144664145242,0.21331027848136347,month_cat6,-1.1834435190667425,0.26423245286676467,L69HYJ4Y3TR91,3242,472,A5,total
-1.0261691339997583,0.7591491317236018,-1.3517358989397825,0.17645981659074747,month_cat8,-2.514101432178018,0.46176316417850116,L69HYJ4Y3TR91,3242,472,A5,total
-0.031304519179172985,0.25341166256185593,-0.12353227496596286,0.901685618284161,month_cat9,-0.5279913778004106,0.46538233944206464,L69HYJ4Y3TR91,3242,472,A5,total
0.029733374012323566,0.17483101043996171,0.17006922248804499,0.8649556977732021,month_cat10,-0.3129354064500014,0.37240215447464853,L69HYJ4Y3TR91,3242,472,A5,total
0.010228353868569684,0.12201633458550701,0.08382774243559844,0.9331933903713379,month_cat11,-0.22892366191902405,0.24938036965616342,L69HYJ4Y3TR91,3242,472,A5,total
0.1528643525696367,0.15654813340997548,0.9764687016057131,0.3288322505975857,month_cat12,-0.15396998891391522,0.45969869405318864,L69HYJ4Y3TR91,3242,472,A5,total
-7.299414746695376e-4,0.0025033314305156168,-0.29158802776633935,0.7706016302961611,date_code,-0.0056364710784801465,0.004176588129141071,L69HYJ4Y3TR91,3242,472,A5,total
0.162882456419692,0.1269130095048934,1.2834181228159414,0.1993456279752708,day_of_week_cat1,-0.08586704220989905,0.41163195504928307,L69HYJ4Y3TR91,3242,472,A5,total
0.08506734738300714,0.12704715419446025,0.6695730252470025,0.503130014540466,day_of_week_cat2,-0.16394507483813495,0.3340797696041492,L69HYJ4Y3TR91,3242,472,A5,total
-0.1248106474171422,0.07128655983190711,-1.7508299981293007,0.07997519768057447,day_of_week_cat3,-0.26453230468768013,0.014911009853395718,L69HYJ4Y3TR91,3242,472,A5,total
-0.03376700038138347,0.071091015695742,-0.47498266906047243,0.6347993262161957,day_of_week_cat4,-0.17310539114503778,0.10557139038227084,L69HYJ4Y3TR91,3242,472,A5,total
-0.12873468739572685,0.08585506560780552,-1.499441954698395,0.1337590164190637,day_of_week_cat5,-0.2970106159870257,0.03954124119557198,L69HYJ4Y3TR91,3242,472,A5,total
8.611039836073642e-4,0.001455437573687535,0.5916461132892484,0.5540875879375708,precip,-0.001991553660820204,0.0037137616280349325,L69HYJ4Y3TR91,3242,472,A5,total
-0.010217474741196941,0.006207703198448016,-1.6459348030285026,0.09977718265458065,temp,-0.022384573010155052,0.0019496235277611691,L69HYJ4Y3TR91,3242,472,A5,total
0.0030428234908433647,0.0032159173312058223,0.9461759048708024,0.34405887366704535,exposure_L69HYJ4Y3TR91_1:date_code,-0.003260374478320047,0.009346021460006777,L69HYJ4Y3TR91,3242,472,A5,total
0.15642657683316397,0.07195333487402947,2.174000372700222,0.02970510721089053,exposure_L69HYJ4Y3TR91_1:gendermale,0.01539804048006621,0.2974551131862617,L69HYJ4Y3TR91,3242,472,A5,total
