outcome,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,source
Breakfast,Count,-0.124925915805,-0.5904589,0.34762675000000054,1.0029025549490644,Pooled,POOLED,finalized_redone4
Breakfast,Presence,-0.145642769547,-0.841047125,0.7730728500000005,1.0035939295970357,Pooled,POOLED,finalized_redone4
Chicken,Count,0.04550033974366667,-0.63845075,0.6424410250000002,1.017681510520612,Pooled,POOLED,finalized_redone4
Chicken,Presence,0.21318247569629334,-0.894230125,1.3651520000000001,1.0302370618511996,Pooled,POOLED,finalized_redone4
Dairy,Count,0.0624596572995,-0.0567044725,0.22491860000000002,1.0007992585586274,Pooled,POOLED,finalized_redone4
Dairy,Presence,0.23872019359616667,-0.89301595,1.65254075,1.0178806612625655,Pooled,POOLED,finalized_redone4
Egg,Count,0.07615874626866667,-0.43369785,0.6597273000000008,1.0069589178454,Pooled,POOLED,finalized_redone4
Egg,Presence,6.760917772666665e-4,-1.17061625,1.034184,1.0130612690890044,Pooled,POOLED,finalized_redone4
Untextured,Count,0.22133433541233333,-0.652292375,1.53508525,1.0257863616061413,Pooled,POOLED,finalized_redone4
Untextured,Presence,0.22133433541233333,-0.652292375,1.53508525,1.0257863616061413,Pooled,POOLED,finalized_redone4
Breakfast,Count,-0.2876820724517809,-0.5621189181535413,-0.020202707317519466,1.00032896958547,Restaurant,2HRX9P6HKXA8V,finalized_redone4
Breakfast,Count,-0.040821994520255166,-0.21072103131565253,0.11332868530700327,1.000191665757469,Restaurant,ED5J990H5VAZT,finalized_redone4
Breakfast,Count,-0.06187540371808753,-0.37106368139083207,0.30010459245033816,0.9999125134298327,Restaurant,L69HYJ4Y3TR91,finalized_redone4
Breakfast,Presence,0.09531017980432493,-1.2039728043259361,2.3767644911682972,1.0031936969517479,Restaurant,2HRX9P6HKXA8V,finalized_redone4
Breakfast,Presence,-0.4942963218147801,-0.8675005677047231,-0.15082288973458366,1.0014852897386195,Restaurant,ED5J990H5VAZT,finalized_redone4
Breakfast,Presence,-0.09431067947124129,-0.4942963218147801,0.3148107398400336,1.0021626031318798,Restaurant,L69HYJ4Y3TR91,finalized_redone4
Chicken,Count,-0.06187540371808753,-0.12783337150988489,0.009950330853168092,1.0116163010200347,Restaurant,JHDN7CF1C03X5,finalized_redone4
Chicken,Count,0.1570037488096647,0.01980262729617973,0.28517894223366247,1.0037137035907762,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Chicken,Presence,0.3576744442718159,-1.3862943611198906,2.347558458636777,1.0105803057161706,Restaurant,JHDN7CF1C03X5,finalized_redone4
Chicken,Presence,0.3293037471426003,0.01980262729617973,0.6418538861723947,1.0360903974776374,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Dairy,Count,0.058268908123975824,0,0.131028262406404,1.0005730057931925,Restaurant,ED5J990H5VAZT,finalized_redone4
Dairy,Count,0.06765864847381486,0.01980262729617973,0.12221763272424911,1.0002227161889745,Restaurant,JHDN7CF1C03X5,finalized_redone4
Dairy,Count,0.04879016416943205,0,0.09531017980432493,0.9998244888781034,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Dairy,Presence,0.1823215567939546,-0.08338160893905101,0.44468582126144574,1.0076068383802153,Restaurant,ED5J990H5VAZT,finalized_redone4
Dairy,Presence,0.26236426446749106,-1.9661128563728327,3.6423118182976015,1.0149933082557239,Restaurant,JHDN7CF1C03X5,finalized_redone4
Dairy,Presence,0.4382549309311553,-1.3470736479666092,2.738256043159276,1.0137182299465926,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Egg,Count,0.02955880224154443,-0.040821994520255166,0.09531017980432493,1.0011551343619483,Restaurant,ED5J990H5VAZT,finalized_redone4
Egg,Count,0.0769610411361284,0.02955880224154443,0.13976194237515863,1.0001761588501479,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Egg,Presence,0.04879016416943205,-0.3285040669720361,0.412109650826833,1.0005234583893103,Restaurant,ED5J990H5VAZT,finalized_redone4
Egg,Presence,0,-2.0402208285265546,1.9459101490553132,1.006544492450647,Restaurant,W8T41JZK0ZMEP,finalized_redone4
Untextured,Count,0.12221763272424911,0,0.26236426446749106,1.0091708152404983,Restaurant,SRQS8F7JWA9MZ,finalized_redone4
Untextured,Presence,0.12221763272424911,0,0.26236426446749106,1.0091708152404983,Restaurant,SRQS8F7JWA9MZ,finalized_redone4
