outcome,exposure_type,mean,q2.5,q97.5,rhat,source,color_group
Breakfast,Count,0.8326090369547797,0.42892480720368065,1.3656965957207916,1.0056323713940438,finalized_redone2,Animal
Breakfast,Presence,0.9832017005470864,0.9107199804383759,1.0820600765536905,1.0005398361496856,finalized_redone2,Animal
Chicken,Count,1.3064409724803934,0.7410527082308745,1.8015207602344898,1.3594314638501295,finalized_redone,Animal
Chicken,Presence,1.022550907721578,0.9178684263958758,1.148224601882205,1.0167502513708846,finalized_redone,Animal
Dairy,Count,1.0668578201564554,0.8519878609206819,1.2934007954019817,1.006627815936204,finalized_redone,Animal
Dairy,Presence,1.0154990636749566,0.9090668024144689,1.1340800572092682,1.0015952401694972,finalized_redone,Animal
Egg,Count,1.024503582282712,0.4441459408279575,2.0006355898523336,1.0073824542429093,finalized_redone,Animal
Egg,Presence,1.005918940904494,0.9021529551124864,1.1286896126448995,1.0067691932642744,finalized_redone,Animal
Untextured,Count,0.9657730652974075,0.45515126032613146,3.1406436092023213,1.4548227944647536,finalized_redone2,Animal
Untextured,Presence,0.9965234179127904,0.9243055802113462,1.1212484757840244,1.4548227944647536,finalized_redone2,Animal
Total (A1),Count,0.9451816219551971,0.7336471778950001,1.2485527430755314,1.0030038907063523,finalized_redone,Total
Total (A1),Presence,0.9274977788581686,0.8139325327615096,1.061746695083981,1.0031043375165287,finalized_redone,Total
